Category,SL. No.,State/UT/City,Complaints Received/ Cases Registered - No. of Complaints Received/ Alleged During the Year,Complaints Received/ Cases Registered - No. of Inquiry Instituted - Departmental,Complaints Received/ Cases Registered - No. of Inquiry Instituted - Magisterial,Complaints Received/ Cases Registered - No. of Inquiry Instituted - Judicial,Complaints Received/ Cases Registered - Complaints/ Cases Declared False/ Unsubstantiated,Complaints Received/ Cases Registered - No. of Cases Registered During the Year,Complaints Received/ Cases Registered - No. of Cases - Reported for Regular Deptt. Action,Complaints Received/ Cases Registered - No. of Cases - Sent up Trials/ Chargesheeted,Police Personnel Involved / Action Taken - No. of Police Personnel Sent up for Trial During the Year,Police Personnel Involved / Action Taken - No. of Police Personnel in Whose Cases Withdrawn or Otherwise Disposed of,Police Personnel Involved / Action Taken - No. of Police Personnel in Whose Cases Trial was Completed,Police Personnel Involved / Action Taken - No. of police Personnel - Cinvicted,Police Personnel Involved / Action Taken - No. of police Personnel - Acquitted,Departmental Action/ Punishment - No. of Police Personnel - Against Whom Disciplinary Action Initiated,Departmental Action/ Punishment - No. of Police Personnel - in Whose Cases Withdrawn or Otherwise Disposed of,Departmental Action/ Punishment - No. of Police Personnel - in Whose Cases Trial was Completed,Departmental Action/ Punishment - No. of Police Personnel - Dismissed/ Removed from Service,Departmental Action/ Punishment - No. of Police Personnel - Major Punishment Awarded,Departmental Action/ Punishment - No. of Police Personnel - Minor Punishment Awarded
City,43,Kanpur,22,21,0,1,12,10,3,7,7,0,7,0,0,52,20,51,1,25,77
City,44,Kochi,3,0,0,0,0,4,1,3,3,0,0,0,0,0,0,0,0,0,0
City,45,Lucknow,6,6,0,0,1,21,1,9,9,12,0,0,0,5,1,0,0,0,0
City,46,Ludhiana,25,0,0,0,25,3,0,1,1,0,0,0,0,0,0,0,35,30,22
City,47,Madras,1,0,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0
City,48,Madurai,16,0,1,15,3,16,0,12,14,0,0,0,0,0,0,0,0,0,0
City,49,Nagpur,85,0,0,0,0,0,0,0,40,0,1,0,1,38,0,20,8,9,3
City,50,Patna,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
City,51,Pune,0,0,0,0,0,32,1,26,0,0,0,0,0,37,0,28,2,20,4
City,52,Surat,1355,1355,0,0,1355,0,0,1355,25,0,0,0,0,1355,17,20,8,10,1312
City,53,Vadodara,33,0,0,33,0,33,33,27,27,2,10,0,1,115,55,27,0,1,53
City,54,Varanasi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City,55,Vishakhapatnam,2,2,0,0,0,2,0,2,7,0,0,0,0,6,0,0,0,0,0
