SL.No.,State/UT,Murder - Incidence (I),Murder - Rate (R),Murder - Percentage Contribution to All-India (P),Hurt - Incidence (I),Hurt - Rate (R),Hurt - Percentage Contribution to All-India (P),Rape - Incidence (I),Rape - Rate (R),Rape - Percentage Contribution to All-India (P),Kidnapping & Abduction - Incidence (I),Kidnapping & Abduction - Rate (R),Kidnapping & Abduction - Percentage Contribution to All-India (P),Dacoity - Incidence (I),Dacoity - Rate (R),Dacoity - Percentage Contribution to All-India (P),Robbery - Incidence (I),Robbery - Rate (R),Robbery - Percentage Contribution to All-India (P),Arson - Incidence (I),Arson - Rate (R),Arson - Percentage Contribution to All-India (P),Protection of Civil Rights Act - Incidence (I),Protection of Civil Rights Act - Rate (R),Protection of Civil Rights Act - Percentage Contribution to All-India (P),SC & ST (Prev.of Atrocities) Act - Incidence (I),SC & ST (Prev.of Atrocities) Act - Rate (R),SC & ST (Prev.of Atrocities) Act - Percentage Contribution to All-India (P),Others Offences - Incidence (I),Others Offences - Rate (R),Others Offences - Percentage Contribution to All-India (P),Total - Incidence (I),Total - Rate (R),Total - Percentage Contribution to All-India (P)
11,Kerala,6,0,1.1,186,0.6,4.1,29,0.1,3.1,2,0,0.7,0,0,0,1,0,0.5,3,0,0.6,10,0,0.7,298,1,3.1,105,0.3,0.8,640,2,2
12,Madhya Pradesh,50,0.1,9.2,687,0.9,15,271,0.4,28.6,20,0,7.1,0,0,0,10,0,4.7,33,0,7.1,65,0.1,4.6,430,0.6,4.5,2509,3.4,18.9,4075,5.5,13
13,Maharashtra,12,0,2.2,145,0.2,3.2,48,0.1,5.1,12,0,4.3,3,0,3.3,7,0,3.3,5,0,1.1,345,0.4,24.3,365,0.4,3.8,410,0.5,3.1,1352,1.5,4.3
14,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Meghalaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Mizoram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Orissa,4,0,0.7,106,0.3,2.3,8,0,0.8,2,0,0.7,3,0,3.3,8,0,3.8,1,0,0.2,0,0,0,153,0.4,1.6,201,0.6,1.5,486,1.4,1.5
19,Punjab,2,0,0.4,3,0,0.1,3,0,0.3,2,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,12,0.1,0
20,Rajasthan,47,0.1,8.7,184,0.4,4,127,0.3,13.4,11,0,3.9,0,0,0,7,0,3.3,62,0.1,13.4,7,0,0.5,951,1.9,9.9,5227,10.6,39.4,6623,13.5,21.1
21,Sikkim,1,0.2,0.2,4,0.8,0.1,0,0,0,0,0,0,0,0,0,1,0.2,0.5,0,0,0,0,0,0,0,0,0,8,1.7,0.1,14,2.9,0
22,Tamil Nadu,15,0,2.8,1361,2.3,29.7,19,0,2,7,0,2.5,0,0,0,5,0,2.3,0,0,4.5,227,0.4,16,110,0.2,1.1,47,0.1,0.4,1812,3.1,5.8
23,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Uttar Pradesh,330,0.2,60.8,1060,0.7,23.1,324,0.2,34.1,166,0.1,59.1,43,0,47.8,147,0.1,69,292,0.2,62.9,120,0.1,8.5,5252,3.4,54.6,3229,2.1,24.3,10963,7.2,34.9
25,West Bengal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total (States),Total (States),543,0.1,100,4585,0.5,100,949,0.1,100,281,0,100,90,0,100,213,0,100,464,0.1,100,1404,0.2,99.1,9611,1,99.9,13276,1.4,100,31416,3.4,99.9
26,A & N - Incidence(I)slands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Chandigarh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Delhi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.1,0.1,2,0,0,11,0.1,0
31,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Pondicherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1.4,0.9,0,0,0,0,0,0,13,1.4,0
Total (UTs),Total (UTs),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0.1,0.9,9,0.1,0.1,2,0,0,24,0.2,0.1
Total (All-India),Total (All-India),543,0.1,100,4585,0.5,100,949,0.1,100,281,0,100,90,0,100,213,0,100,464,0,100,1417,0.2,100,9620,1,100,13278,1.4,100,31440,3.4,100
