SI.No.,Crime Head.,Below 16 Years - Male,Below 16 Years - Female,16-18 years - Male,16-18 years - Female,18-30 years - Male,18-30 years - Female,30-50 years - Male,30-50 years - Female,50 years & Above - Male,50 years & Above - Female,Total over all age group - Juveniles - Male,Total over all age group - Juveniles - Female,Total over all age group - others - Male,Total over all age group - others - Female,Total over all age group - Total - Male,Total over all age group - Total - Female,Total Male + Female (Col. 17+18)
19,Sexual Harassment,8,3,339,3,4509,39,1937,28,142,19,8,6,6927,86,6935,92,7027
20,Cruelty by Husband and Relatives,51,28,1087,189,28520,5583,28799,8083,6924,2690,51,217,65330,16356,65381,16573,81954
21,Other IPC Crimes,2132,228,20557,1122,463355,20214,355312,16232,69979,4664,2132,1350,909203,41110,911335,42460,953795
Total Cognizable Crimes Under IPC,Total Cognizable Crimes Under IPC,9746,665,59850,2542,1271116,56826,952456,49828,172801,12416,9746,3207,2456223,119070,2465969,122277,2588246
1,Arms Act,41,0,1367,2,40773,37,24241,22,2945,0,41,2,69326,59,69367,61,69428
2,Narcotic Drugs & Psychotropic Substances Act,17,4,240,4,11360,391,9805,538,971,69,17,8,22376,998,22393,1006,23399
3,Gambling Act,307,0,6388,0,142116,77,110216,157,17537,9,307,0,276257,243,276564,243,276807
4,Excise Act,189,2,2753,148,69886,3401,64081,3542,12599,549,189,150,149319,7492,149508,7642,157150
5,Prohibition Act,234,47,3361,785,203352,52774,230455,66860,54220,14716,234,832,491388,134350,491622,135182,626804
6,Explosive & Explosive Substances Act,2,0,178,0,3407,31,1897,30,285,0,2,0,5767,61,5769,61,5830
7,Immoral Traffic (Prevention) Act,4,3,30,129,783,6148,496,2571,37,71,4,132,1346,8790,1350,8922,10272
8,Indian Railways Act,16,0,796,0,21987,345,13685,201,2270,30,16,0,38738,576,38754,576,39330
9,Registration of Foreigners Act,0,1,5,0,828,157,978,68,75,11,0,1,1886,236,1886,237,2123
10,Protection Of Civil Rights Act,3,0,16,0,1579,57,1379,55,310,5,3,0,3284,117,3287,117,3404
11,Indian Passport Act,15,6,3,0,676,12,622,7,32,3,15,6,1333,22,1348,28,1376
12,Essential Commodities Act,0,0,264,3,2682,15,3051,12,457,0,0,3,6454,27,6454,30,6484
13,Terrorist & Disruptive Actvites Act,0,0,5,0,240,0,77,0,2,0,0,0,324,0,324,0,324
14,Antiquity & Art Treasure Act,0,0,0,0,18,0,20,0,0,0,0,0,38,0,38,0,38
15,Dowry Prohibition Act,4,4,250,23,2000,581,2778,502,733,248,4,27,5761,1331,5765,1358,7123
16,Child Marriage Restraint Act,0,0,0,2,48,8,132,76,43,19,0,2,223,103,223,105,328
17,Indecent Representation of Women (P)Act,0,0,0,0,197,6,45,0,4,0,0,0,246,6,246,6,252
18,Copy Rights Act,1,0,9,0,493,3,384,0,18,1,1,0,904,4,905,4,909
19,Sati Prevention Act,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,SC/ST (Prevention of Atrocities ) Act,8,1,154,9,15437,355,12682,337,3110,59,8,10,31383,751,31391,761,32152
21,Forest Act,1,0,24,0,5026,16,4467,11,681,4,1,0,10198,31,10199,31,10230
22,Other SLL Crimes,3480,67,33697,583,1918136,27316,1317378,18373,140754,2822,3480,650,3409965,48511,3413445,49161,3462606
Total Cognizable Crimes Under SLL,Total Cognizable Crimes Under SLL,4322,135,49540,1688,2441024,91730,1798869,93362,237083,18616,4322,1823,4526516,203708,4530838,205531,4736369
C.Grand Total (A+B),C.Grand Total (A+B),14068,800,109390,4230,3712140,148556,2751325,143190,409884,31032,14068,5030,6982739,322778,6996807,327808,7324615
