Sr. No.,Category,States,City- Wise,Murder (Sec.302 IPC),Attempt to Commit Murder (Sec. 307 IPC),C.h. Not Amounting to Murder (Sec.304 & 308 IPC),Rape (Sec.376 IPC) - Total,Rape (Sec. 376 IPC) - Custodial,Rape (Sec. 376 IPC) - Other,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Total","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Women & Girls","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Others",Dacoity (Sec. 395 to 398 IPC),Preparation & Assembly for Dacoity (Sec.399-402 IPC),"Robbery (Sec.392-394, 397 & 398 IPC)","Burglary (Sec.449-452,454,455,457-460 IPC)",Theft (Sec.379 – 382 IPC) - Total,Theft (Sec.379 – 382 IPC) - Auto theft,Theft (Sec.379 – 382 IPC) - Other Theft,"Riots (Sec.143-145, 147-151, 153, 153A,153B,157,158,160 IPC)",Criminal Breach of Trust (Sec.406-409 IPC),"Cheating (Sec.419,420 IPC)","Counterfeiting (Sec.231-254, 489A-489D IPC)","Arson (Sec.435,436,438 IPC)","Hurt (Sec.323-333,335-338 IPC)",Dowry Deaths (Sec.304B IPC),Molestation (Sec. 354 IPC),Sexual Harassment (Sec.509 IPC),Cruelty by Husband and Relatives (Sec. 498A IPC),Importation of Girls (Sec.366B IPC),Causing Death by Negligence (Sec. 304A IPC),Other IPC Crimes,Total Cognizable Crimes Under IPC
25,State,Madhaya Pradesh,Bhopal,49,61,1,117,0,117,67,52,15,2,6,178,926,2643,1651,992,103,8,339,4,5,1668,42,187,20,201,0,187,5355,12169
26,State,Madhaya Pradesh,Gwalior,53,75,13,40,0,40,62,49,13,8,7,177,724,1621,1217,404,94,35,116,3,8,720,14,114,15,186,0,159,2988,7232
27,State,Madhaya Pradesh,Indore,94,159,3,44,0,44,28,22,6,1,18,291,823,3481,2618,863,55,26,139,1,16,1917,31,256,50,363,0,260,6045,14101
28,State,Madhaya Pradesh,Jabalpur,62,77,0,76,0,76,25,16,9,1,2,73,340,792,180,612,71,7,112,1,3,602,9,84,19,48,0,103,3688,6195
29,State,Madhaya Pradesh,Ujjain,41,55,0,17,0,17,15,12,3,2,0,66,181,620,306,314,74,21,49,1,0,647,5,67,5,100,0,41,1749,3756
30,State,Maharashtra,Aurangabad,37,46,2,22,0,22,28,17,11,11,7,97,319,1123,510,613,159,33,124,1,8,478,5,61,21,159,0,158,828,3727
31,State,Maharashtra,Amravati,16,26,0,17,0,17,23,20,3,3,8,41,227,697,191,506,89,19,60,8,12,328,0,28,27,99,0,78,823,2629
32,State,Maharashtra,Mumbai,217,160,6,182,0,182,149,86,63,39,34,316,2769,12009,4183,7826,305,511,2132,129,14,3892,15,400,101,434,0,710,6738,31262
33,State,Maharashtra,Nagpur,95,72,2,45,0,45,73,52,21,18,17,317,724,1733,831,902,209,68,302,19,16,791,7,60,39,232,0,260,2686,7785
34,State,Maharashtra,Nasik,41,28,2,24,0,24,24,16,8,22,2,79,621,1705,850,855,137,21,173,12,22,247,5,49,20,131,0,333,520,4218
35,State,Maharashtra,Navi Mumbai,45,41,4,19,0,19,20,10,10,11,23,128,460,1774,875,899,139,72,313,13,3,411,6,36,34,84,0,396,844,4876
36,State,Maharashtra,Pune,119,120,9,67,0,67,105,84,21,36,52,513,1305,5181,3261,1920,468,76,613,58,19,1215,7,100,72,235,0,539,2939,13848
37,State,Maharashtra,Solapur,18,19,0,22,0,22,7,6,1,3,1,30,145,347,166,181,47,3,97,3,3,133,0,10,5,68,0,101,403,1465
38,State,Maharashtra,Thane,122,74,2,66,0,66,87,55,32,16,25,170,1138,2770,1228,1542,320,170,860,32,8,1217,12,148,52,387,0,356,1538,9570
39,State,Punjab,Amritsar,54,64,3,15,0,15,46,37,9,1,16,12,108,430,223,207,0,18,261,8,3,230,7,15,6,85,0,132,643,2157
40,State,Punjab,Jalandhar,28,54,2,19,0,19,41,34,7,0,0,14,177,539,211,328,0,7,197,2,1,223,9,11,0,79,0,90,817,2310
41,State,Punjab,Ludhiana,57,99,11,38,0,38,86,65,21,3,9,16,180,616,323,293,0,21,280,3,3,239,9,31,9,89,0,209,880,2888
42,State,Rajasthan,Ajmer,42,0,0,47,0,47,93,69,24,0,0,25,209,694,238,456,12,20,662,0,5,153,10,44,0,546,0,0,1890,4452
43,State,Rajasthan,Bharatpur,71,78,2,82,0,82,188,131,57,3,3,14,79,1132,580,552,4,20,633,1,21,457,35,39,0,437,0,264,4831,8394
44,State,Rajasthan,Bikaner,10,26,0,9,0,9,13,13,0,0,0,1,64,99,49,50,0,0,150,1,3,107,6,25,0,131,0,41,1110,1796
45,State,Rajasthan,Jaipur,52,92,4,69,0,69,215,189,26,3,8,236,911,5313,3864,1449,169,295,2527,10,13,747,20,102,0,573,0,482,4947,16788
46,State,Rajasthan,Jodhpur,17,56,2,15,0,15,68,55,13,3,0,33,202,788,608,180,6,21,590,5,8,474,9,40,1,242,0,130,995,3705
47,State,Rajasthan,Kota,26,126,4,23,0,23,87,76,11,2,13,59,133,974,700,274,2,16,431,1,5,106,7,51,0,376,0,122,1681,4245
48,State,Rajasthan,Udaipur,10,39,0,21,0,21,53,40,13,2,0,41,119,455,241,214,45,20,380,2,4,382,2,29,4,20,0,84,751,2463
49,State,Tamil Nadu,Chennai,96,175,0,39,0,39,42,37,5,7,0,84,398,1716,341,1375,70,46,350,42,2,735,19,42,10,154,0,602,6276,10905
50,State,Tamil Nadu,Chennaisuburban,72,118,0,46,0,46,28,18,10,6,2,72,301,839,181,658,80,4,222,9,5,640,20,51,65,59,0,692,3946,7277
51,State,Tamil Nadu,Coimbatore,24,26,0,9,0,9,23,9,14,2,0,26,197,1165,608,557,17,12,103,35,3,324,4,21,3,48,0,279,1997,4318
52,State,Tamil Nadu,Madurai,38,40,0,3,0,3,25,10,15,6,1,34,85,530,174,356,22,8,143,23,16,124,4,7,19,67,0,125,1680,3000
53,State,Tamil Nadu,Salem,21,26,0,20,0,20,39,19,20,0,0,28,48,323,154,169,39,13,50,4,2,281,3,13,7,40,0,115,1332,2404
54,State,Tamil Nadu,Tirunelveli,12,67,1,5,0,5,26,24,2,0,0,14,49,306,102,204,6,1,37,0,6,128,1,7,0,6,0,76,1063,1811
55,State,Tamil Nadu,Trichy,16,23,1,6,0,6,20,16,4,1,1,7,54,506,147,359,16,0,57,24,2,86,0,11,98,24,0,128,2512,3593
56,State,Uttar Pradesh,Agra,57,78,29,16,0,16,170,127,43,9,0,52,137,1566,1226,340,140,122,241,37,2,270,37,48,68,294,0,211,1252,4836
57,State,Uttar Pradesh,Aligarh,58,108,11,31,0,31,145,133,12,0,4,52,189,839,457,382,130,92,193,6,8,145,20,48,36,149,0,166,1129,3559
58,State,Uttar Pradesh,Allahabad,36,41,6,6,0,6,56,41,15,2,0,23,110,536,345,191,54,53,178,21,2,63,10,12,30,142,0,116,576,2073
59,State,Uttar Pradesh,Bareilly,75,92,15,49,0,49,106,96,10,3,1,34,74,437,265,172,76,84,147,7,0,106,29,96,77,178,0,199,1078,2963
60,State,Uttar Pradesh,Gorakhpur,25,23,11,9,0,9,46,37,9,1,0,15,90,650,537,113,53,64,179,5,0,75,14,13,29,138,0,131,893,2464
61,State,Uttar Pradesh,Kanpur Nagar,143,84,45,40,0,40,282,227,55,16,0,114,229,1094,745,349,187,223,403,34,3,446,73,109,210,551,0,449,2077,6812
62,State,Uttar Pradesh,Lucknow,82,68,13,30,0,30,256,239,17,11,1,91,549,2314,1250,1064,179,448,833,19,0,36,29,147,240,572,0,288,4276,10482
63,State,Uttar Pradesh,Meerut,47,36,15,15,0,15,83,79,4,3,1,33,70,765,555,210,51,51,157,22,0,11,19,25,80,205,0,168,574,2431
64,State,Uttar Pradesh,Moradabad,45,41,6,15,0,15,63,56,7,0,0,11,57,342,203,139,19,24,113,6,0,16,7,17,45,156,0,103,637,1723
65,State,Uttar Pradesh,Varanasi,20,30,5,5,0,5,25,23,2,0,0,12,94,646,508,138,25,76,186,13,2,77,12,4,59,36,0,90,837,2254
66,State,West Bengal,Asansol,32,7,10,13,0,13,27,17,10,4,39,12,6,283,138,145,61,18,45,0,5,65,17,14,0,211,0,111,381,1361
67,State,West Bengal,Kolkata,41,71,42,42,0,42,129,107,22,2,36,40,90,3078,433,2645,253,280,1433,37,0,1866,10,201,90,411,4,424,5035,13615
68,State,Delhi UT,Delhi (City),444,327,75,404,0,404,2149,1379,770,33,62,473,1566,20088,12232,7856,50,305,1874,47,26,1738,104,491,113,1177,0,815,12886,45247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
