SL. No.,State/UT,Estimated Mid-Year Population,Murder - I,Murder - R,Murder - P,Dacoity - I,Dacoity - R,Dacoity - P,Robbery - I,Robbery - R,Robbery - P,Arson - I,Arson - R,Arson - P,Kidnapping & Abduction - I,Kidnapping & Abduction - R,Kidnapping & Abduction - P,Rape - I,Rape - R,Rape - P,Protection of Civil Rights Act - I,Protection of Civil Rights Act - R,Protection of Civil Rights Act - P,Others - I,Others - R,Others - P,Total - I,Total - R,Total - P
20,Rajasthan,462.8,29,0.1,5.7,0,0,0,10,0,5.1,28,0.1,7.6,19,0,7.7,84,0.2,10.5,178,0.4,7,3950,8.5,19.5,4298,9.3,17.2
21,Sikkim,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.1,0,5,1.1,0
22,Tamil Nadu,571.9,14,0,2.7,0,0,0,2,0,1,3,0,0.8,3,0,1.2,4,0,0.5,333,0.6,13.2,144,0.3,0.7,503,0.9,2
23,Tripura,29.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Uttar Pradesh,1450.6,259,0.2,50.8,67,0,65.7,132,0.1,67,240,0.2,65,99,0.1,40.2,240,0.2,30.1,320,0.2,12.6,8964,6.2,44.3,10321,7.1,41.3
25,West Bengal,708.7,1,0,0.2,0,0,0,1,0,0.5,0,0,0,1,0,0.4,2,0,0.3,0,0,0,2,0,0,7,0,0
Total (States),Total (States),8714.3,510,0.1,100,102,0,100,197,0,100,369,0,100,246,0,100,796,0.1,99.7,2519,0.3,99.5,20209,2.3,99.9,24948,2.9,99.9
26,A & N Islands,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Chandigarh,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,D & N Haveli,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2.7,0,4,2.7,0
29,Daman & Diu,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.8,0,2,1.8,0
30,Delhi,102.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1,0,0,0,3,0,0,4,0,0
31,Lakshadweep,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Pondicherry,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0.1,12,1.4,0.5,2,0.2,0,15,1.8,0.1
Total (UTs),Total (UTs),124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.3,12,0.1,0.5,11,0.1,0.1,25,0.2,0.1
Total (All -India),Total (All -India),8838.3,510,0.1,100,102,0,100,197,0,100,369,0,100,246,0,100,798,0.1,100,2531,0.3,100,20220,2.3,100,24973,2.8,100
