SL. No.,State/UT,Estimated Mid-Year Population (In Lakhs),Murder - Incidence,Murder - Rate,Murder - Percentage Contribution to All-India,Dacoity - Incidence,Dacoity - Rate,Dacoity - Percentage Contribution to All-India,Robbery - Incidence,Robbery - Rate,Robbery - Percentage Contribution to All-India,Arson - Incidence,Arson - Rate,Arson - Percentage Contribution to All-India,Kidnapping & Abduction - Incidence,Kidnapping & Abduction - Rate,Kidnapping & Abduction - Percentage Contribution to All-India,Rape - Incidence,Rape - Rate,Rape - Percentage Contribution to All-India,Protection of Civil Rights Act - Incidence,Protection of Civil Rights Act - Rate,Protection of Civil Rights Act - Percentage Contribution to All-India,Others - Incidence,Others - Rate,Others - Percentage Contribution to All-India,Total - Incidence,Total - Rate,Total - Percentage Contribution to All-India
11,Kerala,296.6,0,0,0,0,0,0,0,0,0,1,0,2.1,3,0,4.8,13,0,3.9,1,0,0.4,129,0.4,3.7,147,0.5,3.4
12,Madhya Pradesh,680.3,40,0.1,38.8,1,0,12.5,10,0,52.6,16,0,34,20,0,32.3,217,0.3,65,29,0,11.7,1624,2.4,46.6,1957,2.9,45.4
13,Maharashtra,810.3,17,0,16.5,3,0,37.5,1,0,5.3,2,0,4.3,2,0,3.2,20,0,6,22,0,8.9,177,0.2,5.1,244,0.3,5.7
14,Manipur,18.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0.3,0,0,NA,0,0,0,1,0.1,0
15,Meghalaya,18.3,0,0,0,0,0,0,0,0,0,1,0.1,2.1,1,0.1,1.6,0,0,0,0,0,0,1,0.1,0,3,0.2,0.1
16,Mizoram,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Nagaland,12.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Orissa,324.6,1,0,1,0,0,0,2,0,10.5,3,0,6.4,2,0,3.2,4,0,1.2,2,0,0.8,18,0.1,0.5,32,0.1,0.7
19,Punjab,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Rajasthan,453,12,0,11.7,0,0,0,4,0,21.1,15,0,31.9,11,0,17.7,32,0.1,9.6,118,0.3,47.6,848,1.9,24.3,1040,2.3,24.2
21,Sikkim,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,0.3,0,0,0,20,4.8,0.6,21,5,0.5
22,Tamil Nadu,566.3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3.2,0,0,0,12,0,4.8,22,0,0.6,36,0.1,0.8
23,Tripura,28.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Uttar Pradesh,1425.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0.1,3.1,109,0.1,2.5
25,West Bengal,696.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.6,0,0,0,0,0,0,2,0,0
Total (States),Total (States),8557.2,102,0,99,8,0,100,19,0,100,47,0,100,61,0,98.4,333,0,99.7,248,0,100,3476,0.4,99.7,4294,0.5,99.7
26,A & N - Incidenceslands,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Chandigarh,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,D & N Haveli,1.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7,1.6,0,0,0,0,0,0,8,5.7,0.2,9,6.4,0.2
29,Daman & Diu,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.3,0,0,0,0,0,0,2,2,0
30,Delhi,98.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Lakshadweep,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Pondicherry,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0,1,0.1,0
Total (UTs),Total (UTs),119.6,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1.6,1,0,0.3,0,0,0,9,0.1,0.3,12,0.1,0.3
Total (All -India),Total (All -India),8676.8,103,0,100,8,0,100,19,0,100,47,0,100,62,0,100,334,0,100,248,0,100,3485,0.4,100,4306,0.5,100
