SL. No.,State/UT,Estimated Mid-Year Population,Murder - I,Murder - R,Murder - P,Dacoity - I,Dacoity - R,Dacoity - P,Robbery - I,Robbery - R,Robbery - P,Arson - I,Arson - R,Arson - P,Kidnapping & Abduction - I,Kidnapping & Abduction - R,Kidnapping & Abduction - P,Rape - I,Rape - R,Rape - P,Protection of Civil Rights Act - I,Protection of Civil Rights Act - R,Protection of Civil Rights Act - P,Others - I,Others - R,Others - P,Total - I,Total - R,Total - P
25,West Bengal,696.6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,2,0,0.2,0,0,0,2,0,0,5,0,0
Total (States),Total (States),8557.2,611,0.1,99.2,77,0,95.1,198,0,74.7,399,0,98.3,212,0,99.5,849,0.1,100,2880,0.3,99.3,19590,2.3,100,24816,2.9,99.6
26,A & N Islands,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Chandigarh,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,D & N Haveli,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7,0,1,0.7,0
29,Daman & Diu,1,1,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
30,Delhi,98.7,3,0,0.5,4,0,4.9,67,0,25.3,7,0.1,1.7,1,0,0.5,0,0,0,1,0,0,0,0,0,83,0.8,0.3
31,Lakshadweep,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Pondicherry,8.3,1,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2.3,0.7,1,0.1,0,21,2.5,0.1
Total (UTs),Total (UTs),119.6,5,0,0.8,4,0,4.9,67,0.6,25.3,7,0.1,1.7,1,0,0.5,0,0,0,20,0.2,0.7,2,0,0,106,0.9,0.4
Total (All -India),Total (All -India),8676.8,616,0.1,100,81,0,100,265,0,100,406,0,100,213,0,100,849,0.1,100,2900,0.3,100,19592,2.3,100,24922,2.9,100
