Sr. No.,Category,States/UTs,Estimated MidYear Population(In Lakhs) #,"Murder(Sec. 302,303 IPC) - I","Murder(Sec. 302,303 IPC) - R","Murder(Sec. 302,303 IPC) - P",Rape(Sec. 376 IPC) - I,Rape(Sec. 376 IPC) - R,Rape(Sec. 376 IPC) - P,"Kidnapping & Abduction(Sec.363-369,371-373 IPC) - I","Kidnapping & Abduction(Sec.363-369,371-373 IPC) - R","Kidnapping & Abduction(Sec.363-369,371-373 IPC) - P",Dacoity(Sec. 395-398 IPC) - I,Dacoity(Sec. 395-398 IPC) - R,Dacoity(Sec. 395-398 IPC) - P,"Robbery(Sec. 392-394,397,398 IPC) - I","Robbery(Sec. 392-394,397,398 IPC) - R","Robbery(Sec. 392-394,397,398 IPC) - P","Arson(Sec. 435,436,438 IPC) - I","Arson(Sec. 435,436,438 IPC) - R","Arson(Sec. 435,436,438 IPC) - P","Hurt(Sec. 323-333,335-338 IPC) - I","Hurt(Sec. 323-333,335-338 IPC) - R","Hurt(Sec. 323-333,335-338 IPC) - P",Prot.of Civil Rights Act (1955) - I,Prot.of Civil Rights Act (1955) - R,Prot.of Civil Rights Act (1955) - P,SC/ST Prev.of Attrocities Act (1989) - I,SC/ST Prev.of Attrocities Act (1989) - R,SC/ST Prev.of Attrocities Act (1989) - P,Other offences - I,Other offences - R,Other offences - P,Total - I,Total - R,Total - P
11,State,Jharkhand,293.1,13,0,6.7,21,0.1,3,13,0,14.8,0,0,0,2,0,6.9,4,0,8.7,117,0.4,14,34,0.1,69.4,91,0.3,7.4,37,0.1,1.4,332,1.1,5.7
12,State,Karnataka,563.5,4,0,2.1,7,0,1,1,0,1.1,0,0,0,0,0,0,0,0,0,13,0,1.6,1,0,2,117,0.2,9.5,71,0.1,2.7,214,0.4,3.7
13,State,Kerala,336.8,0,0,0,23,0.1,3.3,1,0,1.1,0,0,0,0,0,0,0,0,0,26,0.1,3.1,0,0,0,2,0,0.2,23,0.1,0.9,75,0.2,1.3
14,State,Madhya Pradesh,672.1,45,0.1,23.1,284,0.4,40.6,14,0,15.9,0,0,0,1,0,3.4,10,0,21.7,183,0.3,21.8,0,0,0,218,0.3,17.7,743,1.1,28.5,1498,2.2,25.9
15,State,Maharashtra,1045.7,11,0,5.6,56,0.1,8,3,0,3.4,0,0,0,0,0,0,8,0,17.4,18,0,2.1,0,0,0,58,0.1,4.7,113,0.1,4.3,267,0.3,4.6
16,State,Manipur,25.7,0,0,0,20,0.8,2.9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1,0,0,0,0,0,0,5,0.2,0.2,26,1,0.4
17,State,Meghalaya,24.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,State,Mizoram,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,State,Nagaland,21.4,28,1.3,14.4,7,0.3,1,9,0.4,10.2,6,0.3,50,10,0.5,34.5,0,0,0,0,0,0,0,0,0,0,0,0,49,2.3,1.9,109,5.1,1.9
20,State,Orissa,392,6,0,3.1,30,0.1,4.3,2,0,2.3,0,0,0,1,0,3.4,0,0,0,56,0.1,6.7,0,0,0,162,0.4,13.1,92,0.2,3.5,349,0.9,6
21,State,Punjab,260.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,State,Rajasthan,628,20,0,10.3,32,0.1,4.6,2,0,2.3,0,0,0,1,0,3.4,6,0,13,118,0.2,14.1,0,0,0,26,0,2.1,762,1.2,29.3,967,1.5,16.7
23,State,Sikkim,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,State,Tamil Nadu,654.5,0,0,0,1,0,0.1,0,0,0,0,0,0,0,0,0,2,0,4.3,11,0,1.3,0,0,0,1,0,0.1,9,0,0.3,24,0,0.4
25,State,Tripura,34.4,0,0,0,7,0.2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1,0,0,0,0,0,0,1,0,0,9,0.3,0.2
26,State,Uttar Pradesh,1850.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0.4,6,0,0.2,11,0,0.2
27,State,Uttaranchal,92.6,0,0,0,1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
28,State,West Bengal,861.3,0,0,0,1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1,5,0,0.2,7,0,0.1
State,State,Total (States),11005.85,195,0,100,699,0.1,100,88,0,100,12,0,100,29,0,100,46,0,100,838,0.1,100,49,0,100,1232,0.1,100,2585,0.2,99.3,5773,0.5,99.7
29,Union Territory,A & N Islands,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4.3,0.7,17,4.3,0.3
30,Union Territory,Chandigarh,10.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Union Territory,D & N Haveli,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.4,0,1,0.4,0
32,Union Territory,Daman & Diu,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Union Territory,Delhi,162.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Union Territory,Lakshadweep,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Union Territory,Pondicherry,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Union Territory,Total (UTs),191.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0.1,0.7,18,0.1,0.3
Total (All–India),Total (All–India),Total (All–India),11197.75,195,0,100,699,0.1,100,88,0,100,12,0,100,29,0,100,46,0,100,838,0.1,100,49,0,100,1232,0.1,100,2603,0.2,100,5791,0.5,100
