Sr. No.,Category,States/ UTs/Cities,"Murder (Sec. 302, 303 IPC) - Incidence","Murder (Sec. 302, 303 IPC) - Rate",Attempt to Commit Murder (Sec. 307 IPC) - Incidence,Attempt to Commit Murder (Sec. 307 IPC) - Rate,"C.H. not Amounting to Murder (Sec. 304, 308 IPC) - Incidence","C.H. not Amounting to Murder (Sec. 304, 308 IPC) - Rate",Rape (Sec. 376 IPC) Custodial - Incidence,Rape (Sec. 376 IPC) Custodial - Rate,Rape (Sec. 376 IPC) Others - Incidence,Rape (Sec. 376 IPC) Others - Rate,Rape (Sec. 376 IPC) Total - Incidence,Rape (Sec. 376 IPC) Total - Rate,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) of Women & Girls - Incidence","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) of Women & Girls - Rate","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) of Others - Incidence","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) of Others - Rate","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) Total - Incidence","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) Total - Rate",Dacoity (Sec. 395-398 IPC) - Incidence,Dacoity (Sec. 395-398 IPC) - Rate,Preparation & Assembly for Dacoity (Sec. 399-402 IPC) - Incidence,Preparation & Assembly for Dacoity (Sec. 399-402 IPC) - Rate,"Robbery (Sec. 392-394,397,398 IPC) - Incidence","Robbery (Sec. 392-394,397,398 IPC) - Rate","Burglary (Sec. 449-452,454,455, 457-460 IPC) - Incidence","Burglary (Sec. 449-452,454,455, 457-460 IPC) - Rate",Theft (Sec.379-382 IPC) Auto Theft - Incidence,Theft (Sec.379-382 IPC) Auto Theft - Rate,Theft (Sec.379-382 IPC) Other Theft - Incidence,Theft (Sec.379-382 IPC) Other Theft - Rate,Theft (Sec.379-382 IPC) Total - Incidence,Theft (Sec.379-382 IPC) Total - Rate,"Riots (Sec. 143-145, 147-151, 153, 153A, 153B, 157, 158, 160 IPC) - Incidence","Riots (Sec. 143-145, 147-151, 153, 153A, 153B, 157, 158, 160 IPC) - Rate",Criminal Breach of Trust (Sec. 406-409 IPC) - Incidence,Criminal Breach of Trust (Sec. 406-409 IPC) - Rate,"Cheating (Sec. 419,420 IPC) - Incidence","Cheating (Sec. 419,420 IPC) - Rate","Counterfeiting (Sec. 231-254,489A-489D IPC - Incidence","Counterfeiting (Sec. 231-254,489A-489D IPC) - Rate","Arson (Sec. 435,436,438 IPC) - Incidence","Arson (Sec. 435,436,438 IPC) - Rate","Hurt (Sec.323-333,335-338 IPC) - Incidence","Hurt (Sec.323-333,335-338 IPC) - Rate",Dowry Deaths (Sec.304B IPC) - Incidence,Dowry Deaths (Sec.304B IPC) - Rate,Molestation (Sec.354 IPC) - Incidence,Molestation (Sec.354 IPC) - Rate,Sexual Harassment (Sec.509 IPC) - Incidence,Sexual Harassment (Sec.509 IPC) - Rate,Cruelty by Husband and Relatives (Sec. 498A IPC) - Incidence,Cruelty by Husband and Relatives (Sec. 498A IPC) - Rate,Importation of Girls (Sec. 366B IPC) - Incidence,Importation of Girls (Sec. 366B IPC) - Rate,Causing Death by Negligence (Sec. 304A IPC) - Incidence,Causing Death by Negligence (Sec. 304A IPC) - Rate,Other IPC Crimes - Incidence,Other IPC Crimes - Rate,Total Cognizable Crimes Under IPC - Incidence,Total Cognizable Crimes Under IPC - Rate
11,State,Jharkhand,1492,5.1,1078,3.7,97,0.3,0,0,799,2.7,799,2.7,410,1.4,225,0.8,635,2.2,536,1.8,45,0.2,779,2.7,1428,4.9,1146,3.9,5027,17.1,6173,21.1,2650,9,319,1.1,833,2.8,34,0.1,178,0.6,3055,10.4,281,1,414,1.4,44,0.2,668,2.3,5,0,1154,3.9,13667,46.6,36364,124
12,State,Karnataka,1627,2.9,1484,2.6,68,0.1,0,0,400,0.7,400,0.7,328,0.6,235,0.4,563,1,202,0.4,247,0.4,1349,2.4,5967,10.6,5759,10.2,9142,16.2,14901,26.4,6183,11,471,0.8,2910,5.2,139,0.2,268,0.5,19488,34.6,244,0.4,1683,3,38,0.1,2129,3.8,0,0,534,0.9,56815,100.8,117710,208.9
13,State,Kerala,393,1.2,347,1,87,0.3,0,0,601,1.8,601,1.8,202,0.6,92,0.3,294,0.9,129,0.4,125,0.4,691,2.1,4245,12.6,2014,6,3417,10.1,5431,16.1,6365,18.9,299,0.9,3316,9.8,68,0.2,435,1.3,19105,56.7,25,0.1,2543,7.6,222,0.7,3708,11,0,0,49,0.1,56777,168.6,105255,312.5
14,State,Madhya Pradesh,2309,3.4,2370,3.5,138,0.2,0,0,2900,4.3,2900,4.3,617,0.9,191,0.3,808,1.2,151,0.2,121,0.2,1770,2.6,10960,16.3,7552,11.2,14181,21.1,21733,32.3,2308,3.4,519,0.8,1522,2.3,38,0.1,815,1.2,34709,51.6,764,1.1,6243,9.3,762,1.1,2989,4.4,0,0,4823,7.2,95959,142.8,194711,289.7
15,State,Maharashtra,2656,2.5,1680,1.6,100,0.1,1,0,1499,1.4,1500,1.4,921,0.9,340,0.3,1261,1.2,663,0.6,323,0.3,2574,2.5,15877,15.2,12741,12.2,33732,32.3,46473,44.4,7453,7.1,1726,1.7,6234,6,317,0.3,1188,1.1,29407,28.1,387,0.4,3479,3.3,984,0.9,6738,6.4,1,0,10933,10.5,49834,47.7,191788,183.4
16,State,Manipur,205,8,265,10.3,4,0.2,0,0,40,1.6,40,1.6,79,3.1,51,2,130,5.1,2,0.1,27,1,8,0.3,55,2.1,105,4.1,185,7.2,290,11.3,60,2.3,40,1.6,82,3.2,9,0.3,109,4.2,296,11.5,0,0,42,1.6,0,0,10,0.4,0,0,3,0.1,1207,46.9,2884,112.1
17,State,Meghalaya,157,6.3,42,1.7,8,0.3,0,0,74,3,74,3,25,1,32,1.3,57,2.3,57,2.3,4,0.2,65,2.6,140,5.6,135,5.4,335,13.5,470,18.9,7,0.3,16,0.6,83,3.3,7,0.3,28,1.1,138,5.6,6,0.2,57,2.3,0,0,13,0.5,0,0,68,2.7,438,17.6,1935,77.9
18,State,Mizoram,25,2.6,19,2,7,0.7,0,0,72,7.5,72,7.5,1,0.1,5,0.5,6,0.6,7,0.7,0,0,10,1,422,44,60,6.3,698,72.8,758,79,0,0,30,3.1,78,8.1,10,1,25,2.6,72,7.5,0,0,51,5.3,0,0,1,0.1,0,0,26,2.7,454,47.3,2073,216.2
19,State,Nagaland,123,5.7,46,2.1,8,0.4,0,0,23,1.1,23,1.1,3,0.1,28,1.3,31,1.4,16,0.7,0,0,84,3.9,70,3.3,113,5.3,214,10,327,15.3,7,0.3,18,0.8,37,1.7,10,0.5,16,0.7,50,2.3,0,0,3,0.1,2,0.1,3,0.1,0,0,28,1.3,201,9.4,1103,51.5
20,State,Orissa,1159,3,752,1.9,36,0.1,0,0,985,2.5,985,2.5,577,1.5,127,0.3,704,1.8,239,0.6,76,0.2,1184,3,3120,8,1571,4,4996,12.7,6567,16.8,1535,3.9,313,0.8,1364,3.5,16,0,371,0.9,6226,15.9,457,1.2,2415,6.2,247,0.6,694,1.8,12,0,2945,7.5,21375,54.5,52792,134.7
21,State,Punjab,817,3.1,898,3.4,165,0.6,0,0,442,1.7,442,1.7,418,1.6,173,0.7,591,2.3,35,0.1,90,0.3,142,0.5,2277,8.7,1561,6,2385,9.1,3946,15.1,3,0,281,1.1,3393,13,66,0.3,68,0.3,5104,19.6,130,0.5,314,1.2,60,0.2,801,3.1,2,0,2919,11.2,9524,36.5,32068,123
22,State,Rajasthan,1209,1.9,1694,2.7,79,0.1,0,0,1085,1.7,1085,1.7,1553,2.5,417,0.7,1970,3.1,37,0.1,97,0.2,631,1,5085,8.1,7276,11.6,10613,16.9,17889,28.5,1767,2.8,694,1.1,10191,16.2,56,0.1,551,0.9,21296,33.9,394,0.6,2582,4.1,31,0,7038,11.2,3,0,6234,9.9,61379,97.7,141992,226.1
23,State,Sikkim,21,3.6,16,2.8,2,0.3,0,0,20,3.4,20,3.4,7,1.2,1,0.2,8,1.4,0,0,0,0,9,1.5,84,14.5,8,1.4,105,18.1,113,19.4,12,2.1,10,1.7,37,6.4,1,0.2,1,0.2,96,16.5,0,0,14,2.4,0,0,6,1,0,0,39,6.7,214,36.8,703,121
24,State,Tamil Nadu,1363,2.1,1599,2.4,20,0,0,0,457,0.7,457,0.7,718,1.1,188,0.3,906,1.4,95,0.1,4,0,450,0.7,3300,5,2877,4.4,10774,16.5,13651,20.9,1838,2.8,194,0.3,2116,3.2,63,0.1,460,0.7,14067,21.5,187,0.3,1179,1.8,852,1.3,1248,1.9,0,0,10792,16.5,94131,143.8,148972,227.6
25,State,Tripura,154,4.5,52,1.5,1,0,0,0,189,5.5,189,5.5,62,1.8,43,1.3,105,3.1,18,0.5,1,0,71,2.1,182,5.3,31,0.9,361,10.5,392,11.4,154,4.5,23,0.7,84,2.4,12,0.3,35,1,464,13.5,35,1,207,6,0,0,471,13.7,0,0,199,5.8,1091,31.8,3940,114.7
26,State,Uttar Pradesh,5480,3,4997,2.7,1543,0.8,0,0,1314,0.7,1314,0.7,2551,1.4,767,0.4,3318,1.8,218,0.1,86,0,2024,1.1,4577,2.5,9621,5.2,10826,5.9,20447,11.1,3774,2,2509,1.4,5142,2.8,278,0.2,299,0.2,10412,5.6,1798,1,2096,1.1,2714,1.5,5204,2.8,0,0,7235,3.9,41536,22.4,127001,68.6
27,State,Uttaranchal,274,3,215,2.3,40,0.4,0,0,147,1.6,147,1.6,183,2,29,0.3,212,2.3,31,0.3,2,0,157,1.7,470,5.1,525,5.7,1171,12.6,1696,18.3,489,5.3,95,1,514,5.5,14,0.2,39,0.4,854,9.2,80,0.9,153,1.7,113,1.2,358,3.9,0,0,524,5.7,1935,20.9,8412,90.8
28,State,West Bengal,1425,1.7,672,0.8,401,0.5,0,0,1731,2,1731,2,1199,1.4,156,0.2,1355,1.6,177,0.2,1263,1.5,426,0.5,601,0.7,2714,3.2,9818,11.4,12532,14.6,2385,2.8,519,0.6,1947,2.3,135,0.2,111,0.1,6299,7.3,445,0.5,1837,2.1,63,0.1,7414,8.6,1,0,3039,3.5,23274,27,68052,79
State,State,Total (States),31944,2.9,26666,2.4,3447,0.3,2,0,18680,1.7,18682,1.7,16258,1.5,6182,0.6,22440,2,4717,0.4,2926,0.3,17867,1.6,89258,8.1,80683,7.3,174137,15.8,254820,23.2,56262,5.1,13087,1.2,55467,5,2113,0.2,8397,0.8,261812,23.8,7467,0.7,35802,3.3,9765,0.9,61264,5.6,67,0,77879,7.1,748889,68,1811038,164.6
29,Union Territory,A & N Islands,4,1,4,1,1,0.3,0,0,6,1.5,6,1.5,5,1.3,0,0,5,1.3,0,0,0,0,5,1.3,82,20.7,6,1.5,95,24,101,25.5,10,2.5,3,0.8,15,3.8,4,1,9,2.3,78,19.7,0,0,14,3.5,4,1,7,1.8,0,0,2,0.5,322,81.3,676,170.7
30,Union Territory,Chandigarh,12,1.2,21,2.1,8,0.8,0,0,19,1.9,19,1.9,57,5.6,8,0.8,65,6.4,1,0.1,3,0.3,34,3.3,189,18.5,529,51.8,705,69,1234,120.9,44,4.3,59,5.8,232,22.7,3,0.3,5,0.5,55,5.4,10,1,20,2,13,1.3,102,10,0,0,14,1.4,983,96.3,3126,306.2
31,Union Territory,D & N Haveli,9,3.6,0,0,1,0.4,0,0,6,2.4,6,2.4,14,5.6,4,1.6,18,7.2,5,2,0,0,5,2,41,16.4,13,5.2,48,19.2,61,24.4,8,3.2,30,12,10,4,1,0.4,5,2,35,14,1,0.4,5,2,1,0.4,5,2,0,0,16,6.4,172,68.8,435,174
32,Union Territory,Daman & Diu,6,3.3,3,1.7,0,0,0,0,3,1.7,3,1.7,1,0.6,2,1.1,3,1.7,8,4.4,0,0,1,0.6,60,33.3,33,18.3,30,16.7,63,35,24,13.3,9,5,3,1.7,4,2.2,5,2.8,18,10,0,0,2,1.1,0,0,2,1.1,0,0,26,14.4,48,26.7,288,160
33,Union Territory,Delhi,476,2.9,510,3.1,75,0.5,0,0,623,3.8,623,3.8,1066,6.6,376,2.3,1442,8.9,14,0.1,200,1.2,541,3.3,1950,12,9366,57.7,8132,50.1,17498,107.8,87,0.5,442,2.7,2313,14.3,42,0.3,33,0.2,1818,11.2,137,0.8,718,4.4,144,0.9,1728,10.6,0,0,367,2.3,26805,165.2,57963,357.2
34,Union Territory,Lakshadweep,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,1.5,16,23.9,17,25.4,12,17.9,0,0,0,0,0,0,4,6,5,7.5,0,0,0,0,0,0,1,1.5,0,0,0,0,37,55.2,80,119.4
35,Union Territory,Pondicherry,30,2.9,24,2.3,3,0.3,0,0,9,0.9,9,0.9,13,1.2,5,0.5,18,1.7,2,0.2,0,0,3,0.3,84,8,320,30.6,240,22.9,560,53.5,194,18.5,6,0.6,36,3.4,2,0.2,22,2.1,927,88.5,3,0.3,56,5.3,39,3.7,19,1.8,0,0,209,20,2441,233.1,4687,447.7
Union Territory,Union Territory,Total (UTs),537,2.8,564,2.9,88,0.5,0,0,666,3.5,666,3.5,1156,6,395,2.1,1551,8.1,30,0.2,203,1.1,589,3.1,2408,12.5,10268,53.5,9266,48.3,19534,101.8,379,2,549,2.9,2609,13.6,56,0.3,83,0.4,2936,15.3,151,0.8,815,4.2,201,1,1864,9.7,0,0,634,3.3,30808,160.5,67255,350.5
Total (All-India),Total (All-India),Total (All-India),32481,2.9,27230,2.4,3535,0.3,2,0,19346,1.7,19348,1.7,17414,1.6,6577,0.6,23991,2.1,4747,0.4,3129,0.3,18456,1.6,91666,8.2,90951,8.1,183403,16.4,274354,24.5,56641,5.1,13636,1.2,58076,5.2,2169,0.2,8480,0.8,264748,23.6,7618,0.7,36617,3.3,9966,0.9,63128,5.6,67,0,78513,7,779697,69.6,1878293,167.7
36,City,Agra,56,4.2,78,5.9,19,1.4,0,0,15,1.1,15,1.1,110,8.3,28,2.1,138,10.4,5,0.4,1,0.1,75,5.7,206,15.6,841,63.7,469,35.5,1310,99.2,137,10.4,95,7.2,206,15.6,9,0.7,0,0,239,18.1,34,2.6,59,4.5,128,9.7,286,21.7,0,0,189,14.3,1125,85.2,4410,333.8
37,City,Ahmedabad,99,2.2,60,1.3,7,0.2,0,0,46,1,46,1,146,3.2,36,0.8,182,4,23,0.5,3,0.1,172,3.8,802,17.7,2317,51.3,3071,68,5388,119.2,128,2.8,266,5.9,297,6.6,10,0.2,5,0.1,1371,30.3,4,0.1,72,1.6,22,0.5,956,21.2,0,0,227,5,9098,201.3,19238,425.7
38,City,Allahabad,50,4.8,40,3.8,10,1,0,0,5,0.5,5,0.5,27,2.6,10,1,37,3.5,2,0.2,0,0,16,1.5,98,9.3,229,21.8,141,13.4,370,35.2,22,2.1,26,2.5,107,10.2,11,1,1,0.1,38,3.6,10,1,9,0.9,23,2.2,72,6.9,0,0,78,7.4,564,53.7,1589,151.3
39,City,Amritsar,38,3.8,38,3.8,2,0.2,0,0,12,1.2,12,1.2,19,1.9,4,0.4,23,2.3,5,0.5,9,0.9,16,1.6,125,12.4,160,15.8,164,16.2,324,32,0,0,20,2,101,10,9,0.9,0,0,117,11.6,4,0.4,5,0.5,0,0,47,4.6,0,0,79,7.8,321,31.8,1295,128.1
40,City,Asansol,42,3.8,16,1.5,18,1.6,0,0,19,1.7,19,1.7,12,1.1,4,0.4,16,1.5,3,0.3,40,3.7,17,1.6,9,0.8,35,3.2,119,10.9,154,14.1,51,4.7,3,0.3,15,1.4,0,0,3,0.3,47,4.3,13,1.2,11,1,0,0,158,14.5,0,0,87,8,977,89.6,1699,155.7
41,City,Bangalore,218,3.8,324,5.7,7,0.1,0,0,33,0.6,33,0.6,29,0.5,70,1.2,99,1.7,37,0.7,204,3.6,647,11.4,1666,29.3,3501,61.6,3853,67.8,7354,129.3,710,12.5,192,3.4,1554,27.3,55,1,5,0.1,2640,46.4,50,0.9,143,2.5,2,0,290,5.1,0,0,113,2,9941,174.8,26284,462.2
42,City,Bhopal,43,3,60,4.1,0,0,0,0,52,3.6,52,3.6,38,2.6,5,0.3,43,3,7,0.5,1,0.1,134,9.2,744,51.1,740,50.9,682,46.9,1422,97.7,39,2.7,12,0.8,108,7.4,6,0.4,14,1,407,28,15,1,121,8.3,33,2.3,97,6.7,0,0,149,10.2,6961,478.4,10468,719.5
43,City,Chennai,131,2,193,3,5,0.1,0,0,29,0.5,29,0.5,41,0.6,18,0.3,59,0.9,5,0.1,0,0,58,0.9,560,8.7,351,5.5,2012,31.3,2363,36.8,130,2,14,0.2,535,8.3,14,0.2,1,0,1198,18.6,32,0.5,87,1.4,88,1.4,213,3.3,0,0,1330,20.7,9123,142,16168,251.6
44,City,Coimbatore,28,1.9,13,0.9,0,0,0,0,8,0.6,8,0.6,3,0.2,4,0.3,7,0.5,2,0.1,0,0,24,1.7,181,12.5,211,14.6,681,47.1,892,61.7,14,1,11,0.8,95,6.6,10,0.7,1,0.1,172,11.9,5,0.3,11,0.8,11,0.8,30,2.1,0,0,261,18,2198,152,3974,274.8
45,City,Delhi (city),396,3.1,448,3.5,66,0.5,0,0,533,4.2,533,4.2,953,7.5,319,2.5,1272,9.9,12,0.1,169,1.3,480,3.8,1767,13.8,8851,69.2,7673,60,16524,129.2,81,0.6,414,3.2,2198,17.2,42,0.3,29,0.2,1640,12.8,120,0.9,629,4.9,129,1,1646,12.9,0,0,328,2.6,24084,188.3,53007,414.4
46,City,Dhanbad,26,2.4,16,1.5,3,0.3,0,0,21,2,21,2,11,1,5,0.5,16,1.5,10,0.9,1,0.1,21,2,89,8.4,96,9,172,16.2,268,25.2,119,11.2,10,0.9,31,2.9,2,0.2,2,0.2,213,20,15,1.4,3,0.3,0,0,10,0.9,0,0,0,0,701,65.9,1577,148.2
47,City,Faridabad,58,5.5,45,4.3,7,0.7,0,0,40,3.8,40,3.8,66,6.3,20,1.9,86,8.2,7,0.7,30,2.8,36,3.4,369,35,902,85.5,339,32.1,1241,117.6,138,13.1,106,10,45,4.3,2,0.2,11,1,244,23.1,14,1.3,35,3.3,144,13.6,146,13.8,0,0,12,1.1,1866,176.9,4682,443.8
48,City,Hyderabad,125,2.3,116,2.1,6,0.1,0,0,93,1.7,93,1.7,77,1.4,66,1.2,143,2.6,12,0.2,0,0,99,1.8,1186,21.4,1691,30.6,2717,49.1,4408,79.7,128,2.3,84,1.5,1777,32.1,13,0.2,26,0.5,4581,82.8,29,0.5,189,3.4,108,2,1160,21,0,0,582,10.5,2430,43.9,17295,312.5
49,City,Indore,58,3.5,107,6.5,1,0.1,0,0,73,4.5,73,4.5,27,1.6,5,0.3,32,2,7,0.4,5,0.3,95,5.8,783,47.8,1936,118.1,1108,67.6,3044,185.7,88,5.4,36,2.2,122,7.4,4,0.2,25,1.5,1177,71.8,12,0.7,162,9.9,43,2.6,218,13.3,0,0,232,14.2,6281,383.2,12605,769.1
50,City,Jabalpur,32,2.9,95,8.5,9,0.8,0,0,54,4.8,54,4.8,20,1.8,5,0.4,25,2.2,3,0.3,7,0.6,73,6.5,285,25.5,478,42.8,201,18,679,60.8,61,5.5,23,2.1,147,13.2,29,2.6,8,0.7,3006,269.1,13,1.2,161,14.4,68,6.1,118,10.6,0,0,192,17.2,1156,103.5,6244,559
51,City,Jaipur,59,2.5,63,2.7,2,0.1,0,0,58,2.5,58,2.5,137,5.9,23,1,160,6.9,5,0.2,5,0.2,46,2,682,29.3,1948,83.8,1666,71.7,3614,155.5,300,12.9,249,10.7,1435,61.7,10,0.4,11,0.5,679,29.2,23,1,110,4.7,2,0.1,451,19.4,0,0,504,21.7,5409,232.7,13877,597.1
52,City,Jamshedpur,58,5.3,86,7.8,4,0.4,0,0,29,2.6,29,2.6,24,2.2,10,0.9,34,3.1,12,1.1,1,0.1,18,1.6,159,14.4,182,16.5,491,44.6,673,61.1,86,7.8,62,5.6,92,8.3,9,0.8,8,0.7,371,33.7,16,1.5,33,3,1,0.1,73,6.6,0,0,69,6.3,730,66.2,2624,238.1
53,City,Kanpur,144,5.4,97,3.6,34,1.3,0,0,27,1,27,1,87,3.2,30,1.1,117,4.3,12,0.4,0,0,63,2.3,172,6.4,605,22.5,232,8.6,837,31.1,128,4.8,129,4.8,250,9.3,6,0.2,4,0.1,368,13.7,67,2.5,64,2.4,179,6.7,273,10.1,0,0,114,4.2,1651,61.4,4736,176.1
