Sr. No.,Crime Head,Incidence - 1996,Rate of Crime - 1996,Incidence - 2001,Rate of Crime - 2001,Incidence - 2002,Rate of Crime - 2002,Incidence - 2003,Rate of Crime - 2003,Incidence - 2004,Rate of Crime - 2004,Incidence - 2005,Rate of Crime - 2005,Incidence - QUINQUENNIAL AVG.2001-2005 (Q.A),Rate of Crime - QUINQUENNIAL AVG.2001-2005 (Q.A),Incidence - 2006,Rate of Crime - 2006,Percentage Change in 2006[(+) Increase/(-) Decrease] Over - 1996,Percentage Change in 2006[(+) Increase/(-) Decrease] Over - Q.A,Percentage Change in 2006[(+) Increase/(-) Decrease] Over - 2005,Note of Incidence - 1996
14,Criminal Breach of Trust (Sec.. 406-409 IPC),15368,1.6,14798,1.4,14027,1.3,13432,1.3,14176,1.3,13572,1.2,14001,1.3,13636,1.2,-11.3,-2.6,0.5,NA
15,"Cheating (Sec.. 419,420 IPC)",33823,3.6,44727,4.4,46271,4.4,47478,4.4,51939,4.8,53625,4.9,48808,4.6,58076,5.2,71.7,19,8.3,NA
16,"Counterfeiting (Sec.. 231-254,489A-489D IPC)",2796,0.3,1683,0.2,1522,0.1,2055,0.2,1529,0.1,2383,0.2,1834,0.2,2169,0.2,-22.4,18.2,-9,NA
17,"Arson (Sec.. 435,436,438 IPC)",12425,1.3,10534,1,11820,1.1,9365,0.9,8637,0.8,8451,0.8,9761,0.9,8480,0.8,-31.8,-13.1,0.3,NA
18,"Hurt (Sec.. 323-333,335-338 IPC)",223977,24,271487,26.4,265025,25.2,261444,24.5,276868,25.5,270861,24.6,269137,25.2,264748,23.6,18.2,-1.6,-2.3,NA
19,Dowry Deaths (Sec.. 304B IPC),5513,0.6,6851,0.7,6822,0.6,6208,0.6,7026,0.6,6787,0.6,6739,0.6,7618,0.7,38.2,13,12.2,NA
20,Molestation (Sec.. 354 IPC),28939,3.1,34124,3.3,33943,3.2,32939,3.1,34567,3.2,34175,3.1,33950,3.2,36617,3.3,26.5,7.9,7.1,NA
21,Sexual Harassment (Sec. 509 IPC),5671,0.6,9746,0.9,10155,1,12325,1.2,10001,0.9,9984,0.9,10442,1,9966,0.9,75.7,-4.6,-0.2,NA
22,Cruelty by Husband and Relatives (Sec. 498A IPC),35246,3.8,49170,4.8,49237,4.7,50703,4.7,58121,5.4,58319,5.3,53110,5,63128,5.6,79.1,18.9,8.2,NA
23,Importation of Girls (Sec.. 366B IPC),NA,NA,114,0,76,0,46,0,89,0,149,0,95,0,67,0,NA,-29.3,-55,*
24,Causing Death by Negligence (304A IPC),NA,NA,57182,5.6,64044,6.1,60672,5.7,69423,6.4,71698,6.5,64604,6,78513,7,NA,21.5,9.5,*
25,Other IPC Crimes,714587,76.7,701362,68.3,730297,69.5,700412,65.6,741031,68.3,741977,67.3,723016,67.8,779697,69.6,9.1,7.8,5.1,NA
Total Cognizable Crimes Under IPC,Total Cognizable Crimes Under IPC,1709576,183.4,1769308,172.3,1780330,169.5,1716120,160.7,1832015,168.8,1822602,165.3,1784075,167.3,1878293,167.7,9.9,5.3,3.1,NA
