Crime Head,Below 18 Years - Male,Below 18 Years - Female,18 - 30 Years - Male,18 - 30 Years - Female,30 - 45 Years - Male,30 - 45 Years - Female,45 - 60 Years - Male,45 - 60 Years - Female,60 Years & Above - Male,60 Years & Above - Female,Total of Overall Age-Group - Male,Total of Overall Age-Group - Female,Grand Total of all Persons
Antiquities & Art Treasures Act,0,0,34,0,24,0,4,0,0,0,62,0,62
Dowry Prohibition Act,5,4,3461,628,3108,830,1542,619,232,106,8348,2187,10535
Child Marriage Restraint Act,3,1,57,12,120,43,32,17,2,0,214,73,287
Indecent Representation Of Women (p) Act,0,0,195,704,77,90,20,0,0,0,292,794,1086
Copyright Act,27,0,3829,9,3075,3,746,1,27,0,7704,13,7717
Sati Prevention Act,0,0,0,0,2,4,1,0,0,0,3,4,7
SC/ST (prevention Of Atrocities) Act - Total,46,0,9327,231,9358,341,3611,122,272,10,22614,704,23318
SC/ST (prevention Of Atrocities) Act - (i) Prevention Of Attrocities Act For SCs,44,0,8600,209,8597,308,3339,111,258,10,20838,638,21476
SC/ST (prevention Of Atrocities) Act - (ii) Prevention Of Attrocities Act For STs,2,0,727,22,761,33,272,11,14,0,1776,66,1842
Forest Act,1,0,2912,16,3041,29,1302,15,80,3,7336,63,7399
Other SLL Crimes,1370,72,1588711,16145,1034393,19971,428588,11273,71439,972,3124501,48433,3172934
Total Cognizable Crimes Under SLL,3326,219,2005197,50265,1417404,72400,585599,32492,85217,3869,4096743,159245,4255988
Grand Total (IPC Crimes + SLL Crimes,32795,1712,3271866,111582,2396976,140335,979869,64855,129208,9076,6810714,327560,7138274
