SL. No.,States/U.Ts,Cities,Murder,Culpable Homicide Not Amounting to Murder,Rape,Kidnapping & Abduction,Dacoity,Robbery,Burglary,Thefts,Riots,Criminal Breach of Trust,Cheating ,Counterfeiting,Total Cognizable Crimes Under IPC
6,Bihar,Jamshedpur,25,5,14,35,7,44,176,784,166,24,26,NA,2133
1,Gujarat,Rajkot City,13,NA,NA,20,4,19,142,543,31,40,39,NA,1749
2,Gujarat,Baroda City,13,2,4,36,4,10,352,1561,30,56,90,1,3997
3,Gujarat,Surat City,21,NA,3,38,3,5,98,419,35,32,54,1,1547
4,Gujarat,Bhavnagar City,2,NA,2,3,NA,5,68,249,9,4,3,NA,587
5,Gujarat,Jamnagar City,4,NA,1,4,NA,17,152,365,13,19,13,1,902
6,Gujarat,Nadiad City,2,NA,NA,1,NA,2,46,94,5,7,10,NA,323
1,Haryana,Ambala Cantt.,1,NA,NA,5,NA,NA,52,96,NA,4,7,NA,276
1,Jammu & Kashmir,Srinagar,1,NA,4,54,NA,3,145,182,102,25,22,NA,1534
2,Jammu & Kashmir,Jammu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Karnataka,Mysore City,5,NA,2,6,11,17,504,1243,46,35,75,NA,3016
2,Karnataka,Hubli-Dharwad,12,NA,NA,3,5,11,343,493,39,36,31,2,1539
3,Karnataka,Mangalore City,3,NA,NA,3,NA,NA,99,167,97,16,22,NA,596
4,Karnataka,Gulbarga City,1,NA,NA,2,21,7,97,226,75,2,5,NA,759
5,Karnataka,Bellary City,NA,NA,NA,2,4,1,86,192,13,9,5,1,574
6,Karnataka,Balgaum City,4,NA,NA,6,3,6,111,313,43,38,47,NA,842
7,Karnataka,Davanagere City,5,NA,NA,2,1,2,91,156,58,8,10,3,521
8,Karnataka,Bijapur City,4,NA,NA,1,NA,5,94,116,45,24,15,NA,155
9,Karnataka,Shimoga City,2,NA,NA,2,NA,NA,129,39,10,6,3,NA,217
10,Karnataka,Bhadravathi City,2,NA,NA,NA,NA,NA,78,76,11,2,3,NA,249
1,Kerala,Trivandrum City,15,NA,6,8,NA,8,394,575,294,14,84,3,3119
2,Kerala,Quilon Town,4,NA,NA,NA,1,1,106,115,100,4,10,6,940
3,Kerala,Alleppey Town,6,NA,1,NA,2,3,63,55,101,10,9,2,946
4,Kerala,Ernakulam City,14,NA,2,5,5,28,383,401,322,31,57,NA,2952
5,Kerala,Calicut City,10,NA,4,1,1,1,107,136,165,20,10,4,1704
1,Madhya Pradesh,Gwalior,28,NA,3,18,18,47,565,1129,181,13,49,3,2425
2,Madhya Pradesh,Indore,22,2,19,58,4,66,959,3070,255,72,138,NA,7979
3,Madhya Pradesh,Ujjain,7,NA,15,19,4,26,272,528,58,50,21,NA,2707
4,Madhya Pradesh,Jabalpur,20,1,21,43,1,88,824,2154,155,48,84,3,7140
5,Madhya Pradesh,Sagar,11,NA,9,10,NA,21,155,347,38,10,12,NA,613
6,Madhya Pradesh,Raipur,5,NA,7,12,6,19,333,1013,32,39,38,NA,2176
7,Madhya Pradesh,Bhilai Nagar (Durg),6,NA,10,19,1,21,368,1134,44,13,24,NA,2748
8,Madhya Pradesh,Ratlam,4,NA,1,NA,3,6,120,270,15,12,24,NA,758
9,Madhya Pradesh,Burhanpur (Khandwa),2,1,1,1,NA,2,35,101,4,5,8,NA,432
10,Madhya Pradesh,Bhopal,40,NA,24,75,7,117,986,2471,185,42,113,NA,8332
1,Maharashtra,Pune City,40,1,10,52,4,31,614,2077,118,82,106,2,5606
2,Maharashtra,Nagpur City,42,1,25,40,19,161,736,2528,146,73,157,9,5974
3,Maharashtra,Thana City,7,NA,NA,10,6,42,165,381,133,21,14,NA,862
4,Maharashtra,Ulhasnagar,10,NA,1,25,14,42,307,462,69,19,12,NA,1757
5,Maharashtra,Ahmednagar,NA,NA,NA,7,NA,10,78,262,39,8,9,NA,571
6,Maharashtra,Nasik,7,NA,NA,3,NA,16,100,417,22,20,22,NA,859
7,Maharashtra,Malegaon,4,NA,NA,8,NA,10,65,214,14,12,9,NA,545
8,Maharashtra,Dhule,1,1,NA,1,NA,2,45,227,18,4,17,NA,497
9,Maharashtra,Jalgaon,1,NA,1,1,NA,4,23,131,5,11,11,NA,272
10,Maharashtra,Sangli,6,NA,NA,2,1,9,122,349,7,10,19,NA,693
11,Maharashtra,Solapur,16,NA,2,6,2,13,119,417,54,18,57,NA,712
12,Maharashtra,Kolhapur,5,NA,1,6,NA,10,196,606,20,19,28,NA,1057
13,Maharashtra,Aurangabad,NA,NA,3,6,NA,29,160,537,50,2,25,NA,1121
14,Maharashtra,Nanded,5,NA,2,1,1,9,91,169,24,17,15,NA,579
15,Maharashtra,Akola,5,NA,2,6,2,25,224,698,17,32,31,NA,1449
16,Maharashtra,Amravati,9,NA,1,1,1,15,255,818,19,26,34,NA,1525
1,Manipur,Imphal City,10,1,NA,109,3,21,146,408,38,40,75,1,852
1,Orissa,Cuttack,2,1,3,8,1,18,289,419,68,36,26,NA,871
2,Orissa,Bhubaneswar,2,1,2,5,4,10,249,381,49,31,11,NA,745
3,Orissa,Berhampur,3,1,NA,NA,6,8,112,170,NA,15,10,1,326
4,Orissa,Rourkela,10,NA,3,13,11,35,248,726,84,33,14,NA,1177
1,Punjab,Amritsar,19,4,3,18,NA,NA,96,234,NA,22,17,NA,575
2,Punjab,Jullundur,13,2,NA,12,NA,4,103,206,NA,21,48,NA,638
3,Punjab,Patiala,2,1,1,6,NA,NA,62,128,2,21,13,2,389
4,Punjab,Ludhiana,13,5,3,32,NA,1,70,226,1,29,44,2,810
1,Rajasthan,Ajmer,9,NA,4,16,1,13,152,200,94,21,32,NA,903
2,Rajasthan,Jaipur,21,1,5,97,1,106,564,1854,478,60,173,4,4974
3,Rajasthan,Bikaner,5,NA,3,6,5,18,122,120,107,13,16,NA,604
4,Rajasthan,Jodhpur,11,NA,4,37,NA,45,195,413,178,27,49,NA,1490
5,Rajasthan,Kota,14,2,7,28,4,35,229,474,116,27,61,NA,997
6,Rajasthan,Udaipur,3,NA,1,24,NA,19,129,251,124,29,54,NA,1070
1,Tamil Nadu,Madras City,40,1,9,78,1,28,839,10597,356,548,886,61,19088
2,Tamil Nadu,Madurai City,10,NA,2,15,1,8,209,1296,159,132,54,4,3099
3,Tamil Nadu,Coimbatore City,3,NA,NA,9,NA,6,385,1583,189,99,93,3,2597
4,Tamil Nadu,Vellore Town,3,NA,NA,3,NA,NA,97,400,13,6,17,NA,686
5,Tamil Nadu,Cuddalore,NA,NA,NA,NA,NA,1,21,67,4,NA,5,NA,286
6,Tamil Nadu,Thanjore Town,2,NA,1,4,NA,NA,147,525,28,12,15,NA,1238
7,Tamil Nadu,Tiruchi Town,10,NA,NA,4,NA,5,362,1737,80,111,114,3,3150
8,Tamil Nadu,Dindigul,1,NA,NA,2,NA,NA,55,147,27,7,5,NA,374
9,Tamil Nadu,Tirunelveli Town,4,NA,1,8,NA,2,126,400,38,49,15,4,945
10,Tamil Nadu,Tuticorin Town,6,NA,NA,9,NA,2,34,218,15,6,11,1,648
11,Tamil Nadu,Nagercoil Town,2,NA,NA,NA,NA,NA,63,166,71,8,2,NA,614
12,Tamil Nadu,Salem Town,7,NA,5,13,NA,2,234,722,46,66,82,NA,2307
13,Tamil Nadu,Kancheepuram Town,1,NA,1,NA,NA,NA,68,241,25,11,12,NA,718
14,Tamil Nadu,Kumbakonam Town,2,NA,3,3,NA,1,72,180,45,32,8,NA,375
15,Tamil Nadu,Tiruppur,1,NA,NA,2,NA,NA,46,69,95,7,17,2,2249
16,Tamil Nadu,Erode,2,NA,NA,NA,NA,1,70,134,13,10,5,NA,2122
17,Tamil Nadu,Singanallur,NA,NA,NA,NA,NA,NA,17,72,21,2,NA,NA,1537
1,Uttar Pradesh,Lucknow,73,18,16,136,22,129,1426,6570,313,449,239,NA,11238
2,Uttar Pradesh,Agra,112,50,19,137,271,287,1354,3447,405,218,130,NA,27
3,Uttar Pradesh,Varanasi,17,4,5,39,34,94,474,1279,179,87,66,NA,5513
4,Uttar Pradesh,Allahabad,47,6,7,46,29,405,255,1352,90,133,123,NA,3090
5,Uttar Pradesh,Meerut,33,10,7,48,33,97,427,1541,164,126,78,NA,2574
6,Uttar Pradesh,Bareilly,163,25,25,99,128,218,621,1859,162,181,99,NA,1534
7,Uttar Pradesh,Moradabad,34,9,6,46,22,103,292,915,78,30,NA,NA,5435
8,Uttar Pradesh,Saharanpur,16,3,3,23,11,36,228,626,52,3217,NA,NA,4375
9,Uttar Pradesh,Aligarh,37,3,1,36,28,54,433,736,98,51,37,NA,1892
10,Uttar Pradesh,Gorakhpur,11,5,5,33,43,100,523,1509,257,156,42,NA,3493
11,Uttar Pradesh,Jhansi,4,NA,10,12,5,30,245,660,41,66,29,NA,1102
12,Uttar Pradesh,Dehradun,25,3,5,23,9,68,376,931,46,61,50,NA,1405
13,Uttar Pradesh,Rampur,11,3,3,19,5,21,133,310,22,40,11,NA,643
14,Uttar Pradesh,Mathura,10,2,NA,15,5,38,151,377,59,32,17,NA,948
15,Uttar Pradesh,Shahjahanpur,1,13,8,21,2,28,175,424,45,36,21,NA,1006
16,Uttar Pradesh,Mirzapur,5,3,NA,10,1,7,76,231,21,25,12,NA,491
