SI.No.,Category,State/UT/City,Complaints Received /Cases Registered - No. of Complaints Recived /Alleged During the Year,Complaints Received /Cases Registered - No. of Inquiry instituted - Departmental,Complaints Received /Cases Registered - No. of Inquiry instituted - Magisterial,Complaints Received /Cases Registered - No. of Inquiry instituted - Judicial,Complaints Received /Cases Registered - Complaints/Cases Declared False/Unsubstantiated,Complaints Received /Cases Registered - No. of Cases Registered During the Year,Complaints Received /Cases Registered - No. of Cases Reported for Regular Deptt. Action,Complaints Recived /Cases Registered - No. of Cases Sent up Trials/Chargesheeted,Police Personnel Involved/Action Taken - No. of Police Personnel Sent up for Trial During the year,Police Personnel Involved/Action Taken - No. of Police Personnel in whose Cases Withdrawn or otherwise disposed of,Police Personnel Involved/Action Taken - No. of Police Personnel in whose cases Trial was Completed,Police Personnel Involved/Action Taken - No. of Police Personnel - Convicted,Police Personnel Involved/Action Taken - No. of Police Personnel - Acquitted,Departmental Action/Punishment - No. of Police Personnel - Against Whom Disciplinary Action Initiated,Departmental Action/Punishment - No. of Police Personnel - In whose Cases Withdrawn or Otherwise Disposed of,Departmental Action/Punishment - No. of Police Personnel - In Whose Cases Trial was Completed,Departmental Action/Punishment - No. of Police Personnel - Dismissed/Removed from Service,Departmental Action/Punishment No. of Police Personnel Against Major Punishment Awarded,Departmental Action/Punishment - No. of Police Personnel - Minor Punishment Awarded
32,UT,Pondicherry,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0
Total (UTs),UT,Total (UTs),80049,364,0,0,299,12,94,4,51,0,1,0,1,256,26,92,235,730,3190
Total (All-India),Total (All -India),Total (All-India),123523,12357,326,460,35071,2276,2324,1501,2055,428,277,54,169,18144,2835,8914,1063,3105,22230
33,City,Ahmedabad,142,77,27,1,58,38,8,42,38,2,3,1,11,12,0,0,1,13,0
34,City,Bangalore,16,8,7,1,0,16,6,10,10,1,1,0,1,8,2,1,1,0,0
35,City,Bhopal,286,10,0,0,259,3,0,3,6,0,0,0,0,28,0,19,0,2,12
36,City,Bombay,73,27,46,0,0,73,27,46,46,0,17,2,15,119,6,104,36,12,50
37,City,Calcutta,0,0,0,0,0,3,0,2,2,0,0,0,0,18,4,0,0,0,0
38,City,Coimbatore,10,0,0,0,0,10,0,1,1,3,0,0,0,10,4,0,2,0,0
39,City,Delhi,80025,343,0,0,298,1,85,0,45,0,1,0,1,135,0,0,234,700,3120
40,City,Hyderabad,6,0,1,0,1,5,1,4,12,2,0,0,0,12,0,0,2,0,0
41,City,Indore,1387,0,0,0,1246,15,4,122,126,18,18,4,9,31,15,13,6,5,2
42,City,Jaipur,35,35,0,0,25,10,0,3,10,0,1,0,1,2,0,0,0,0,0
43,City,Kanpur,45,42,0,3,25,20,8,12,12,0,0,0,0,190,14,156,16,45,95
44,City,Kochi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,City,Lucknow,22,22,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,12,10
46,City,Ludhiana,18,14,4,0,18,0,0,0,0,0,0,0,0,0,0,0,1,1,1
47,City,Madras,5,3,1,0,1,6,3,2,6,0,0,0,0,3,0,0,0,0,0
48,City,Madurai,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,13,66
49,City,Nagpur,93,0,0,0,0,0,0,0,4,0,1,0,1,25,7,2,1,4,0
50,City,Patna,23,0,0,23,0,0,0,12,39,5,0,0,0,0,0,0,0,0,0
51,City,Pune,119,119,0,0,0,20,10,10,13,0,0,0,0,108,0,79,39,69,0
52,City,Surat,29,12,0,17,0,17,12,17,17,0,0,0,0,78,29,67,11,18,9
53,City,Vadodra,101,100,21,1,3,21,18,15,16,0,0,0,0,89,2,33,0,0,31
54,City,Varanasi,385,316,25,44,377,8,5,3,3,0,0,0,0,0,0,0,0,0,0
55,City,Vishakhapatnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
