S. No. (Col.1),State/UT (Col.2),Child Victims - Below 6 Years - Male (Col.3),Child Victims - Below 6 Years - Female (Col.4),Child Victims - Below 6 Years - Total (Col.5),Child Victims - 6 Years to 12 Years - Male (Col.6),Child Victims - 6 Years to 12 Years - Female (Col.7),Child Victims - 6 Years to 12 Years - Total (Col.8),Child Victims - 12 Years to 16 Years - Male (Col.9),Child Victims - 12 Years to 16 Years - Female (Col.10),Child Victims - 12 Years to 16 Years - Total (Col.11),Child Victims - 16 Years to 18 Years - Male (Col.12),Child Victims - 16 Years to 18 Years - Female (Col.13),Child Victims - 16 Years to 18 Years - Total (Col.14),Child Victims - Total Child Victims - Male (Col.15),Child Victims - Total Child Victims - Female (Col.16),Child Victims - Total Child Victims - Total (Col.17),Adult Victims - 18 Years to 30 Years - Male (Col.18),Adult Victims - 18 Years to 30 Years - Female (Col.19),Adult Victims - 18 Years to 30 Years - Total (Col.20),Adult Victims - 30 Years to 45 Years - Male (Col.21),Adult Victims - 30 Years to 45 Years - Female (Col.22),Adult Victims - 30 Years to 45 Years - Total (Col.23),Adult Victims - 45 Years to 60 Years - Male (Col.24),Adult Victims - 45 Years to 60 Years - Female (Col.25),Adult Victims - 45 Years to 60 Years - Total (Col.26),Adult Victims - 60 Years & Above - Male (Col.27),Adult Victims - 60 Years & Above - Female (Col.28),Adult Victims - 60 Years & Above - Total (Col.29),Adult Victims - Total Adult Victims - Male (Col.30),Adult Victims - Total Adult Victims - Female (Col.31),Adult Victims - Total Adult Victims - Total (Col.32),Total Victims (Child+Adult) - Male (Col.33),Total Victims (Child+Adult) - Female (Col.34),Total Victims (Child+Adult) - Total (Col.35)
15,Maharashtra,46,48,94,21,18,39,16,13,29,16,13,29,99,92,191,499,355,854,575,218,793,291,97,388,124,45,169,1489,715,2204,1588,807,2395
16,Manipur,0,0,0,2,1,3,0,1,1,0,0,0,2,2,4,26,9,35,18,3,21,14,4,18,1,0,1,59,16,75,61,18,79
17,Meghalaya,1,0,1,0,1,1,0,0,0,0,2,2,1,3,4,17,3,20,54,4,58,26,1,27,0,1,1,97,9,106,98,12,110
18,Mizoram,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,9,8,17,5,4,9,1,2,3,2,1,3,17,15,32,18,15,33
19,Nagaland,0,0,0,1,0,1,0,0,0,0,1,1,1,1,2,10,3,13,22,4,26,4,1,5,0,0,0,36,8,44,37,9,46
20,Odisha,4,2,6,1,2,3,2,2,4,4,2,6,11,8,19,270,300,570,310,221,531,137,80,217,8,6,14,725,607,1332,736,615,1351
21,Punjab,5,3,8,11,8,19,6,7,13,13,5,18,35,23,58,208,73,281,245,73,318,89,29,118,20,9,29,562,184,746,597,207,804
22,Rajasthan,11,3,14,5,2,7,7,0,7,11,0,11,34,5,39,508,115,623,574,91,665,201,29,230,8,6,14,1291,241,1532,1325,246,1571
23,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,9,4,3,7,0,1,1,2,0,2,12,7,19,12,7,19
24,Tamil Nadu,17,24,41,11,13,24,6,10,16,9,12,21,43,59,102,261,133,394,464,162,626,290,97,387,120,54,174,1135,446,1581,1178,505,1683
25,Telangana,4,11,15,10,7,17,5,7,12,8,5,13,27,30,57,214,109,323,291,116,407,180,57,237,25,18,43,710,300,1010,737,330,1067
26,Tripura,0,1,1,0,0,0,0,0,0,2,3,5,2,4,6,24,34,58,34,19,53,17,10,27,3,2,5,78,65,143,80,69,149
27,Uttar Pradesh,26,23,49,55,38,93,102,86,188,94,89,183,277,236,513,1476,488,1964,1320,394,1714,550,124,674,148,42,190,3494,1048,4542,3771,1284,5055
28,Uttarakhand,1,0,1,1,0,1,0,1,1,1,0,1,3,1,4,76,25,101,46,20,66,16,7,23,0,0,0,138,52,190,141,53,194
29,West Bengal,8,8,16,9,10,19,8,12,20,5,9,14,30,39,69,351,604,955,462,315,777,227,66,293,13,12,25,1053,997,2050,1083,1036,2119
Total (States),Total (States),243,235,478,211,173,384,225,197,422,256,195,451,935,800,1735,8216,3645,11861,8550,2899,11449,3694,1071,4765,739,315,1054,21199,7930,29129,22134,8730,30864
30,A & N Islands,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2,4,1,5,2,3,5,1,0,1,7,6,13,8,6,14
31,Chandigarh,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,12,2,14,8,0,8,2,0,2,1,0,1,23,2,25,23,3,26
32,D&N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,1,0,1,1,0,1,0,0,0,4,1,5,4,1,5
33,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,3,0,0,0,0,0,0,4,0,4,4,0,4
34,Delhi UT,5,6,11,4,2,6,10,4,14,3,3,6,22,15,37,192,62,254,136,38,174,47,13,60,9,11,20,384,124,508,406,139,545
35,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Puducherry,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,7,0,7,17,6,23,5,2,7,0,0,0,29,8,37,29,9,38
Total (UTs),Total (UTs),6,7,13,4,2,6,10,5,15,3,3,6,23,17,40,214,67,281,169,45,214,57,18,75,11,11,22,451,141,592,474,158,632
Total (All-India),Total (All-India),249,242,491,215,175,390,235,202,437,259,198,457,958,817,1775,8430,3712,12142,8719,2944,11663,3751,1089,4840,750,326,1076,21650,8071,29721,22608,8888,31496
Percentage Share of age group on Total Victims,Percentage Share of age group on Total Victims,NA,NA,1.6,NA,NA,1.2,NA,NA,1.4,NA,NA,1.5,NA,NA,5.6,NA,NA,38.6,NA,NA,37,NA,NA,15.4,NA,NA,3.4,NA,NA,94.4,NA,NA,100
