S. No. (Col.1),State/UT (Col.2),Murder (Sec 302 IPC) (Col.3) - I,Murder (Sec 302 IPC) (Col.4) - V,Murder (Sec 302 IPC) (Col.5) - R,C.H. Not Amounting to Murder (Sec 304 IPC) (Col.6) - I,C.H. Not Amounting to Murder (Sec 304 IPC) (Col.7) - V,C.H. Not Amounting to Murder (Sec 304 IPC) (Col.8) - R,Attempt to Commit Murder (Sec 307 IPC) (Col.9) - I,Attempt to Commit Murder (Sec 307 IPC) (Col.10) - V,Attempt to Commit Murder (Sec 307 IPC) (Col.11) - R,Attempt to Commit Culpable Homicide (Sec 308 IPC) (Col.12) - I,Attempt to Commit Culpable Homicide (Sec 308 IPC) (Col.13) - V,Attempt to Commit Culpable Homicide (Sec 308 IPC) (Col.14) - R,"Grievous Hurt (Sec.325, 326, 326A & 326B IPC) (Col.15) - I","Grievous Hurt (Sec.325, 326, 326A & 326B IPC) (Col.16) - V","Grievous Hurt (Sec.325, 326, 326A & 326B IPC) (Col.17) - R",Rape (Sec. 376 IPC) (Col.18) - I,Rape (Sec. 376 IPC) (Col.19) - V,Rape (Sec. 376 IPC) (Col.20) - R,Extortion (Sec.384 & 385 -389 IPC) (Col.21) - I,Extortion (Sec.384 & 385 -389 IPC) (Col.22) - V,Extortion (Sec.384 & 385 -389 IPC) (Col.23) - R,Robbery (Sec 392 to 394 IPC) (Col.24) - I,Robbery (Sec 392 to 394 IPC) (Col.25) - V,Robbery (Sec 392 to 394 IPC) (Col.26) - R,Dacoity (Sec 395 to 398 IPC) (Col.27) - I,Dacoity (Sec 395 to 398 IPC) (Col.28) - V,Dacoity (Sec 395 to 398 IPC) (Col.29) - R,Cheating (Section 420 IPC) (Col.30) - I,Cheating (Section 420 IPC) (Col.31) - V,Cheating (Section 420 IPC) (Col.32) - R,Other IPC Crimes * (Col.33) - I,Other IPC Crimes * (Col.34) - V,Other IPC Crimes * (Col.35) - R,Total** (Col.36) - I,Total** (Col.37) - V,Total** (Col.38) - R
14,Madhya Pradesh,82,84,1.4,3,3,0.1,36,36,0.6,2,2,0,191,192,3.3,7,7,0.1,1,1,0,58,58,1,3,3,0.1,62,62,1.1,3432,3452,60.1,3877,3900,67.9
15,Maharashtra,169,169,1.5,13,13,0.1,67,71,0.6,0,0,0,290,293,2.6,4,4,0,18,18,0.2,416,421,3.7,16,17,0.1,800,801,7.2,2901,2940,26.1,4694,4747,42.3
16,Manipur,1,1,0.5,0,0,0,2,2,1,0,0,0,1,1,0.5,0,0,0,0,0,0,1,1,0.5,0,0,0,0,0,0,1,1,0.5,6,6,3
17,Meghalaya,1,1,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.7,2,2,1.4
18,Mizoram,3,3,4.4,0,0,0,0,0,0,0,0,0,3,3,4.4,2,2,2.9,0,0,0,0,0,0,0,0,0,0,0,0,7,7,10.2,15,15,21.9
19,Nagaland,0,0,0,0,0,0,3,3,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2.9
20,Odisha,13,14,0.3,0,0,0,12,12,0.3,0,0,0,53,67,1.3,0,0,0,0,0,0,5,5,0.1,1,1,0,8,8,0.2,137,145,3.4,229,252,5.7
21,Punjab,27,29,0.9,1,1,0,4,4,0.1,0,0,0,8,8,0.3,1,1,0,0,0,0,3,3,0.1,0,0,0,6,6,0.2,41,41,1.4,91,93,3.2
22,Rajasthan,14,14,0.3,0,0,0,3,3,0.1,0,0,0,15,15,0.3,0,0,0,6,6,0.1,6,6,0.1,0,0,0,103,103,2,505,510,9.9,652,657,12.8
23,Sikkim,2,2,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4.9,4,4,9.8
24,Tamil Nadu,171,174,2.3,5,5,0.1,62,67,0.8,0,0,0,16,18,0.2,0,0,0,22,22,0.3,117,117,1.6,6,6,0.1,148,389,2,2348,2409,31.3,2895,3207,38.5
25,Telangana,42,43,1.2,3,3,0.1,7,7,0.2,1,1,0,6,8,0.2,2,2,0.1,9,9,0.3,43,43,1.2,1,1,0,224,236,6.5,1044,1102,30.3,1382,1455,40.1
26,Tripura,5,5,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,1.7,10,11,3.5
27,Uttar Pradesh,188,190,1.2,37,38,0.2,29,29,0.2,5,5,0,77,77,0.5,2,2,0,4,4,0,39,39,0.3,0,0,0,51,51,0.3,189,189,1.2,621,624,4
28,Uttarakhand,0,0,0,0,0,0,1,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.1
29,West Bengal,25,25,0.3,6,6,0.1,17,23,0.2,2,2,0,18,25,0.2,0,0,0,2,2,0,8,8,0.1,1,1,0,6,6,0.1,99,117,1.3,184,215,2.4
Total (States),Total (States),1034,1054,1,92,93,0.1,429,446,0.4,72,72,0.1,907,944,0.9,33,33,0,92,92,0.1,932,938,0.9,39,41,0,1818,2080,1.8,15209,15493,14.8,20657,21286,20.2
30,A & N Islands,1,1,3.9,0,0,0,1,1,3.9,0,0,0,2,2,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,15.7
31,Chandigarh,1,1,1.5,0,0,0,1,1,1.5,0,0,0,3,3,4.5,1,1,1.5,0,0,0,1,1,1.5,0,0,0,8,8,11.9,33,33,49.2,48,48,71.6
32,D&N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Delhi,19,20,1.7,1,1,0.1,8,8,0.7,3,3,0.3,8,8,0.7,0,0,0,4,4,0.3,91,91,7.9,0,0,0,114,114,9.9,437,437,38.1,685,686,59.7
35,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Puducherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.8,15,15,12.5,16,16,13.3
Total (UTs),Total (UTs),21,22,1.5,1,1,0.1,10,10,0.7,3,3,0.2,13,13,0.9,1,1,0.1,4,4,0.3,92,92,6.6,0,0,0,123,123,8.8,485,485,34.9,753,754,54.1
Total (All India),Total (All India),1055,1076,1,93,94,0.1,439,456,0.4,75,75,0.1,920,957,0.9,34,34,0,96,96,0.1,1024,1030,1,39,41,0,1941,2203,1.9,15694,15978,15.3,21410,22040,20.6
