SL. No.,Category,States/U.Ts/Cities,Murder - 1981,Murder - 1982,Murder - Percentage Variation,Kidnapping & Abduction - 1981,Kidnapping & Abduction - 1982,Kidnapping & Abduction - Percentage Variation,Dacoity - 1981,Dacoity - 1982,Dacoity - Perentage Variation,Robbery - 1981,Robbery - 1982,Robbery - Percentage Variation,Burglary - 1981,Burglary - 1982,Burglary - Percentage Variation,Thefts - 1981,Thefts - 1982,Thefts - Percentage Variation,Riots - 1981,Riots - 1982,Riots - Percentage Variation,Criminal Breach of Trust - 1981,Criminal Breach of Trust - 1982,Criminal Breach of Trust - Percentage Variation,Cheating - 1981,Cheating - 1982,Cheating - Percentage Variation,Counterfeiting - 1981,Counterfeiting - 1982,Counterfeiting - Percentage Variation,Total Cognizable Crime - 1981,Total Cognizable Crime - 1982,Total Cognizable Crime - Percentage Variation
25,UT,Chandigarh,9,12,33.3,30,18,-40,NA,NA,NA,5,9,80,87,80,-8,843,858,1.8,21,15,-28.6,50,40,-20,70,67,-4.3,NA,NA,NA,1683,1617,-3.9
26,UT,D & N Haveli,2,7,250,3,2,-33.3,1,NA,NA,3,2,-33.3,25,40,60,44,49,11.4,4,10,150,12,12,0,5,4,-20,NA,NA,NA,192,272,41.7
27,UT,Delhi,199,237,19.1,726,642,-11.6,47,51,8.5,187,156,-16.6,1734,1545,-10.9,17253,13655,-20.9,165,163,-1.2,537,399,-25.7,589,577,-2,16,20,25,30636,27163,-11.3
28,UT,"Goa, Daman & Diu",21,23,9.5,19,11,-42.1,7,5,-28.6,59,44,-25.4,655,598,-8.7,1044,871,-16.6,243,273,12.3,53,42,-20.8,43,45,4.6,12,5,-58.3,3418,3218,-5.9
29,UT,Lakshadweep,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4,1,-75,3,3,0,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,12,15,25
30,UT,Mizoram,19,28,47.4,5,9,80,4,7,75,33,33,0,46,51,10.9,254,183,-28,5,2,-60,26,42,61.5,20,26,30,5,6,20,1506,1709,13.5
31,UT,Pondicherry,11,7,-36.4,13,15,15.4,1,4,300,6,8,33.3,237,182,-23.2,1273,953,-25.1,207,128,-38.2,42,39,-7.2,24,38,58.3,NA,3,NA,2914,2575,-11.6
Total (UTs),UT,Total (UTs),284,351,23.6,825,725,-12.1,65,76,16.9,322,273,-15.2,2961,2695,-9,21139,17005,-19.6,707,651,-7.9,745,592,-20.5,763,764,0.1,33,34,3,41939,38282,-8.7
Total (All-India),Total (All-India),Total (All-India),22727,23339,2.7,13833,13341,-3.6,14626,12700,-13.2,22996,21938,-4.6,157540,142726,-9.4,422059,375240,-11.1,110361,106511,-3.5,20579,18259,-11.3,17767,17471,-1.7,1004,939,-6.5,1385757,1353904,-2.3
1,City,Ahmedabad,57,62,8.8,115,115,0,45,13,-71.1,46,39,-15.2,529,502,-5.1,2672,2931,9.7,891,297,-66.7,95,97,2.1,88,178,102.3,NA,12,NA,10502,11432,8.9
2,City,Bangalore,38,46,21.1,63,40,-36.5,11,4,-63.6,344,186,-45.9,1710,1489,-12.9,8021,6523,-18.7,384,470,22.4,256,185,-27.7,592,457,-22.8,93,88,-5.4,17122,14818,-13.5
3,City,Bombay,228,249,9.2,190,196,3.2,48,84,75,443,617,39.3,1872,1929,3,17073,15726,-7.9,296,413,39.5,843,716,-15.1,930,820,-11.8,9,56,522.2,35263,34696,-1.6
4,City,Calcutta,100,75,-25,138,121,-12.3,63,67,6.3,374,355,-5.1,908,793,-12.7,6513,6338,-2.7,886,761,-14.1,347,325,-6.3,414,429,3.6,28,29,3.6,13951,13249,-5.1
5,City,Delhi,176,216,22.7,690,614,-11,44,49,11.4,174,151,-13.2,1645,1489,-9.5,16787,13186,-21.5,140,147,5,521,379,-27.3,474,549,15.8,16,20,25,29341,25855,-11.9
6,City,Hyderabad,29,43,48.3,51,54,5.9,17,13,-23.5,50,63,26,1164,917,-21.2,3272,2955,-9.7,344,309,-10.2,57,75,31.6,233,329,41.2,5,14,180,6870,6510,-5.2
7,City,Jaipur,204,119,-41.7,172,134,-22.1,250,43,-82.8,87,84,-3.4,574,443,-22.8,2231,1840,-17.5,632,631,-0.2,89,69,-22.5,171,195,14,3,7,133.3,5577,5173,-7.2
8,City,Kanpur,49,34,-30.6,82,46,-43.9,3,NA,NA,186,159,-14.5,812,636,-21.7,3309,2291,-30.8,265,207,-21.9,312,240,-23.1,240,216,-10,37,19,-48.6,5882,6017,2.3
9,City,Lucknow,59,50,-15.3,45,47,4.4,9,10,11.1,121,192,58.7,1137,1129,-0.7,4936,4236,-14.2,251,268,6.8,307,296,-3.6,271,248,-8.5,NA,7,NA,10291,9100,-11.6
10,City,Madras,24,23,-4.2,116,105,-9.5,5,3,-40,50,51,2,690,511,-25.9,7413,5993,-19.2,359,211,-41.2,322,213,-33.9,395,429,8.6,39,53,35.9,15693,13375,-14.8
11,City,Nagpur,71,142,100,110,125,13.6,34,90,164.7,197,191,-3,616,750,21.8,2505,2363,-5.7,120,188,56.7,88,73,-17.1,179,138,-22.9,6,15,150,5750,16763,191.5
12,City,Pune,56,51,-8.9,41,42,2.4,12,19,58.3,83,114,37.3,754,707,-6.2,2707,2269,-16.2,184,214,16.3,92,80,-13,135,121,-10.4,NA,4,NA,8031,7892,-1.7
Total (Cities),City,Total (Cities),1091,1110,1.7,1813,1639,-9.6,541,395,-27,2155,2202,2.2,12411,11295,-9,77439,66641,-14,4752,4116,-13.4,3329,2748,-17.5,4122,4109,-0.3,236,324,37.3,164273,164880,0.4
