SL. No.,Category,State/UT/City,Murder - Incidence (I),Murder - Volume (V),Attempt to Commit Murder - Incidence (I),Attempt to Commit Murder - Volume (V),C.H. Not Amounting to Murder - Incidence (I),C.H. Not Amounting to Murder - Volume (V),Rape - Incidence (I),Rape - Volume (V),Kidnapping & Abduction - Total - Incidence (I),Kidnapping & Abduction - Total - Volume (V),Kidnapping & Abduction - Of Women & Girls - Incidence (I),Kidnapping & Abduction - Of Women & Girls - Volume (V),Kidnapping & Abduction - Of Others - Incidence (I),Kidnapping & Abduction - Of Others - Volume (V),Dacoity - Incidence (I),Dacoity - Volume (V),Preparation & Assembly for Dacoity - Incidence (I),Preparation & Assembly for Dacoity - Volume (V),Robbery - Incidence (I),Robbery - Volume (V),Burglary - Incidence (I),Burglary - Volume (V),Theft - Incidence (I),Theft - Volume (V),Riots - Incidence (I),Riots - Volume (V),Criminal Breach of Trust - Incidence (I),Criminal Breach of Trust - Volume (V),Cheating - Incidence (I),Cheating - Volume (V),Counterfeiting - Incidence (I),Counterfeiting - Volume (V),Other IPC Crimes - incidence (I),Other IPC Crimes - Volume (V),Total Cognizable Crimes Under IPC - Incidence (I),Total Cognizable Crimes Under IPC - Volume (V)
31,UT,Lakshadweep,0,0,1,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17.4,12,26.1,27,58.7,2,4.3,0,0,0,0,41,89.1,91,197.8
32,UT,Pondicherry,39,5.4,19,2.6,0,0,6,0.8,22,3,19,2.6,3,0.4,5,0.7,0,0,21,2.9,253,34.9,978,134.9,169,23.3,19,2.6,24,3.3,6,0.8,1677,231.3,3238,446.6
Total (UTs),UT,Total (UTs),417,3.9,396,3.7,61,0.6,173,1.6,935,8.8,862,8.1,73,0.7,18,0.2,24,0.2,253,2.4,2157,20.2,14424,135.4,425,4,694,6.5,1174,11,39,0.4,16010,150.3,37200,349.2
Total (All-India),Total (All-India),Total (All-India),31222,3.8,23748,2.9,4100,0.5,9752,1.2,17318,2.1,14169,1.7,3149,0.4,9896,1.2,1015,0.1,22480,2.8,129020,15.9,341240,42,98943,12.2,17541,2.2,23691,2.9,2075,0.3,797803,98.3,1529844,188.4
33,City,Ahmedabad,96,3.9,114,4.7,3,0.1,13,0.5,125,5.1,97,4,28,1.1,16,0.7,0,0,94,3.8,810,33.1,4186,171.3,183,7.5,124,5.1,163,6.7,20,0.8,7417,303.5,13364,546.8
34,City,Bangalore,111,3.1,43,1.2,1,0,31,0.9,80,2.2,27,0.8,53,1.5,19,0.5,0,0,188,5.2,1712,47.7,7399,206,241,6.7,326,9.1,727,20.2,657,18.3,11572,322.3,23107,643.5
35,City,Bombay,375,3.6,197,1.9,4,0,108,1,267,2.5,201,1.9,66,0.6,56,0.5,28,0.3,670,6.4,2282,21.7,14802,141.1,261,2.5,1028,9.8,1196,11.4,47,0.4,15988,152.4,37309,355.6
36,City,Calcutta,60,1.8,169,5,24,0.7,27,0.8,110,3.2,85,2.5,25,0.7,28,0.8,2,0.1,155,4.6,375,11,6973,204.8,580,17,321,9.4,478,14,56,1.6,4380,128.7,13738,403.6
37,City,Delhi,295,3.6,319,3.9,31,0.4,137,1.7,797,9.7,750,9.1,47,0.6,11,0.1,21,0.3,200,2.4,1450,17.6,11805,143.3,133,1.6,599,7.3,1069,13,33,0.4,11567,140.4,28467,345.6
38,City,Hyderabad,123,4.9,97,3.8,9,0.4,16,0.6,47,1.9,47,1.9,0,0,13,0.5,0,0,59,2.3,1367,54,3241,128,306,12.1,60,2.4,424,16.7,29,1.1,2272,89.7,8063,318.3
39,City,Jaipur,36,2.5,25,1.8,1,0.1,19,1.3,124,8.7,122,8.6,2,0.1,1,0.1,3,0.2,35,2.5,424,29.8,1480,103.9,827,58,132,9.3,255,17.9,15,1.1,2892,202.9,6269,439.9
40,City,Kanpur,121,6.7,146,8,28,1.5,18,1,163,9,138,7.6,25,1.4,38,2.1,8,0.4,115,6.3,539,27.9,1651,91,174,9.6,255,14,229,12.6,39,2.1,2002,110.3,5526,304.5
41,City,Lucknow,96,9.3,73,7.1,30,2.9,30,2.9,113,10.9,102,9.9,11,1.1,28,2.7,12,1.2,119,11.5,604,58.4,2228,215.5,313,30.3,228,22.1,270,26.1,5,0.5,1187,114.8,5336,516.1
42,City,Madras,62,1.5,0,0,7,0.2,25,0.6,33,0.8,33,0.8,0,0,3,0.1,0,0,87,2.1,461,11.2,4415,107.1,162,3.9,187,4.5,475,11.5,199,4.8,8052,195.4,14168,343.8
43,City,Nagpur,126,8,52,3.3,1,0.1,50,3.2,74,4.7,57,3.6,17,1.1,20,1.3,0,0,323,20.5,856,54.2,2612,165.5,241,15.3,99,6.3,222,14.1,28,1.8,4664,295.6,9368,593.7
44,City,Pune,81,5.2,65,4.2,5,0.3,28,1.8,47,3,38,2.4,9,0.6,21,1.4,2,0.1,168,10.8,872,56.1,2887,185.7,291,18.7,93,6,137,8.8,20,1.3,5663,364.2,10380,667.5
