Category,States/UTs/Cities,Arms Act - Incidence,Arms Act - Rate,Narcotic Drugs & Psychotropic Substances Act - Incidence,Narcotic Drugs & Psychotropic Substances Act - Rate,Gambling Act - Incidence,Gambling Act - Rate,Excise Act - Incidence,Excise Act - Rate,Prohibition Act - Incidence,Prohibition Act - Rate,Explosives & Explosive Substances Act - Incidence,Explosives & Explosive Substances Act - Rate,Immoral Traffic (Prevention) Act - Incidence,Immoral Traffic (Prevention) Act - Rate,Indian Railways Act - Incidence,Indian Railways Act - Rate,Registration of Foreigners Act - Incidence,Registration of Foreigners Act - Rate,Protection of Civil Rights Act (Total) - Incidence,Protection of Civil Rights Act (Total) - Rate,PCR Act for SCs - Incidence,PCR Act for SCs - Rate,PCR Act for STs - Incidence,PCR Act for STs - Rate,Indian Passport Act - Incidence,Indian Passport Act - Rate,Essential Commodities Act - Incidence,Essential Commodities Act - Rate,Terrorist & Disruptive Activities Act - Incidence,Terrorist & Disruptive Activities Act - Rate,Antiquity & Art Treasure Act - Incidence,Antiquity & Art Treasure Act - Rate,Dowry Prohibition Act - Incidence,Dowry Prohibition Act - Rate,Child Marriage Restraint Act - Incidence,Child Marriage Restraint Act - Rate,Indecent Representation of Women (P) Act - Incidence,Indecent Representation of Women (P) Act - Rate,Copyrights Act - Incidence,Copyrights Act - Rate,Sati Prevention Act - Incidence,Sati Prevention Act - Rate,SC/ ST (Prevention of Atrocities) Act (Total) - Incidence,SC/ ST (Prevention of Atrocities) Act (Total) - Rate,SC/ ST (Prevention of Atrocities ) Act for SCs - Incidence,SC/ ST (Prevention of Atrocities ) Act for SCs - Rate,SC/ ST (Prevention of Atrocities) Act for STs - Incidence,SC/ ST (Prevention of Atrocities) Act for STs - Rate,Forest Act - Incidence,Forest Act - Rate,Other SLL Crimes - Incidence,Other SLL Crimes - Rate,Total Cognizable Crimes under SLL - Incidence,Total Cognizable Crimes under SLL - Rate
State,Jharkhand,511,1.9,48,0.2,112,0.4,216,0.8,0,0,52,0.2,3,0,3,0,0,0,0,0,0,0,0,0,0,0,40,0.1,65,0.2,0,0,199,0.7,0,0,0,0,5,0,0,0,93,0.3,53,0.2,40,0.1,47,0.2,335,1.2,1735,6.3
State,Karnataka,100,0.2,282,0.5,7162,13.3,2513,4.7,0,0,70,0.1,1388,2.6,22,0,21,0,101,0.2,101,0.2,0,0,13,0,144,0.3,0,0,2,0,383,0.7,1,0,0,0,141,0.3,0,0,1233,2.3,1099,2,134,0.2,275,0.5,4132,7.7,17983,33.5
State,Kerala,432,1.3,473,1.5,1822,5.6,151,0.5,7162,22.2,352,1.1,132,0.4,13,0,3,0,0,0,0,0,0,0,172,0.5,89,0.3,0,0,0,0,3,0,6,0,26,0.1,152,0.5,0,0,264,0.8,229,0.7,35,0.1,80,0.2,23622,73.2,34954,108.3
State,Madhya Pradesh,8690,14,717,1.2,30295,48.8,20087,32.4,0,0,377,0.6,14,0,12574,20.3,2,0,5,0,5,0,0,0,1,0,183,0.3,0,0,0,0,24,0,2,0,0,0,148,0.2,0,0,880,1.4,570,0.9,310,0.5,97,0.2,130383,210.1,204479,329.4
State,Maharashtra,1346,1.4,495,0.5,24456,24.7,0,0,127316,128.8,58,0.1,182,0.2,17337,17.5,16,0,76,0.1,76,0.1,0,0,19,0,922,0.9,0,0,3,0,23,0,18,0,4,0,760,0.8,0,0,189,0.2,136,0.1,53,0.1,48,0,19500,19.7,192768,195.1
State,Manipur,18,0.7,159,6.5,24,1,0,0,0,0,14,0.6,6,0.2,0,0,3,0.1,0,0,0,0,0,0,4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,601,24.6,829,33.9
State,Meghalaya,47,2,16,0.7,11,0.5,2,0.1,0,0,5,0.2,0,0,0,0,5,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.5,98,4.2
State,Mizoram,22,2.4,74,8.1,0,0,0,0,180,19.8,4,0.4,0,0,0,0,106,11.6,0,0,0,0,0,0,30,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,780,85.7,1196,131.4
State,Nagaland,22,1.1,259,12.7,1,0,17,0.8,31,1.5,7,0.3,4,0.2,12,0.6,9,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,8.1,528,25.8
State,Orissa,239,0.6,107,0.3,624,1.7,8665,23.2,3,0,77,0.2,24,0.1,1,0,0,0,3,0,3,0,0,0,0,0,63,0.2,0,0,0,0,424,1.1,0,0,0,0,12,0,0,0,655,1.8,466,1.2,189,0.5,1,0,232,0.6,11130,29.8
State,Punjab,1082,4.4,3405,13.7,3862,15.6,16404,66.2,12,0,24,0.1,38,0.2,170,0.7,2,0,2,0,2,0,0,0,43,0.2,81,0.3,0,0,0,0,0,0,1,0,8,0,142,0.6,0,0,53,0.2,53,0.2,0,0,0,0,782,3.2,26111,105.4
State,Rajasthan,2819,4.8,675,1.2,10486,18,7736,13.3,0,0,371,0.6,55,0.1,1807,3.1,3,0,1,0,1,0,0,0,12,0,233,0.4,0,0,3,0,6,0,7,0,54,0.1,370,0.6,0,0,3051,5.2,2384,4.1,667,1.1,1691,2.9,5071,8.7,34451,59.3
State,Sikkim,2,0.4,4,0.7,0,0,111,20.1,0,0,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1.3,126,22.8
State,Tamil Nadu,130,0.2,3661,5.8,20376,32.4,0,0,238841,379.5,427,0.7,3530,5.6,61,0.1,29,0,79,0.1,79,0.1,0,0,264,0.4,61,0.1,0,0,0,0,125,0.2,0,0,5,0,711,1.1,0,0,688,1.1,685,1.1,3,0,3,0,302017,479.8,571008,907.2
State,Tripura,38,1.2,12,0.4,1,0,0,0,0,0,6,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.1,71,2.2
State,Uttar Pradesh,33836,19.8,9979,5.8,6615,3.9,24138,14.1,1,0,1094,0.6,42,0,12892,7.5,77,0,122,0.1,122,0.1,0,0,8,0,48,0,0,0,5,0,288,0.2,2,0,0,0,254,0.1,0,0,2997,1.8,2974,1.7,23,0,1964,1.1,480268,281.2,574630,336.4
State,Uttaranchal,1286,14.8,331,3.8,328,3.8,2571,29.6,0,0,6,0.1,0,0,24,0.3,2,0,0,0,0,0,0,0,2,0,12,0.1,0,0,0,0,1,0,0,0,0,0,16,0.2,0,0,87,1,85,1,2,0,117,1.3,38971,449.2,43754,504.3
State,West Bengal,1717,2.1,493,0.6,789,1,482,0.6,4,0,100,0.1,42,0.1,5068,6.2,1386,1.7,0,0,0,0,0,0,4,0,332,0.4,0,0,1,0,6,0,0,0,0,0,154,0.2,0,0,8,0,2,0,6,0,0,0,1148275,1405.4,1158861,1418.3
State,Total (States),59742,5.8,24477,2.4,173504,16.8,112222,10.9,488083,47.2,4603,0.4,11140,1.1,55695,5.4,1734,0.2,1046,0.1,999,0.1,47,0,655,0.1,3533,0.3,65,0,77,0,2806,0.3,113,0,2508,0.2,3766,0.4,0,0,12555,1.2,10755,1,1800,0.2,4709,0.5,2763442,267.4,3726481,360.6
Union Territory,A & N Islands,0,0,4,1.1,22,6,3850,1054.8,103,28.2,1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336,92.1,4316,1182.5
Union Territory,Chandigarh,7,0.8,47,5,117,12.6,395,42.4,0,0,3,0.3,3,0.3,0,0,1,0.1,0,0,0,0,0,0,0,0,7,0.8,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,151,16.2,740,79.4
Union Territory,D & N Haveli,2,0.9,1,0.4,0,0,7,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.4,0,0,0,0,0,0,0,0,0,0,2,0.9,0,0,0,0,0,0,0,0,0,0,3,1.3,16,7
Union Territory,Daman & Diu,0,0,0,0,1,0.6,0,0,0,0,0,0,3,1.8,1,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6,0,0,0,0,0,0,0,0,0,0,3,1.8,9,5.5
Union Territory,Delhi,4591,31.9,749,5.2,1336,9.3,8586,59.7,0,0,26,0.2,69,0.5,1,0,17,0.1,1,0,1,0,0,0,37,0.3,30,0.2,0,0,0,0,7,0,0,0,0,0,241,1.7,0,0,15,0.1,15,0.1,0,0,0,0,2566,17.8,18272,127
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,3,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.6,4,6.5
Union Territory,Puducherry,41,4.1,1,0.1,21,2.1,2,0.2,0,0,1,0.1,27,2.7,0,0,2,0.2,18,1.8,18,1.8,0,0,1,0.1,22,2.2,0,0,0,0,3,0.3,0,0,0,0,16,1.6,0,0,0,0,0,0,0,0,1,0.1,848,85.6,1004,101.3
Union Territory,Total (UTs),4641,27.1,802,4.7,1497,8.8,12840,75.1,106,0.6,31,0.2,102,0.6,2,0,20,0.1,19,0.1,19,0.1,0,0,38,0.2,60,0.4,0,0,0,0,10,0.1,0,0,0,0,269,1.6,0,0,15,0.1,15,0.1,0,0,1,0,3908,22.9,24361,142.5
Total (All-India),Total (All-India),64383,6.1,25279,2.4,175001,16.7,125062,11.9,488189,46.5,4634,0.4,11242,1.1,55697,5.3,1754,0.2,1065,0.1,1018,0.1,47,0,693,0.1,3593,0.3,65,0,77,0,2816,0.3,113,0,2508,0.2,4035,0.4,0,0,12570,1.2,10770,1,1800,0.2,4710,0.4,2767350,263.4,3750842,357
City,Agra,637,48.2,278,21,697,52.8,335,25.4,0,0,13,1,3,0.2,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,2.1,0,0,163,12.3,163,12.3,0,0,35,2.6,16604,1256.9,18794,1422.7
City,Ahmedabad,43,1,12,0.3,806,17.8,0,0,4882,108,21,0.5,2,0,0,0,0,0,1,0,1,0,0,0,0,0,13,0.3,0,0,0,0,0,0,0,0,0,0,54,1.2,0,0,13,0.3,13,0.3,0,0,0,0,3848,85.2,9695,214.5
City,Allahabad,198,18.9,223,21.2,61,5.8,124,11.8,0,0,129,12.3,15,1.4,1,0.1,0,0,0,0,0,0,0,0,0,0,3,0.3,0,0,0,0,2,0.2,0,0,0,0,17,1.6,0,0,28,2.7,28,2.7,0,0,16,1.5,8092,770.7,8909,848.5
City,Amritsar,56,5.5,135,13.4,169,16.7,896,88.6,0,0,5,0.5,6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,8,0.8,0,0,0,0,0,0,0,0,0,0,28,2.8,0,0,2,0.2,2,0.2,0,0,0,0,28,2.8,1333,131.8
City,Asansol,43,3.9,1,0.1,8,0.7,2,0.2,0,0,2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.2,0,0,0,0,0,0,0,0,0,0,8,0.7,0,0,0,0,0,0,0,0,0,0,17,1.6,83,7.6
City,Bangalore,9,0.2,34,0.6,183,3.2,341,6,0,0,3,0.1,408,7.2,0,0,13,0.2,5,0.1,5,0.1,0,0,13,0.2,11,0.2,0,0,0,0,259,4.6,0,0,0,0,77,1.4,0,0,93,1.6,90,1.6,3,0.1,0,0,1020,17.9,2469,43.4
City,Bhopal,469,32.2,64,4.4,1894,130.2,506,34.8,0,0,8,0.5,3,0.2,0,0,1,0.1,0,0,0,0,0,0,0,0,10,0.7,0,0,0,0,0,0,1,0.1,0,0,17,1.2,0,0,80,5.5,71,4.9,9,0.6,0,0,12,0.8,3065,210.7
City,Chennai,4,0.1,281,4.4,5256,81.8,0,0,2483,38.6,6,0.1,647,10.1,0,0,1,0,0,0,0,0,0,0,4,0.1,1,0,0,0,0,0,0,0,0,0,1,0,157,2.4,0,0,7,0.1,7,0.1,0,0,0,0,75713,1178.4,84561,1316.1
City,Coimbatore,0,0,167,11.5,127,8.8,0,0,269,18.6,2,0.1,218,15.1,0,0,0,0,0,0,0,0,0,0,2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,8,0.6,0,0,9,0.6,9,0.6,0,0,0,0,3148,217.7,3950,273.2
City,Delhi (City),4309,33.7,728,5.7,1308,10.2,7454,58.3,0,0,23,0.2,69,0.5,1,0,16,0.1,1,0,1,0,0,0,37,0.3,27,0.2,0,0,0,0,7,0.1,0,0,0,0,228,1.8,0,0,15,0.1,15,0.1,0,0,0,0,2393,18.7,16616,129.9
City,Dhanbad,40,3.8,13,1.2,23,2.2,17,1.6,0,0,8,0.8,1,0.1,1,0.1,0,0,0,0,0,0,0,0,0,0,4,0.4,1,0.1,0,0,62,5.8,0,0,0,0,0,0,0,0,15,1.4,9,0.8,6,0.6,0,0,48,4.5,233,21.9
City,Faridabad,233,22.1,57,5.4,859,81.4,1739,164.8,0,0,4,0.4,5,0.5,0,0,6,0.6,0,0,0,0,0,0,0,0,6,0.6,0,0,0,0,0,0,0,0,0,0,14,1.3,0,0,4,0.4,4,0.4,0,0,0,0,283,26.8,3210,304.3
City,Hyderabad,83,1.5,22,0.4,351,6.3,38,0.7,536,9.7,55,1,44,0.8,0,0,2,0,5,0.1,5,0.1,0,0,62,1.1,0,0,0,0,4,0.1,3,0.1,1,0,548,9.9,45,0.8,0,0,40,0.7,36,0.7,4,0.1,0,0,45097,814.9,46936,848.1
City,Indore,1077,65.7,24,1.5,1242,75.8,831,50.7,0,0,7,0.4,3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,12,0.7,0,0,0,0,0,0,0,0,0,0,30,1.8,0,0,9,0.5,8,0.5,1,0.1,1,0.1,168,10.3,3404,207.7
City,Jabalpur,537,48.1,23,2.1,2154,192.8,1076,96.3,0,0,134,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.8,0,0,60,5.4,36,3.2,24,2.1,1,0.1,32261,2888.2,36255,3245.7
City,Jaipur,357,15.4,44,1.9,765,32.9,761,32.7,0,0,3,0.1,21,0.9,0,0,0,0,0,0,0,0,0,0,0,0,9,0.4,0,0,0,0,0,0,0,0,0,0,91,3.9,0,0,85,3.7,56,2.4,29,1.2,7,0.3,547,23.5,2690,115.7
City,Jamshedpur,42,3.8,7,0.6,13,1.2,52,4.7,0,0,2,0.2,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,5,0.5,123,11.2
City,Kanpur,1054,39.2,684,25.4,254,9.4,473,17.6,0,0,215,8,0,0,0,0,1,0,0,0,0,0,0,0,2,0.1,0,0,0,0,0,0,25,0.9,0,0,0,0,9,0.3,0,0,188,7,188,7,0,0,27,1,28921,1075.1,31853,1184.1
City,Kochi,27,2,48,3.5,17,1.3,0,0,165,12.2,2,0.1,6,0.4,0,0,2,0.1,0,0,0,0,0,0,1,0.1,2,0.1,0,0,0,0,0,0,0,0,2,0.1,14,1,0,0,4,0.3,4,0.3,0,0,0,0,1826,134.8,2116,156.2
City,Kolkata,213,1.6,118,0.9,306,2.3,409,3.1,0,0,25,0.2,28,0.2,8,0.1,0,0,0,0,0,0,0,0,0,0,34,0.3,0,0,0,0,0,0,0,0,0,0,91,0.7,0,0,0,0,0,0,0,0,0,0,1145725,8668.6,1146957,8677.9
City,Lucknow,785,34.6,258,11.4,148,6.5,195,8.6,0,0,27,1.2,3,0.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,36,1.6,0,0,44,1.9,44,1.9,0,0,32,1.4,12014,530,13544,597.4
City,Ludhiana,236,16.9,143,10.3,303,21.7,463,33.2,0,0,1,0.1,2,0.1,0,0,0,0,1,0.1,1,0.1,0,0,0,0,14,1,0,0,0,0,0,0,0,0,8,0.6,30,2.2,0,0,2,0.1,2,0.1,0,0,0,0,403,28.9,1606,115.1
City,Madurai,0,0,122,10.2,339,28.4,0,0,1491,124.8,3,0.3,201,16.8,0,0,1,0.1,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,35,2.9,0,0,11,0.9,11,0.9,0,0,0,0,12870,1077,15074,1261.4
City,Meerut,804,68.9,171,14.7,333,28.5,127,10.9,0,0,9,0.8,4,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0,1,0.1,0,0,23,2,0,0,19,1.6,19,1.6,0,0,5,0.4,15024,1287.4,16521,1415.7
City,Mumbai,267,1.6,127,0.8,354,2.2,0,0,1755,10.7,6,0,138,0.8,5,0,7,0,2,0,2,0,0,0,3,0,15,0.1,0,0,0,0,1,0,0,0,0,0,243,1.5,0,0,5,0,5,0,0,0,1,0,2112,12.9,5041,30.8
City,Nagpur,395,18.6,70,3.3,1015,47.8,0,0,2587,121.9,0,0,4,0.2,4,0.2,0,0,1,0,1,0,0,0,1,0,33,1.6,0,0,0,0,3,0.1,1,0,0,0,26,1.2,0,0,2,0.1,2,0.1,0,0,2,0.1,1048,49.4,5192,244.6
City,Nasik,7,0.6,6,0.5,152,13.2,0,0,762,66.1,1,0.1,2,0.2,1,0.1,0,0,0,0,0,0,0,0,0,0,8,0.7,0,0,0,0,0,0,1,0.1,0,0,5,0.4,0,0,3,0.3,3,0.3,0,0,0,0,399,34.6,1347,116.9
City,Patna,205,12,1,0.1,24,1.4,29,1.7,0,0,36,2.1,3,0.2,0,0,0,0,0,0,0,0,0,0,1,0.1,3,0.2,0,0,0,0,23,1.3,0,0,0,0,6,0.4,0,0,7,0.4,7,0.4,0,0,1,0.1,123,7.2,462,27.1
City,Pune,15,0.4,21,0.6,100,2.7,0,0,2825,75.2,0,0,11,0.3,1,0,4,0.1,0,0,0,0,0,0,0,0,13,0.3,0,0,0,0,0,0,0,0,0,0,65,1.7,0,0,9,0.2,9,0.2,0,0,0,0,2217,59,5281,140.6
City,Rajkot,3,0.3,16,1.6,298,29.7,0,0,2274,226.9,1,0.1,7,0.7,0,0,0,0,0,0,0,0,0,0,0,0,5,0.5,0,0,0,0,0,0,0,0,0,0,8,0.8,0,0,13,1.3,11,1.1,2,0.2,0,0,221,22.1,2846,284
City,Surat,50,1.8,8,0.3,459,16.3,0,0,14391,512,1,0,43,1.5,0,0,1,0,0,0,0,0,0,0,0,0,23,0.8,0,0,0,0,0,0,0,0,0,0,20,0.7,0,0,11,0.4,9,0.3,2,0.1,0,0,7999,284.6,23006,818.4
City,Vadodara,32,2.1,2,0.1,341,22.9,0,0,6440,431.6,15,1,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.1,31,2.1,0,0,2,0.1,2,0.1,0,0,0,0,1041,69.8,7907,530
City,Varanasi,578,47.7,606,50,72,5.9,147,12.1,0,0,29,2.4,2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.7,0,0,0,0,2,0.2,0,0,27,2.2,27,2.2,0,0,15,1.2,16617,1371,18104,1493.7
City,Vijayawada,3,0.3,7,0.7,2307,228.2,289,28.6,46,4.5,11,1.1,87,8.6,0,0,0,0,26,2.6,24,2.4,2,0.2,0,0,0,0,0,0,0,0,35,3.5,0,0,0,0,30,3,0,0,9,0.9,7,0.7,2,0.2,0,0,79619,7875.3,82469,8157.2
City,Vishakhapatnam,0,0,0,0,1015,76.4,25,1.9,1,0.1,1,0.1,27,2,0,0,0,0,4,0.3,4,0.3,0,0,0,0,0,0,0,0,0,0,3,0.2,0,0,0,0,4,0.3,0,0,7,0.5,5,0.4,2,0.2,0,0,2950,222,4037,303.8
Total (Cities),Total (Cities),12811,11.9,4521,4.2,23753,22,16329,15.1,40907,37.9,808,0.7,2015,1.9,23,0,55,0.1,46,0,44,0,2,0,127,0.1,257,0.2,2,0,5,0,432,0.4,5,0,561,0.5,1489,1.4,0,0,986,0.9,902,0.8,84,0.1,144,0.1,1520413,1409.4,1625689,1506.9
