SI.No.,State/UT/City,Disposal of Cases under - Murder - Confession,Disposal of Cases under - Murder - Trial,Disposal of Cases under - Murder - Total,Disposal of Cases Under - Attempt To Commit Murder - Confession,Disposal of Cases Under - Attempt To Commit Murder - Trial,Disposal of Cases Under - Attempt To Commit Murder - Total,Disposal Of Cases Under - C.H. Not Amounting to Murder - Confession,Disposal Of Cases Under C.H. Not Amounting to Murder - Trial,Disposal Of Cases Under - C.H. Not Amounting to Murder - Total,Disposal Of Cases Under - Rape - Confession,Disposal Of Cases Under - Rape -Trial,Disposal Of Cases Under - Rape - Total,Disposal of Cases Under - Kidnapping & Abuduction - Confession,Disposal of Cases Under - Kidnapping & Abuduction - Trial,Disposal of Cases Under - Kidnapping & Abuduction - Total,Disposal of Cases Under - Women & Girls - Confession,Disposal of Cases Under - Women & Girls - Trial,Disposal of Cases Under - Women & Girls - Trial,Disposal of Cases Under - Others - Confession,Disposal of Cases Under - Others - Trial,Disposal of Cases Under - Others - Total,Disposal of Cases Under - Dacoity - Confession,Disposal of Cases Under - Dacoity - Trial,Disposal of Cases Under - Dacoity - Total,Disposal Of Cases Under - Preparation & Assembly for Dacoity - Confession,Disposal Of Cases Under - Preparation & Assembly for Dacoity - Trial,Disposal Of Cases Under - Preparation & Assembly for Dacoity - Total,Disposal of Cases Under - Robbery - Confession,Disposal of Cases Under - Robbery - Trial,Disposal of Cases Under - Robbery - Total,Disposal of Cases Under - Riot - Confession,Disposal of Cases Under - Riot - Trial,Disposal of Cases Under - Riot - Total,Disposal of Cases Under - Arson - Confession,Disposal of Cases Under - Arson - Trial,Disposal of Cases Under - Arson - Total,Disposal of Cases Under - Dowry Deaths - Confession,Disposal of Cases Under - Dowry Deaths - Trial,Disposal of Cases Under - Dowry Deaths - Total,Disposal of Cases Under - Total - Confession,Disposal of Cases Under - Total - Trial,Disposal of Cases Under - Total - Total
20,Rajasthan,0,958,958,1,1516,1517,0,55,55,0,737,737,5,766,771,5,615,620,0,151,151,0,90,90,0,7,7,0,607,607,47,12348,12395,0,470,470,0,196,196,53,17750,17803
21,Sikkim,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,Tamil Nadu,12,1504,1516,20,1545,1565,1,38,39,2,222,224,5,406,411,3,303,306,2,103,105,0,99,99,0,1,1,1,363,364,297,4060,4357,3,459,462,11,73,84,352,8770,9122
23,Tripura,0,206,206,0,20,20,0,1,1,0,69,69,0,138,138,0,25,25,0,113,113,0,49,49,0,0,0,0,39,39,0,130,130,0,14,14,0,4,4,0,670,670
24,Uttar Pradesh,7,5506,5513,11,5711,5722,2,932,934,5,1184,1189,15,1872,1887,14,1317,1331,1,555,556,0,549,549,1,166,167,7,1834,1841,30,4215,4245,1,448,449,5,1314,1319,84,23731,23815
25,West Bengal,1,382,383,1,264,265,0,194,194,5,320,325,3,312,315,2,239,241,1,73,74,0,91,91,0,74,74,0,130,130,9,1592,1601,0,42,42,0,88,88,19,3489,3508
Total States,Total States,195,22457,22652,125,19479,19604,12,2186,2198,124,9778,9902,68,8724,8792,46,5985,6031,22,2739,2761,23,3379,3402,1,618,619,78,9186,9264,1102,52471,53573,72,4948,5020,27,3914,3941,1827,137140,138967
26,A & N Islands,0,4,4,0,1,1,0,1,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,13,13,0,2,2,0,0,0,0,26,26
27,Chandigarh,0,12,12,0,12,12,0,0,0,0,11,11,0,22,22,0,9,9,0,13,13,0,0,0,0,0,0,0,2,2,0,61,61,0,1,1,0,8,8,0,129,129
28,D & N Haveli,0,7,7,0,2,2,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,15,15,0,0,0,0,0,0,0,28,28
29,Daman & DIU,0,6,6,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,11,11,0,0,0,0,0,0,0,20,20
30,Delhi,285,538,823,265,546,811,106,127,233,280,311,591,869,1075,1944,668,827,1495,201,248,449,25,71,96,36,51,87,307,935,1242,58,131,189,28,11,39,105,77,182,2364,3873,6237
31,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1
32,Pondicherry,0,40,40,0,10,10,0,1,1,0,3,3,0,8,8,0,4,4,0,4,4,0,3,3,0,0,0,0,0,0,0,46,46,0,3,3,0,1,1,0,115,115
Total (UTs),Total (UTs),285,607,892,265,571,836,106,130,236,280,332,612,869,1106,1975,668,841,1509,201,265,466,25,74,99,36,51,87,307,940,1247,58,278,336,28,17,45,105,86,191,2364,4192,6556
Total (All -India),Total (All -India),480,23064,23544,390,20050,20440,118,2316,2434,404,10110,10514,937,9830,10767,714,6826,7540,223,3004,3227,48,3453,3501,37,669,706,385,10126,10511,1160,52749,53909,100,4965,5065,132,4000,4132,4191,141332,145523
33,Ahmedabad,0,52,52,0,31,31,0,0,0,0,23,23,0,88,88,0,64,64,0,24,24,0,4,4,0,1,1,0,44,44,0,88,88,0,1,1,0,36,36,0,368,368
34,Bangalore,2,175,177,0,254,254,0,0,0,0,24,24,0,126,126,0,62,62,0,64,64,0,38,38,0,0,0,1,228,229,0,191,191,0,92,92,0,10,10,3,1138,1141
35,Bhopal,0,51,51,0,100,100,0,0,0,0,64,64,0,21,21,0,13,13,0,8,8,0,12,12,0,0,0,0,69,69,0,29,29,0,3,3,0,29,29,0,378,378
36,Calcutta,0,73,73,0,329,329,0,1,1,0,24,24,0,40,40,0,19,19,0,21,21,0,14,14,0,0,0,0,98,98,0,85,85,0,0,0,0,16,16,0,680,680
37,Chennai,0,35,35,0,26,26,0,0,0,0,0,0,0,7,7,0,5,5,0,2,2,0,0,0,0,0,0,0,10,10,0,53,53,0,23,23,0,2,2,0,156,156
38,Coimbatore,231,458,689,227,481,708,72,86,158,215,248,463,726,905,1631,533,661,1194,193,244,437,19,54,73,26,36,62,273,833,1106,52,119,171,23,10,33,94,67,161,1958,3297,5255
39,Delhi,0,101,101,0,50,50,0,2,2,0,17,17,0,31,31,0,26,26,0,5,5,0,17,17,0,0,0,0,65,65,0,161,161,0,0,0,0,22,22,0,466,466
40,Hyderabad,60,49,109,48,101,149,0,0,0,21,54,75,1,8,9,0,5,5,1,3,4,2,0,2,0,2,2,2,7,9,6,18,24,0,0,0,20,43,63,160,282,442
41,Indore,0,29,29,1,67,68,0,2,2,0,14,14,5,24,29,5,16,21,0,8,8,0,2,2,0,0,0,0,29,29,47,495,542,0,4,4,0,13,13,53,679,732
42,Jaipur,0,203,203,0,127,127,0,20,20,0,25,25,0,74,74,0,58,58,0,16,16,0,24,24,0,2,2,0,73,73,0,89,89,0,6,6,0,51,51,0,694,694
43,Kanpur,0,7,7,0,12,12,0,2,2,0,8,8,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,13,13,0,86,86,0,6,6,0,1,1,0,137,137
44,Kochi,0,6,6,0,83,83,0,4,4,0,5,5,0,23,23,0,17,17,0,6,6,0,11,11,0,21,21,0,57,57,0,163,163,0,0,0,0,0,0,0,373,373
45,Lucknow,0,101,101,0,92,92,0,20,20,0,24,24,0,46,46,0,41,41,0,5,5,0,6,6,0,4,4,0,38,38,0,143,143,0,3,3,0,21,21,0,498,498
46,Ludhiana,0,51,51,0,28,28,0,4,4,0,18,18,0,13,13,0,10,10,0,3,3,0,0,0,0,11,11,0,5,5,0,0,0,0,3,3,0,12,12,0,145,145
47,Madurai,0,30,30,0,34,34,0,0,0,0,2,2,0,11,11,0,8,8,0,3,3,0,1,1,0,0,0,6,34,40,0,68,68,0,0,0,0,0,0,6,180,186
48,Mumbai,0,261,261,0,48,48,0,1,1,0,102,102,0,115,115,0,83,83,0,32,32,0,41,41,0,26,26,0,237,237,0,189,189,0,1,1,0,19,19,0,1040,1040
49,Nagpur,0,35,35,0,12,12,0,1,1,0,15,15,0,11,11,0,10,10,0,1,1,0,3,3,0,1,1,0,38,38,0,28,28,0,1,1,0,1,1,0,146,146
50,Patna,0,48,48,0,53,53,0,1,1,0,9,9,0,18,18,0,3,3,0,15,15,0,15,15,0,2,2,0,54,54,0,50,50,0,5,5,0,16,16,0,271,271
51,Pune,0,59,59,0,32,32,0,2,2,0,46,46,0,22,22,0,19,19,0,3,3,0,7,7,0,4,4,0,14,14,118,255,373,0,1,1,0,9,9,118,451,569
52,Surat,0,16,16,0,7,7,0,0,0,0,6,6,2,4,6,1,3,4,1,1,2,0,1,1,0,0,0,0,12,12,0,35,35,0,0,0,0,4,4,2,85,87
53,Vadodra,0,31,31,0,10,10,0,1,1,0,16,16,0,36,36,0,30,30,0,6,6,0,2,2,0,0,0,0,14,14,0,130,130,0,2,2,0,5,5,0,247,247
54,Varanasi,0,30,30,0,52,52,0,8,8,0,9,9,0,16,16,0,10,10,0,6,6,0,3,3,0,2,2,0,28,28,0,28,28,0,2,2,0,10,10,0,188,188
55,Vishakhapatnam,0,6,6,0,25,25,0,0,0,0,14,14,0,1,1,0,1,1,0,0,0,0,2,2,0,0,0,0,4,4,0,3,3,0,3,3,0,8,8,0,66,66
Total Cities,Total Cities,293,1907,2200,276,2054,2330,72,155,227,236,767,1003,734,1640,2374,539,1164,1703,195,476,671,21,259,280,26,112,138,282,2004,2286,223,2506,2729,23,166,189,114,395,509,2300,11965,14265
