States/ UTs,Cities,Murder,Attempt to Commit Murder,Culpable Homicide Not Amounting to Murder,Rape - Total,Rape - Custodial,Rape - Others,Kidnapping & Abduction - Total,Kidnapping & Abduction - Women & Girls,Kidnapping & Abduction - Others,Dacoity,Prepration & Assembly for Dacoity,Robbery,Burglary,Theft - Total,Theft - Auto Theft,Theft - Other Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Arson,Hurt,Dowry Death,Molestation,Sexual Harassment,Cruelty by Husband & Relatives,Importation of Girls,Causing Death by Negligence,Other IPC Crimes,Total Cog. Crimes under IPC
Rajasthan,Jaipur,47,84,7,56,0,56,161,134,27,4,3,42,695,3370,1735,1635,641,207,1261,15,16,935,21,133,0,402,0,386,4738,13224
Rajasthan,Jodhpur,23,62,0,10,0,10,48,41,7,2,0,15,203,945,574,371,49,67,464,5,11,860,5,47,2,205,0,103,989,4115
Rajasthan,Kota,29,137,4,21,0,21,98,88,10,0,1,33,207,975,553,422,31,30,324,2,12,272,4,53,1,261,0,96,1926,4517
Rajasthan,Udaipur,13,30,0,4,0,4,35,26,9,2,0,45,130,327,168,159,71,18,288,1,5,373,2,12,0,9,0,64,675,2104
Tamil Nadu,Chennai,67,210,4,30,0,30,37,20,17,4,0,47,430,3263,784,2479,33,25,359,3,0,667,23,55,189,154,0,570,6266,12436
Tamil Nadu,Coimbatore,17,15,0,4,0,4,8,4,4,3,0,17,148,1064,410,654,194,33,66,1,4,144,4,16,21,29,0,185,1858,3831
Tamil Nadu,Madurai,16,32,0,8,0,8,27,23,4,2,0,18,79,529,185,344,71,10,143,1,7,143,5,34,40,38,0,103,1858,3164
Tamil Nadu,Salem,22,14,0,11,0,11,6,4,2,0,3,3,49,258,66,192,12,2,42,2,2,134,9,5,27,18,0,115,2131,2865
Tamil Nadu,Thirunelveli,19,40,0,3,0,3,6,4,2,1,0,7,27,161,12,149,12,0,26,0,8,52,2,13,18,13,0,57,840,1305
Tamil Nadu,Trichy,13,14,1,0,0,0,6,3,3,3,0,1,82,374,61,313,5,3,49,0,2,55,4,8,102,32,0,108,1753,2615
Uttar Pradesh,Agra,72,71,12,16,0,16,111,87,24,6,1,50,168,944,536,408,144,107,138,17,5,238,30,42,82,212,0,185,791,3442
Uttar Pradesh,Aligarh,57,83,6,14,0,14,64,45,19,3,0,43,83,542,322,220,91,49,98,1,5,103,14,16,30,129,0,92,390,1913
Uttar Pradesh,Allahabad,41,50,7,2,0,2,27,17,10,0,1,21,100,365,205,160,72,44,90,3,0,38,11,4,17,65,0,72,521,1551
Uttar Pradesh,Bareilly,66,62,8,3,0,3,45,32,13,9,2,50,86,348,110,238,39,34,107,5,0,137,9,11,51,84,3,120,492,1771
Uttar Pradesh,Gorakhpur,27,32,11,2,0,2,11,10,1,0,0,19,46,210,131,79,56,34,42,0,0,144,9,21,35,16,0,199,122,1036
Uttar Pradesh,Kanpur,149,126,36,20,0,20,109,83,26,5,5,62,161,938,634,304,96,98,211,7,6,402,46,40,239,202,0,361,1207,4526
Uttar Pradesh,Lucknow,106,111,17,29,0,29,128,104,24,8,3,89,432,2143,1017,1126,123,181,311,18,5,20,22,41,136,255,0,221,1901,6300
Uttar Pradesh,Meerut,82,78,8,13,0,13,62,35,27,12,3,64,104,855,525,330,58,59,96,7,2,35,7,27,115,153,0,85,554,2479
Uttar Pradesh,Moradabad,63,48,8,18,0,18,32,27,5,4,1,30,43,273,143,130,26,25,59,6,1,21,11,27,74,83,0,96,487,1436
Uttar Pradesh,Varanasi,48,38,16,3,0,3,29,18,11,2,2,30,88,488,353,135,35,36,39,3,0,75,10,3,49,33,0,1,529,1557
West Bengal,Asansol,28,6,8,9,0,9,10,1,9,3,23,7,19,112,34,78,62,7,13,0,1,40,7,37,2,247,0,105,316,1062
West Bengal,Howrah,30,4,8,15,0,15,17,13,4,10,67,22,5,402,142,260,33,15,102,2,5,122,5,16,2,120,0,134,856,1992
West Bengal,Kolkata,37,78,16,27,0,27,119,95,24,19,53,117,140,3695,763,2932,227,225,922,12,0,1228,10,174,34,252,1,431,2940,10757
Delhi,Delhi (City),401,439,75,457,0,457,1066,766,300,27,113,403,1586,17894,8338,9556,55,405,2209,43,36,1564,111,506,128,1235,0,392,19532,48677
