Crime Head,Incidence - Year - 1991,Rate of Crime - Year - 1991,Incidence - Year - 1996,Rate of Crime - Year - 1996,Incidence - Year - 1997,Rate of Crime - Year - 1997,Incidence - Year - 1998,Rate of Crime - Year - 1998,Incidence - Year - 1999,Rate of Crime - Year - 1999,Incidence - Year - 2000,Rate of Crime - Year - 2000,Incidence - Quinquennial Avg. 1996-2000 (Q.A),Rate of Crime - Quinquennial Avg. 1996-2000 (Q.A),Incidence - 2001,Rate of Crime - 2001,Percentage Change in 2001[(+) Increase/(-) Decrease] over - 1991,Percentage Change in 2001[(+) Increase/(-) Decrease] over - Q.A,Percentage Change in 2001[(+) Increase/(-) Decrease] over - 2000,Note of Incidence - Year - 1991,Note of Rate of Crime - Year - 1991,Note of Incidence - Year - 1996,Note of Rate of Crime - Year - 1996,Note of Incidence - Year - 1997,Note of Rate of Crime - Year - 1997,Note of Incidence - Year - 1998,Note of Rate of Crime - Year - 1998,Note of Incidence - Year - 1999,Note of Rate of Crime - Year - 1999,Note of Incidence - Year - 2000,Note of Rate of Crime - Year - 2000,Note of Incidence - Quinquennial Avg. 1996-2000 (Q.A),Note of Rate of Crime - Quinquennial Avg. 1996-2000 (Q.A)
Protection of Civil Rights Act - (i) PCR Act for SCs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,633,0.1,NA,NA,NA,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Protection of Civil Rights Act - (ii) PCR Act for STs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,0,NA,NA,NA,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Indian Passport Act,726,0.1,454,0,440,0,396,0,472,0,309,0,414,0,390,0,-46.3,-5.8,26.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Essential Commodities Act,8307,1,5199,0.6,5678,0.6,5675,0.6,5639,0.6,4872,0.5,5413,0.6,4279,0.4,-48.5,-20.9,-12.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Terrorist & Disruptive Activities Act,3913,0.5,56,0,16,0,0,0,0,0,12,0,17,0,0,0,-100,-100,-100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antiquity & Art Treasure Act,10,0,22,0,28,0,38,0,16,0,38,0,28,0,40,0,207.7,40.8,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dowry Prohibition Act,1841,0.2,2647,0.3,2685,0.3,3578,0.4,3064,0.3,2876,0.3,2970,0.3,3222,0.3,75,8.5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Child Marriage Restraint Act,NA,NA,89,0,78,0,56,0,58,0,92,0,75,0,85,0,NA,13.9,-7.6,*,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indecent Representation of Women (P) Act,NA,NA,96,0,73,0,190,0,222,0,662,0.1,249,0,1052,0.1,NA,323.2,58.9,*,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Copyrights Act,NA,NA,634,0.1,941,0.1,1444,0.1,1980,0.2,2364,0.2,1473,0.1,2868,0.3,NA,94.8,21.3,*,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sati Prevention Act,NA,NA,0,0,1,0,0,0,0,0,0,0,NA,0,0,0,NA,-100,0,*,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SC/ST (Prevention of Atrocities) Act - Total,NA,NA,16306,1.7,15869,1.7,14622,1.5,14595,1.5,15157,1.5,15310,1.6,14780,1.4,NA,-3.5,-2.5,*,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SC/ST (Prevention of Atrocities) Act - (i) Atrocities Act for SCs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13113,1.3,NA,NA,NA,*,*,*,*,*,*,*,*,*,*,*,*,*,*
SC/ST (Prevention of Atrocities) Act - (ii) Atrocities Act for STs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1667,0.2,NA,NA,NA,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Forest Act,NA,NA,4820,0.5,5353,0.6,4927,0.5,5139,0.5,4916,0.5,5031,0.5,5548,0.5,NA,10.3,12.9,*,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Other SLL Crimes,2401039,283.7,3527150,378.5,3688938,386.2,3468783,357.3,2212169,224.2,2424052,241.9,3064218,317.6,2601981,253.4,8.4,-15.1,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Total Cognizable Crimes under SLL,3370971,398.3,4586986,492.2,4691439,491.1,4403288,453.5,3147101,319,3396666,338.9,4045096,418.9,3575230,348.1,6.1,-11.6,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
