State,City,Murder,Attempt to Commit Murder,Culpable Homicide not Amounting to Murder,Rape - Total,Rape - Custodial,Rape - Others,Kidnapping & Abduction - Total,Kidnapping & Abduction - Women & Girls,Kidnapping & Abduction - Others,Dacoity,Prepration & Assemly for Dacoity,Robbery,Burglary,Theft - Total,Theft - Auto Theft,Theft - Other Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Arson,Hurt,Dowry Death,Molestation,Sexual Harassment,Cruelty by Husband & Relatives,Importation of Girls,Causing Death by Negligence,Other IPC Crimes,Total Cog. Crimes under IPC
Punjab,Ludhiana,66,66,6,34,0,34,79,42,37,5,25,23,245,603,377,226,0,34,421,5,3,241,9,45,13,233,0,180,1236,3572
Rajasthan,Ajmer,9,17,0,5,0,5,47,45,2,1,0,18,154,317,96,221,20,4,129,1,1,58,4,29,0,111,0,74,1122,2121
Rajasthan,Bharatpur,15,36,1,4,0,4,28,23,5,0,1,11,54,219,94,125,116,11,80,0,4,234,3,22,0,38,0,41,541,1459
Rajasthan,Bikaner,2,41,0,2,0,2,26,24,2,0,1,1,92,238,78,160,55,18,104,1,5,371,3,10,0,77,0,32,615,1694
Rajasthan,Jaipur,35,71,3,28,0,28,176,155,21,1,1,58,737,2506,945,1561,1343,177,869,24,20,953,16,105,0,338,0,314,4406,12181
Rajasthan,Jodhpur,11,50,1,5,0,5,55,40,15,1,0,21,198,604,241,363,119,51,358,0,9,1380,4,42,3,219,1,77,493,3702
Rajasthan,Kota,27,175,1,19,0,19,84,66,18,2,0,67,330,903,388,515,173,23,221,1,12,911,9,53,2,203,0,59,960,4235
Rajasthan,Udaipur,21,61,1,10,0,10,93,65,28,0,0,18,153,327,140,187,89,20,121,4,7,370,5,46,1,41,0,71,551,2010
Tamil Nadu,Chennai,91,298,0,28,0,28,40,0,40,12,0,127,668,2167,433,1734,105,26,600,0,0,813,13,70,209,111,0,675,1239,7292
Tamil Nadu,Coimbatore,16,20,0,4,0,4,14,10,4,4,0,15,179,952,348,604,79,20,110,4,1,152,5,19,38,28,0,187,1643,3490
Tamil Nadu,Madurai,34,53,0,2,0,2,26,18,8,5,4,33,198,803,248,555,90,11,296,11,4,308,12,20,52,24,0,109,2066,4161
Tamil Nadu,Salem,12,14,0,2,0,2,10,10,0,3,0,20,70,467,219,248,42,9,49,2,0,163,3,7,13,11,0,122,827,1846
Tamil Nadu,Thirunelveli,12,49,0,3,0,3,15,10,5,2,0,10,76,227,33,194,8,6,5,0,4,71,0,2,21,6,0,56,996,1569
Tamil Nadu,Trichy,24,19,0,5,0,5,11,6,5,0,0,6,110,504,147,357,10,7,58,3,0,619,4,9,51,18,0,109,712,2279
Uttar Pradesh,Agra,153,162,18,66,0,66,203,131,72,50,3,171,432,1181,509,672,377,148,229,4,14,451,62,110,114,327,0,0,2386,6661
Uttar Pradesh,Aligarh,64,87,9,15,0,15,52,33,19,9,2,75,116,583,186,397,131,79,51,2,5,230,9,26,52,106,0,98,634,2435
Uttar Pradesh,Allahabad,60,57,5,7,0,7,41,39,2,4,0,37,96,496,106,390,47,82,163,1,5,296,7,20,88,64,0,55,495,2126
Uttar Pradesh,Bareilly,81,99,7,26,0,26,61,58,3,13,0,56,127,234,213,21,50,42,119,0,2,178,15,27,37,181,0,55,694,2104
Uttar Pradesh,Gorakhpur,52,42,19,9,0,9,44,39,5,3,0,20,82,117,45,72,83,42,72,1,5,195,9,23,31,37,0,107,720,1713
Uttar Pradesh,Kanpur,210,198,28,47,0,47,210,176,34,30,1,128,361,1309,636,673,240,178,301,3,27,1040,64,106,213,356,0,385,1373,6808
Uttar Pradesh,Lucknow,112,154,20,39,0,39,144,107,37,24,1,111,600,2024,687,1327,270,246,401,3,3,55,27,75,148,304,0,220,2625,7606
Uttar Pradesh,Meerut,85,89,5,6,0,6,90,51,39,17,0,86,187,795,394,401,93,69,145,5,0,48,9,18,98,151,0,198,724,2918
Uttar Pradesh,Moradabad,97,89,8,21,0,21,65,47,18,4,0,37,74,356,151,205,53,28,86,2,4,109,22,52,71,98,0,103,460,1839
Uttar Pradesh,Varanasi,48,56,5,17,0,17,46,17,29,7,0,62,125,442,225,217,43,68,83,9,0,103,15,5,81,58,0,78,951,2302
West Bengal,Kolkata,65,152,8,19,0,19,121,78,43,26,60,149,148,4040,1061,2979,275,271,863,54,0,1346,6,165,37,207,2,445,3511,11970
Delhi,Delhi (City),450,442,58,326,0,326,1349,820,529,35,69,545,2754,18067,7507,10560,119,450,2103,42,46,1790,84,392,78,108,0,323,19713,49343
