Category,States/ UTs,Arms Act,Narcotic Drugs & Phychotropic Substances Act,Gambling Act,Excise Act,Prohibition Act,Explosive & Explosive Subs.,Immoral Traffic (Prevention) Act,Railways Act,Registration of Foreigners Act,Protection of Civil Rights Act - Total,Protection of Civil Rights Act for SCs,Protection of Civil Rights Act for STs,Indian Passport Act,Essential Commodities Act,Terrorist & Disruptive Activities Act,Antiquity & Art Treasure Act,Dowry Prohibition Act,Child Marriage Restraint Act,Indecent Representation of Women (P) Act,Copy Right Act,Sati Prevention Act,SC/ST (Prev.) of Atrocities Act - Total,SC/ST (Prev.) of Atrocities Act for SCs,SC/ST (Prev.) of Atrocities Act for STs,Forest Act,Other SLL Crimes,Total Cognizable Crimes Under SLL
State,Rajasthan,10,7,25,33,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,0,3,2,1,0,131,216
State,Sikkim,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
State,Tamil Nadu,0,19,0,0,49,2,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,7,7,0,0,1209,1290
State,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Uttar Pradesh,1,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,10
State,Uttaranchal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,7
State,West Bengal,3,3,0,3,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,39
State,Total (States),212,90,1213,450,869,15,57,0,35,1,1,0,30,20,2,0,19,5,1,57,0,61,39,22,3,4027,7167
Union Territory,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Chandigarh,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Delhi,35,3,37,48,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,131
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Pondicherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Union Territory,Total (UTs),35,4,37,49,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,135
Total (All-India),Total (All-India),247,94,1250,499,869,15,63,0,35,1,1,0,30,20,2,0,19,5,1,58,0,61,39,22,3,4030,7302
