Category,Crime Head,Below 18 Years - Male,Below 18 Years - Female,18 - 30 Years - Male,18 - 30 Years - Female,30 - 45 Years - Male,30 - 45 Years - Female,45 - 60 Years - Male,45 - 60 Years - Female,60 Years & Above - Male,60 Years & Above - Female,Total of Overall Age-Group - Male,Total of Overall Age-Group - Female,Grand Total of All Persons (Col 13+14)
SLL Crimes,Explosive & Explosive Substances Act,14,1,2202,23,2180,24,611,19,34,0,5041,67,5108
SLL Crimes,Immoral Traffic (P) Act,8,55,1542,4213,1462,4023,505,808,30,19,3547,9118,12665
SLL Crimes,Railways Act,0,0,141,0,117,1,73,0,11,0,342,1,343
SLL Crimes,Registration of Foreigners Act,24,11,955,414,759,278,289,51,14,3,2041,757,2798
SLL Crimes,Protection of Civil Rights Act - Total,1,0,236,1,281,9,89,9,6,3,613,22,635
SLL Crimes,Protection of Civil Rights Act - (i) PCR Act for SCs,1,0,217,1,256,9,82,9,6,3,562,22,584
SLL Crimes,Protection of Civil Rights Act - (ii) PCR Act for STs,0,0,19,0,25,0,7,0,0,0,51,0,51
SLL Crimes,Indian Passport Act,22,8,676,160,678,152,117,6,1,0,1494,326,1820
SLL Crimes,Essential Commodities Act,19,1,3384,17,4684,51,1734,24,132,0,9953,93,10046
SLL Crimes,Terrorist & Disruptive Activities Act,2,0,40,4,42,4,69,0,17,0,170,8,178
SLL Crimes,Antiquity & Art Treasure Act,0,0,8,0,25,0,6,0,0,0,39,0,39
SLL Crimes,Dowry Prohibition Act,13,6,2186,309,2406,550,1229,266,161,71,5995,1202,7197
SLL Crimes,Child Marriage Restraint Act,3,2,79,13,129,56,86,28,15,0,312,99,411
SLL Crimes,Indecent Representation of women (P) Act,1,0,727,134,1202,274,475,160,3,0,2408,568,2976
SLL Crimes,Copyrights Act,53,5,3957,6,3642,9,1015,1,72,0,8739,21,8760
SLL Crimes,Sati Prevention Act,0,0,3,0,8,0,7,0,0,0,18,0,18
SLL Crimes,SC/ST (Prevention of Atrocities) Act - Total,58,3,6197,191,6649,250,3359,108,255,4,16518,556,17074
SLL Crimes,SC/ST (Prevention of Atrocities) Act - (i) Attrocities Act for SCs,36,3,5517,155,5877,216,3049,88,239,4,14718,466,15184
SLL Crimes,SC/ST (Prevention of Atrocities) Act - (ii) Attrocities Act for STs,22,0,680,36,772,34,310,20,16,0,1800,90,1890
SLL Crimes,Forest Act,3,0,3215,3,3137,4,1171,0,113,0,7639,7,7646
SLL Crimes,Other SLL Crimes,3820,210,1107354,20440,839169,22966,362338,11770,35203,931,2347884,56317,2404201
SLL Crimes,Total Cognizable Crimes under SLL,6804,498,1513486,48436,1232579,69903,524510,32363,55879,3441,3333258,154641,3487899
Grand Total (IPC Crimes+ SLL Crimes),Grand Total (IPC Crimes+ SLL Crimes),30606,2075,2585981,102050,2168684,131353,918721,62469,99504,8003,5803496,305950,6109446
