Category,States/UTs,Arms Act,Narcotic Drugs & Psychotropic Substances Act,Gambling Act,Excise Act,Prohibition Act,Explosive & Explosive Substances Act,Immoral Traffic (Prevention) Act,Railways Act,Registration of foreigners Act,Protection of Civil Rights Act - Total,Protection of Civil Rights Act for SCs,Protection of Civil Rights Act for STs,Indian Passport Act,Essential Commodities Act,Terrorist & Disruptive Activities Act,Antiquity & Art Treasure Act,Dowry Prohibition Act,Child Marriage Restraint Act,Indecent Representation of women (P) Act,Copy Right Act,Sati Prevention Act,SC/ST (Prev of Atrocities) Act - Total,SC/ST (Prev of Atrocities) Act for SCs,SC/ST (Prev of Atrocities) Act for STs,Forest Act,Other SLL Crimes,Total Cognizable Crimes Under SLL
State,Punjab,3,2,2,9,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,23
State,Rajasthan,9,7,21,27,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,2,1,1,0,92,164
State,Sikkim,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
State,Tamil Nadu,0,9,0,0,49,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,4,0,0,1194,1259
State,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Uttar Pradesh,1,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,9
State,Uttaranchal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,7
State,West Bengal,3,3,0,3,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,39
State,Total (States),158,72,1047,433,830,9,47,0,33,1,1,0,9,19,1,0,5,5,1,47,0,37,31,6,2,3808,6564
Union Territory,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Chandigarh,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Delhi,34,3,14,38,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,94
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Pondicherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Union Territory,Total (UTs),34,4,14,39,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,98
Total (All-India),Total (All-India),192,76,1061,472,830,9,50,0,33,1,1,0,9,19,1,0,5,5,1,48,0,37,31,6,2,3811,6662
