Category,States/ UTs,District / Session Judge Duration of Trial. Less Than 6 Months,District / Session Judge Duration of Trial. 6–12 Months,District / Session Judge Duration of Trial. 1–3 Years,District / Session Judge Duration of Trial. 3–5 Years,District / Session Judge Duration of Trial. 5–10 Years,District / Session Judge Duration of Trial. Over 10 Years,District / Session Judge Duration of Trial. Total (Col.3 to Col.8),Additional Session Judge Duration of Trial. Less Than 6 Months,Additional Session Judge Duration of Trial. 6–12 Months,Additional Session Judge Duration of Trial. 1–3 Years,Additional Session Judge Duration of Trial. 3–5 Years,Additional Session Judge Duration of Trial. 5–10 Years,Additional Session Judge Duration of Trial. Over 10 Years,Additional Session Judge Duration of Trial. Total (Col.10 to Col.15),Chief Judicial Magistrate Duration of Trial. Less Than 6 Months,Chief Judicial Magistrate Duration of Trial. 6–12 Months,Chief Judicial Magistrate Duration of Trial. 1–3 Years,Chief Judicial Magistrate Duration of Trial. 3–5 Years,Chief Judicial Magistrate Duration of Trial. 5–10 Years,Chief Judicial Magistrate Duration of Trial. Over 10 Years,Chief Judicial Magistrate Duration of Trial. Total (Col.17 to Col.22),Judicial Magistrate (I) Duration of Trial. Less Than 6 Months,Judicial Magistrate (I) Duration of Trial. 6–12 Months,Judicial Magistrate (I) Duration of Trial. 1–3 Years,Judicial Magistrate (I) Duration of Trial. 3–5 Years,Judicial Magistrate (I) Duration of Trial. 5–10 Years,Judicial Magistrate (I) Duration of Trial. Over 10 Years,Judicial Magistrate (I) Duration of Trial. Total (Col.24 to Col.29),Judicial Magistrate (II) Duration of Trial. Less Than 6 Months,Judicial Magistrate (II) Duration of Trial. 6–12 Months,Judicial Magistrate (II) Duration of Trial. 1–3 Years,Judicial Magistrate (II) Duration of Trial. 3–5 Years,Judicial Magistrate (II) Duration of Trial. 5–10 Years,Judicial Magistrate (II) Duration of Trial. Over 10 Years,Judicial Magistrate (II) Duration of Trial. Total (Col.31 to Col.36),Special Judicial Magistrate Duration of Trial. Less Than 6 Months,Special Judicial Magistrate Duration of Trial. 6–12 Months,Special Judicial Magistrate Duration of Trial. 1–3 Years,Special Judicial Magistrate Duration of Trial. 3–5 Years,Special Judicial Magistrate Duration of Trial. 5–10 Years,Special Judicial Magistrate Duration of Trial. Over 10 Years,Special Judicial Magistrate Duration of Trial. Total (Col.38 to Col.43),Other Type of Courts Duration of Trial. Less Than 6 Months,Other Type of Courts Duration of Trial. 6–12 Months,Other Type of Courts Duration of Trial. 1–3 Years,Other Type of Courts Duration of Trial. 3–5 Years,Other Type of Courts Duration of Trial. 5–10 Years,Other Type of Courts Duration of Trial. Over 10 Years,Other Type of Courts Duration of Trial. Total (Col.45 to Col.50),Sum of All Type of CourtsDuration of Trial. Less Than 6 Months,Sum of All Type of CourtsDuration of Trial. 6–12 Months,Sum of All Type of CourtsDuration of Trial. 1–3 Years,Sum of All Type of CourtsDuration of Trial. 3–5 Years,Sum of All Type of CourtsDuration of Trial. 5–10 Years,Sum of All Type of CourtsDuration of Trial. Over 10 Years,Sum of All Type of CourtsDuration of Trial. Total (Col.52 to Col.57)
State,KARNATAKA,593,767,1876,1386,598,71,5291,268,666,1555,819,526,37,3871,1178,2263,5026,2904,1316,69,12756,6774,6820,8469,3474,1370,80,26987,4995,5282,5336,2756,776,50,19195,195,197,344,213,54,6,1009,997,940,2360,1245,371,11,5924,15000,16935,24966,12797,5011,324,75033
State,KERALA,0,18,298,340,233,44,933,7,31,205,304,185,17,749,369,1146,2343,1384,294,17,5553,2693,6178,22364,14988,4848,229,51300,1045,3338,9942,4734,1787,2,20848,470,1422,1432,15,2,0,3341,10,73,171,93,16,10,373,4594,12206,36755,21858,7365,319,83097
State,MADHYA PRADESH,819,935,1416,889,120,24,4203,2033,2727,3191,1489,493,81,10014,6998,5349,7116,4822,2950,700,27935,5420,8580,14037,14661,9421,2344,54463,613,830,573,742,475,395,3628,295,387,469,654,663,62,2530,869,1067,939,623,135,67,3700,17047,19875,27741,23880,14257,3673,106473
State,MAHARASHTRA,22,110,662,682,379,181,2036,32,335,1690,1550,976,298,4881,474,1303,3734,3050,1767,814,11142,1729,4931,10391,9942,6675,2240,35908,327,1163,3255,2762,1666,500,9673,11,63,290,352,161,34,911,18,58,204,145,751,851,2027,2613,7963,20226,18483,12375,4918,66578
State,MANIPUR,0,1,0,0,0,2,3,0,0,1,0,0,1,2,44,0,6,1,1,13,65,2,0,3,0,1,16,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,46,1,10,1,4,36,98
State,MEGHALAYA,0,0,3,1,0,1,5,0,0,2,13,12,2,29,0,0,5,7,0,0,12,0,6,24,9,11,23,73,12,68,9,9,19,6,123,0,0,6,5,6,5,22,0,20,81,59,37,0,197,12,94,130,103,85,37,461
State,MIZORAM,4,6,14,16,0,0,40,1,1,6,12,0,0,20,0,0,0,0,0,0,0,28,20,17,15,0,0,80,17,23,12,8,0,0,60,0,0,0,0,0,0,0,156,45,28,9,0,0,238,206,95,77,60,0,0,438
State,NAGALAND,145,100,5,0,0,0,250,455,153,11,2,2,0,623,10,6,0,0,0,0,16,145,772,42,99,0,0,1058,113,90,5,0,0,0,208,0,3,0,1,0,0,4,0,0,0,0,0,0,0,868,1124,63,102,2,0,2159
State,ORISSA,28,69,462,483,257,40,1339,46,136,854,967,502,130,2635,51,190,1133,964,414,160,2912,336,1212,3080,2236,1328,321,8513,588,1306,2920,1732,567,51,7164,0,35,766,462,96,17,1376,58,357,1108,711,350,287,2871,1107,3305,10323,7555,3514,1006,26810
State,PUNJAB,23,159,443,306,99,4,1034,49,303,879,545,181,10,1967,302,536,851,365,101,7,2162,652,870,1551,835,176,8,4092,80,338,542,289,89,10,1348,77,83,92,115,45,1,413,158,463,486,313,65,0,1485,1341,2752,4844,2768,756,40,12501
State,RAJASTHAN,73,228,907,649,208,55,2120,229,772,2791,1846,644,217,6499,542,1404,3229,2032,808,172,8187,1574,3396,8564,6855,3537,553,24479,850,1523,4683,4454,2265,464,14239,272,508,1659,1116,295,87,3937,185,620,1503,1543,665,100,4616,3725,8451,23336,18495,8422,1648,64077
State,SIKKIM,0,0,11,3,0,0,14,0,0,0,0,0,0,0,0,12,11,2,0,0,25,0,45,102,3,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,124,8,0,0,189
State,TAMIL NADU,138,364,727,427,234,133,2023,451,660,1158,954,316,56,3595,964,1151,1172,501,232,21,4041,13094,20794,28729,9419,3895,395,76326,9180,12333,12984,5661,1972,341,42471,1177,2241,1087,577,371,11,5464,1710,3098,4122,1033,361,340,10664,26714,40641,49979,18572,7381,1297,144584
State,TRIPURA,41,34,67,72,28,4,246,50,34,154,124,52,17,431,46,41,126,73,77,3,366,140,121,307,309,147,3,1027,129,53,54,31,10,0,277,25,12,3,0,0,0,40,12,8,0,0,0,0,20,443,303,711,609,314,27,2407
State,UTTAR PRADESH,27,240,1810,2705,1237,604,6623,38,625,3311,4064,2615,1995,12648,25,96,3913,5782,4351,824,14991,87,614,5475,3626,2795,313,12910,95,570,5190,4728,2764,362,13709,38,527,5072,2843,1176,237,9893,42,117,4519,4310,3743,110,12841,352,2789,29290,28058,18681,4445,83615
State,UTTARANCHAL,0,0,131,104,77,21,333,0,12,74,90,46,10,232,84,149,365,390,142,30,1160,0,109,202,230,84,21,646,16,28,97,118,53,2,314,0,26,159,168,86,4,443,5,25,59,30,5,0,124,105,349,1087,1130,493,88,3252
State,WEST BENGAL,74,119,654,549,188,78,1662,179,447,1513,1464,722,242,4567,99,181,1375,733,157,87,2632,1080,841,2144,1613,667,191,6536,64,461,1621,1227,461,353,4187,40,38,560,369,254,79,1340,47,93,546,600,158,26,1470,1583,2180,8413,6555,2607,1056,22394
State,TOTAL (STATES),2407,4280,14001,12029,5503,2356,40576,4374,8917,25886,21480,12507,5394,78558,15071,21667,43926,32293,17072,4048,134077,48231,74481,145293,95119,48793,11508,423425,21989,34693,63266,38249,16821,3474,178492,5331,8026,17159,9638,4713,870,45737,9959,17372,23939,15940,10464,2782,80456,107362,169436,333470,224748,115873,30432,981321
Union Territory,A & N ISLANDS,3,2,9,7,1,0,22,0,0,0,0,0,0,0,3,18,11,9,2,0,43,2,3,7,3,2,0,17,3,6,2,1,4,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,29,29,20,9,1,99
Union Territory,CHANDIGARH,1,1,1,3,0,0,6,18,13,35,25,21,1,113,64,28,21,22,14,4,153,149,68,173,121,94,19,624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,110,230,171,129,24,896
Union Territory,D & N HAVELI,4,8,19,6,2,0,39,0,0,0,0,0,0,0,21,34,35,27,10,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,42,54,33,12,0,166
Union Territory,DAMAN & DIU,0,1,3,6,5,0,15,0,0,0,0,0,0,0,5,5,23,15,7,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,26,21,12,1,71
Union Territory,DELHI,0,37,317,62,89,7,512,135,823,1507,927,831,173,4396,57,83,703,289,742,43,1917,2882,3682,3098,2461,1873,902,14898,1489,1408,1507,128,79,0,4611,4,1,89,92,19,12,217,721,501,238,95,86,10,1651,5288,6535,7459,4054,3719,1147,28202
Union Territory,LAKSHADWEEP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,2,4,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,0,0,11
Union Territory,PONDICHERRY,2,3,2,0,0,0,7,4,7,19,7,6,1,44,26,18,0,4,1,0,49,688,692,195,37,0,0,1612,470,217,72,3,0,0,762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1190,937,288,51,7,1,2474
Union Territory,TOTAL (UTs),10,52,351,84,97,7,601,157,843,1561,959,858,175,4553,176,186,793,369,776,48,2348,3721,4447,3477,2624,1969,921,17159,1962,1631,1581,132,83,1,5390,4,1,89,92,19,12,217,721,501,238,95,86,10,1651,6751,7661,8090,4355,3888,1174,31919
TOTAL (ALL-INDIA),TOTAL (ALL-INDIA),2417,4332,14352,12113,5600,2363,41177,4531,9760,27447,22439,13365,5569,83111,15247,21853,44719,32662,17848,4096,136425,51952,78928,148770,97743,50762,12429,440584,23951,36324,64847,38381,16904,3475,183882,5335,8027,17248,9730,4732,882,45954,10680,17873,24177,16035,10550,2792,82107,114113,177097,341560,229103,119761,31606,1013240
