Crime Head(Col. 1),Persons in Custody During the Stage of Investigation at the Beginning of the Year - Male(Col. 2),Persons in Custody During the Stage of Investigation at the Beginning of the Year - Female(Col. 3),Persons on Bail During the Stage of Investigation at the Beginning of the Year - Male(Col. 4),Persons on Bail During the Stage of Investigation at the Beginning of the Year - Female(Col. 5),Total -Male (Col. 6)= (col. 2+4),Total -Female (Col. 7) = (Col. 3+5),Persons Arrested During the Year - Male(Col. 8),Persons Arrested During the Year - Female(Col. 9),Persons Released or Freed by Police or Magistrate before Trial for Want of Evidence or Any Other Reason - Male(Col. 10),Persons Released or Freed by Police or Magistrate before Trial for Want of Evidence or Any Other Reason - Female(Col. 11),Number of Persons Charge Sheeted During the Year - Male(Col. 12),Number of Persons Charge Sheeted During the Year - Female(Col. 13),Persons in Custody during the Stage of Investigation at the End of the Year - Male(Col. 14),Persons in Custody during the Stage of Investigation at the End of the Year - Female(Col. 15),Persons on Bail during the Stage of Investigation at the End of the Year - Male(Col. 16),Persons on Bail during the Stage of Investigation at the End of the Year - Female(Col. 17)
5.2.2 Other Rape,6095,59,8840,220,14935,279,36134,1061,1720,64,34425,912,5141,81,9783,283
6 Attempt to commit Rape,594,2,849,3,1443,5,4334,4,220,0,3886,6,597,0,1074,3
7 Kidnapping & Abduction,13928,286,28454,809,42382,1095,71067,2490,15391,429,52522,2092,13423,247,32113,817
7.1 Kidnapping & Abduction,1950,61,7271,262,9221,323,16216,706,2451,144,13432,530,2240,87,7314,268
7.2 Kidnaping & Abduction in order to Murder,1328,1,816,5,2144,6,1877,33,469,6,1292,24,1389,3,871,6
7.3 Kidnapping for Ransom,309,4,524,6,833,10,1642,25,101,1,1528,24,307,5,539,5
7.4 Kidnapping & Abduction of Women to compel her for marriage,7694,124,13946,327,21640,451,37251,1236,10737,236,24046,1053,6940,76,17168,322
7.5 Other Kidnapping,2647,96,5897,209,8544,305,14081,490,1633,42,12224,461,2547,76,6221,216
8 Dacoity,6225,9,6484,89,12709,98,16314,173,952,2,15840,179,5422,26,6809,64
8.1 Dacoity with Murder,85,0,44,4,129,4,306,1,4,0,313,5,75,0,43,0
8.2 Other Dacoity,6140,9,6440,85,12580,94,16008,172,948,2,15527,174,5347,26,6766,64
9 Making Preparation and Assembly for committing Dacoity,2732,3,3669,6,6401,9,15162,23,61,0,14183,13,2886,0,4433,19
10 Robbery,10144,39,14370,105,24514,144,46414,485,2203,13,42520,401,9854,33,16351,182
11 Criminal Trespass/Burglary,13316,60,27541,355,40857,415,78146,1233,6592,37,69429,1202,12058,65,30924,344
11.1 Criminal Trespass/Burglary,10295,29,19533,230,29828,259,58660,767,5340,27,50455,748,9410,43,23283,208
11.2 House Trespass & House Breaking,3021,31,8008,125,11029,156,19486,466,1252,10,18974,454,2648,22,7641,136
12 Theft,46439,465,94102,1649,140541,2114,217994,4562,21762,307,191883,4150,40184,387,104706,1832
12.1 Auto Theft,14485,12,27485,50,41970,62,71672,58,5090,0,63340,93,12598,2,32614,25
12.2 Other Thefts,31954,453,66617,1599,98571,2052,146322,4504,16672,307,128543,4057,27586,385,72092,1807
13 Unlawful Assembly,1034,21,13139,933,14173,954,65759,3716,35139,492,35948,3683,932,21,7913,474
14 Riots,27561,424,79850,4768,107411,5192,279691,14598,14522,383,249286,13784,29257,683,94037,4940
14.1 Communal,387,0,1941,5,2328,5,5270,100,102,0,4336,61,644,0,2516,44
14.2 Industrial,18,0,192,0,210,0,1230,92,90,0,919,92,168,0,263,0
14.3 Political,272,20,3098,66,3370,86,11355,280,56,2,10215,287,512,21,3942,56
14.4 Caste Conflict,366,12,1473,44,1839,56,12118,450,657,16,10164,403,815,15,2321,72
14.4.1 SC/STs Vs. Non-SCs/STs,24,0,338,8,362,8,6906,141,468,10,5536,127,91,0,1173,12
14.4.2 Other Caste Riots,342,12,1135,36,1477,48,5212,309,189,6,4628,276,724,15,1148,60
14.5 Agrarian,139,7,514,21,653,28,9868,485,604,4,7171,410,607,8,2139,91
14.6 Students,127,22,351,4,478,26,3585,15,177,0,2107,37,58,0,1721,4
14.7 Sectarian,0,0,45,0,45,0,6394,248,454,108,3417,138,409,0,2159,2
14.8 Other Riots,26252,363,72236,4628,98488,4991,229871,12928,12382,253,210957,12356,26044,639,78976,4671
15 Criminal Breach of Trust,4840,46,12669,268,17509,314,23888,636,3200,56,18575,495,3989,40,15633,359
16 Cheating,16225,313,61693,1945,77918,2258,108007,4909,14975,333,87251,3816,17701,389,65998,2629
17 Forgery,1175,12,3545,137,4720,149,13662,476,1212,2,9349,357,1579,28,6242,238
18 Counterfeiting,816,11,1646,19,2462,30,2028,61,73,2,2152,66,504,4,1761,19
18.1 Offences related to Counterfeit Coin,36,0,37,0,73,0,26,0,0,0,33,0,10,0,56,0
18.2 Counterfeiting Government Stamp,0,0,2,0,2,0,1,0,0,0,0,0,0,0,3,0
18.3 Counterfeit Currency & Bank Notes,780,11,1607,19,2387,30,2001,61,73,2,2119,66,494,4,1702,19
18.3.1 Counterfeiting Currency Notes or Bank Notes,342,3,831,12,1173,15,733,20,40,0,892,25,233,1,741,9
18.3.2 Using Forged or Counterfeit Currency/Bank Notes,329,4,588,7,917,11,964,24,24,0,959,30,190,0,708,5
18.3.3 Possession of Forged or Counterfeiting Currency / Bank Notes,84,1,150,0,234,1,274,17,6,0,240,10,50,3,212,5
18.3.4 Make/Possess materials for Forging or Counterfeiting Currency/Bank notes,5,3,18,0,23,3,27,0,1,2,22,1,4,0,23,0
18.3.5 Make/Use documents resembling Currency Notes/Bank Notes,20,0,20,0,40,0,3,0,2,0,6,0,17,0,18,0
19 Arson,1438,4,6421,89,7859,93,10422,239,1060,7,9465,207,1133,6,6623,112
20 Grievous Hurt,19869,794,35836,1963,55705,2757,139441,6795,7453,675,132570,6170,16554,516,38569,2191
20.1 Grievous Hurt,19833,794,35798,1962,55631,2756,139096,6771,7429,675,132298,6154,16513,515,38487,2183
20.2 Acid attack,33,0,20,1,53,1,282,23,20,0,227,16,27,0,61,8
20.3 Attempt to Acid Attack,3,0,18,0,21,0,63,1,4,0,45,0,14,1,21,0
21 Dowry Deaths,4001,335,4677,860,8678,1195,15793,4180,2793,649,13595,3401,3769,346,4314,979
22 Assault on Women with Intent to Outrage Her Modesty,4867,45,17659,479,22526,524,98202,3369,4443,65,88073,2824,5045,109,23167,895
22.1 Sexual Harassment,1262,7,4215,68,5477,75,30632,466,1791,8,26527,384,1619,24,6172,125
22.2 Assault on Women with Intent to Disrobe,368,3,1442,24,1810,27,9822,341,731,26,8326,255,655,19,1920,68
22.3 Voyeurism,104,0,284,0,388,0,967,12,42,0,887,9,58,0,368,3
22.4 Stalking,203,0,1017,2,1220,2,6616,78,171,0,5537,61,400,0,1728,19
22.5 Others,2930,35,10701,385,13631,420,50165,2472,1708,31,46796,2115,2313,66,12979,680
23 Insult to the Modesty of Women,605,0,3532,63,4137,63,9639,231,317,0,9069,191,577,27,3813,76
23.1 At Office Premises,4,0,26,0,30,0,92,0,2,0,71,0,5,0,44,0
23.2 Places related to Work other than Office,13,0,257,0,270,0,783,64,10,0,591,46,56,16,396,2
23.3 In Public Transport system,2,0,30,0,32,0,375,17,12,0,326,12,11,0,58,5
23.4 in Other Places,586,0,3219,63,3805,63,8389,150,293,0,8081,133,505,11,3315,69
24 Cruelty by Husband or his Relatives,13652,1865,47149,9539,60801,11404,151334,35733,14767,3554,140719,30886,9543,1666,47106,11031
25 Importation of Girls from Foreign Country,14,0,10,0,24,0,8,2,3,0,11,0,11,1,7,1
26 Causing Death by Negligence,9143,39,26934,97,36077,136,116500,259,4169,3,112578,251,5997,11,29833,130
26.1 Deaths due to Negligent Driving/Act,7498,36,23472,82,30970,118,110926,210,3886,2,106965,208,5150,9,25895,109
26.2 Deaths due to Other Causes,1645,3,3462,15,5107,18,5574,49,283,1,5613,43,847,2,3938,21
27 Offences against State,130,0,152,1,282,1,237,1,8,0,81,1,290,0,140,1
27.1 Sedition,39,0,12,0,51,0,73,0,3,0,13,0,97,0,11,0
27.2 Other Offences against State,91,0,140,1,231,1,164,1,5,0,68,1,193,0,129,1
28 Offences Promoting Enmity Between Different Groups,51,0,601,3,652,3,917,24,34,0,868,24,99,0,568,3
28.1 Promoting Enmity on Ground of Religion Race and Place of Birth,50,0,593,3,643,3,864,24,30,0,833,24,96,0,548,3
28.2 Imputation & Assertions Prejudicial to National Integration,1,0,8,0,9,0,53,0,4,0,35,0,3,0,20,0
29 Extortion,1050,13,2301,49,3351,62,13184,288,1006,7,9956,222,1478,13,4095,108
30 Disclosure of Identity of Victims,1,0,1,0,2,0,0,0,1,0,0,0,0,0,1,0
31 Causing Injuries under Rash Driving Act,7716,23,54308,291,62024,314,424134,2301,6006,6,414706,2019,6582,27,58864,563
32 Human Trafficking (Section 370 & 370A),152,2,392,73,544,75,1523,223,40,0,1331,166,131,4,565,128
33 Unnatural Offences,84,3,264,7,348,10,1475,16,44,0,1249,18,199,0,331,8
34 Other IPC Crimes,66469,2630,247546,18803,314015,21433,1327213,82568,65164,2568,1224729,74854,59202,3080,292133,23499
Total Cognizable IPC Crimes,311566,8578,855670,45907,1167236,54485,3457544,179052,235575,9964,3139323,159838,285812,9045,964070,54690
