S.No.,Category,State/UT,Gain,Property Dispute,Personal Vendetta or Enmity,Dowry,Lunacy,Witch- Craft,Child/ Human Sacrifice,Commu- nalism,Casteism,Class Conflict,Political Reasons,Honour Killing,Rape,Gang Rape,Love Affairs,Illicit Relationship,Kidnapping & Abduction,Other Causes,Total,Gain,Property Dispute,Personal Vendetta or Enmity,Dowry,Lunacy,Witch- Craft,Child/ Human Sacrifice,Commu- nalism,Casteism,Class Conflict,Political Reasons,Honour Killing,Rape,Gang Rape,Love Affairs,Illicit Relationship,Kidnapping & Abduction,Other Causes,Total
17,State,Meghalaya,9,10,6,0,1,0,0,0,0,0,0,0,1,0,0,0,2,120,149,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
18,State,Mizoram,11,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10
19,State,Nagaland,20,1,10,0,0,0,0,4,0,0,2,0,0,0,0,4,0,10,51,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7
20,State,Odisha,75,81,164,325,1,26,0,0,1,0,3,0,20,1,86,1,9,680,1473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26
21,State,Punjab,14,46,33,8,2,0,0,0,0,0,0,8,1,0,2,103,0,484,701,1,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,115,124
22,State,Rajasthan,35,61,92,46,1,1,0,0,0,0,1,2,5,0,40,15,0,1270,1569,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,64,69
23,State,Sikkim,2,1,9,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
24,State,Tamil Nadu,107,142,420,5,3,0,0,1,10,0,3,1,3,0,175,123,4,751,1748,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,59
25,State,Telangana,85,52,128,75,2,14,1,1,0,0,0,1,5,0,5,156,4,659,1188,0,1,2,0,0,0,0,0,0,0,0,16,0,0,0,0,0,97,116
26,State,Tripura,13,13,35,25,0,1,0,0,0,0,0,0,0,0,0,3,0,54,144,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
27,State,Uttar Pradesh,165,424,812,22,13,3,7,7,12,788,28,131,31,7,383,190,50,1659,4732,34,177,247,0,0,0,0,3,0,303,0,37,2,0,34,8,0,493,1338
28,State,Uttarakhand,0,5,3,2,0,0,0,0,0,0,0,0,1,0,16,0,1,164,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,34,38
29,State,West Bengal,87,56,221,337,0,2,0,0,0,0,1,0,14,0,18,4,20,1336,2096,7,4,47,0,0,0,0,0,0,0,0,0,1,0,0,0,0,269,328
TOTAL (STATES),TOTAL (STATES),TOTAL (STATES),2359,3475,4624,1206,40,133,24,27,56,827,95,189,159,17,1359,1534,176,15180,31480,93,252,367,11,6,1,0,3,4,307,2,59,5,0,43,17,3,1931,3104
30,UT,A & N Islands,0,1,7,1,0,2,0,0,0,0,1,1,0,0,3,2,0,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,UT,Chandigarh,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,13,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7
32,UT,D&N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
33,UT,Daman & Diu,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,UT,Delhi UT,43,64,113,11,1,0,0,0,0,1,0,2,6,2,16,28,4,279,570,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,58
35,UT,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,UT,Puducherry,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5
TOTAL (UTS),TOTAL (UTS),TOTAL (UTS),49,65,134,12,1,2,0,0,0,1,1,3,7,2,20,34,4,312,647,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,72
TOTAL (ALL INDIA),TOTAL (ALL INDIA),TOTAL (ALL INDIA),2408,3540,4758,1218,41,135,24,27,56,828,96,192,166,19,1379,1568,180,15492,32127,97,253,372,11,6,1,0,3,4,307,2,59,5,0,43,17,3,1993,3176
