Crime Head (Col.1),Cases Pending Investigation from Previous Year (Col.2),Cases Reported During the Year (Col.3),No. of Cases Withdrawn by the Govt. During Investigation (Col.4),Cases Transferred to other Police Station/ Magistrate (Col.5),Cases Not Investigated U/S 157(1)(b) of Cr.PC (Col.6),Total Cases for Investigation (Col.7) = (Col. 2+3-4-5-6),Cases Ended as Final Report False (Col.8),Cases Ended as Mistake of Fact or of Law (Col.9),Cases in Ended as Final Report as Non Cognizable Submitted During the Year (Col.10),Cases in Which Charge-sheets were Submitted (Col.11),Cases in Which Charge-sheets were not laid but Final Report as True submitted (Col.12),Total Cases Disposed of by Police (Col.13) = (Col. 8+9+10+11+12),Cases Pending Investigation at the End of the Year (Col.14) = (col. 7 - col. 13),Charge-Sheeting Rate(Col.15) = {Col.11 / (Col.11+Col.12)} x 100,Cases Pendency Percentage (Col.16) = ({Col.14/(Col.2+ Col.3)} x 100
16.2.2 Offences Committed against Local STs,0,2,0,0,0,2,0,0,0,2,0,2,0,100,0
16.2.3 Offences Committed against Others Locals,73,187,0,0,0,260,0,1,0,106,1,108,152,99.1,58.5
"17 Immoral Traffic (Prevention) Act, 1956",63,58,0,0,0,121,0,0,0,48,6,54,67,88.9,55.4
17.1 Under ITP Section 5,20,33,0,0,0,53,0,0,0,23,5,28,25,82.1,47.2
17.2 Under ITP Section 6,0,4,0,0,0,4,0,0,0,1,0,1,3,100,75
17.3 Under ITP Section 7,10,5,0,0,0,15,0,0,0,4,0,4,11,100,73.3
17.4 Under ITP Section 8,1,1,0,0,0,2,0,0,0,2,0,2,0,100,0
17.5 Other Section of ITP Act,32,15,0,0,0,47,0,0,0,18,1,19,28,94.7,59.6
"18 Juvenile Justice (Care and Protection of Children) Act, 2000",287,1457,0,3,0,1741,39,15,1,1049,31,1135,606,97.1,34.7
"19 Protection of Children from Sexual Offences Act, 2012",2736,14913,7,31,1,17610,184,120,1,12980,397,13682,3928,97,22.3
19.1 Under POCSO Act Section 4,1476,6723,5,14,0,8180,61,58,0,6107,170,6396,1784,97.3,21.8
19.2 Under POCSO Act Section 6,208,2077,1,10,1,2273,12,10,0,1632,34,1688,585,98,25.6
19.3 Under POCSO Act Section 8,451,3795,1,3,0,4242,55,21,1,3245,129,3451,791,96.2,18.6
19.4 Under POCSO Act Section 10,63,342,0,0,0,405,6,3,0,260,1,270,135,99.6,33.3
19.5 Under POCSO Act Sections 14 & 15,11,94,0,0,0,105,0,0,0,82,1,83,22,98.8,21
19.6 Other Acts of POCSO,527,1882,0,4,0,2405,50,28,0,1654,62,1794,611,96.4,25.4
20 Attempt to Commit Murder,477,276,0,2,0,751,9,7,0,263,30,309,442,89.8,58.7
21 Unnatural Offences,166,814,0,0,0,980,14,17,0,636,29,696,284,95.6,29
22 Human Trafficking (Section 370 & 370A IPC),10,221,0,1,0,230,2,2,0,132,5,141,89,96.4,38.5
23 Other Crimes Committed against Children,2402,8311,0,3,0,10710,402,104,7,6732,552,7797,2913,92.4,27.2
Total crimes against Children,35921,94172,31,129,20,129913,8764,7942,492,57539,9703,84440,45473,85.6,35
