Crime Head (Col.1),Cases Pending Trial from the Previous Year (Col.2),Cases Sent for Trial During the Year (Col.3),No. of Cases Withdrawn by the Govt. (Col.4),No. of Cases Disposed by Plea Bargaining (Col.5),Total no. of Cases for Trial During the Year (Col.6) = (Col.2+3 - Col.4 - Col. 5),Cases Compounded or Withdrawn (Col.7),Cases in Which Trials were Completed (Col.8) = (Col. 9+10),Cases Convicted (Col.9),Cases Acquitted or Discharged (Col.10),Cases Pending Trial at the End of the Year (Col.11) = ((Col.11 = Col.6 - (Col.7+8)),Conviction Rate (Col.12) = {(Col.9/Col.8)} x 100,Cases Pendency Percentage (Col.13) = {(Col.11/ (Col.2+Col.3)) } x 100
2.11.3 Attempt to Acid Attack,2,0,0,0,2,0,0,0,0,2,NA,100
2.12 Riots,1438,1071,0,0,2509,5,229,35,194,2275,15.3,90.7
2.13 Other IPC crimes,38805,14133,13,67,52858,228,6344,1996,4348,46286,31.5,87.4
2.14 SC / ST (Prevention of Atrocities) Act only,41264,4767,1,3,46027,149,5089,922,4167,40789,18.1,88.6
2 Total of SC/ST (Prevention of Atrocities) Act,102158,26958,14,71,129031,495,15143,4119,11024,113393,27.2,87.8
3.1 Murder,114,87,0,0,201,0,22,8,14,179,36.4,89.1
3.2 Attempt to commit Murder,63,81,0,0,144,0,24,6,18,120,25,83.3
3.3 Rape,206,146,0,0,352,0,49,11,38,303,22.4,86.1
3.4 Attempt to commit Rape,11,9,0,0,20,0,3,1,2,17,33.3,85
3.5 Assault on Women with Intent to Outrage her Modesty,337,243,0,0,580,20,82,11,71,478,13.4,82.4
3.5.1 Sexual Harassment,48,39,0,0,87,5,17,2,15,65,11.8,74.7
3.5.2 Assault on Women with Intent to Disrobe,29,25,0,0,54,0,4,0,4,50,0,92.6
3.5.3 Voyeurism,5,4,0,0,9,0,0,0,0,9,NA,100
3.5.4 Stalking,23,19,0,0,42,0,7,0,7,35,0,83.3
3.5.5 Other Sexual Harassment,232,156,0,0,388,15,54,9,45,319,16.7,82.2
3.6 Insult to the Modesty of women,119,83,0,0,202,32,21,9,12,149,42.9,73.8
3.7 Kidnapping & Abduction,91,73,0,0,164,0,22,7,15,142,31.8,86.6
3.7.1 Kidnaping & Abduction,25,37,0,0,62,0,8,3,5,54,37.5,87.1
3.7.2 Kidnaping & Abduction in Order to Murder,0,0,0,0,0,0,0,0,0,0,NA,NA
3.7.3 Kidnapping for Ransom,0,0,0,0,0,0,0,0,0,0,NA,NA
3.7.4 Kidnapping & Abduction of Women to Compel her for Marriage,43,21,0,0,64,0,5,1,4,59,20,92.2
3.7.5 Other Kidnapping,23,15,0,0,38,0,9,3,6,29,33.3,76.3
3.8 Dacoity,4,3,0,0,7,0,1,0,1,6,0,85.7
3.8.1 Dacoity with Murder,0,0,0,0,0,0,0,0,0,0,NA,NA
3.8.2 Other Dacoity,4,3,0,0,7,0,1,0,1,6,0,85.7
3.9 Robbery,22,20,0,0,42,0,10,5,5,32,50,76.2
3.10 Arson,12,20,0,0,32,0,4,1,3,28,25,87.5
3.11 Grievous Hurt,129,84,0,0,213,10,32,3,29,171,9.4,80.3
3.11.1 Grievous Hurt,129,84,0,0,213,10,32,3,29,171,9.4,80.3
3.11.2 Acid attack,0,0,0,0,0,0,0,0,0,0,NA,NA
3.11.3 Attempt to Acid Attack,0,0,0,0,0,0,0,0,0,0,NA,NA
3.12 Riots,79,88,0,0,167,0,20,4,16,147,20,88
3.13 Other IPC crimes,4460,3689,0,1,8148,687,1457,493,964,6004,33.8,73.7
3 Total IPC Crimes against SCs,5647,4626,0,1,10272,749,1747,559,1188,7776,32,75.7
"4 Employment of Manual Scavengers and Construction of Dry Latrines (P) Act, 1993",0,0,0,0,0,0,0,0,0,0,NA,NA
5 Other SLL Crime against SCs,226,190,0,0,416,1,59,21,38,356,35.6,85.6
Total Crimes against Scheduled Castes,108574,31852,14,72,140340,1245,17012,4702,12310,122083,27.6,86.9
