S. No. (Col. 1),Category(Col. 2),State/UT (Col. 3),Cases Pending Investigation From Previous Year (Col. 4),Cases Reported During the Year (Col. 5),Total Cases For Investigation  (Col. 6) = (Col.4+Col.5),Cases Investigated (Col. 7),Cases Not Investigated Or Investigation Dropped (Col. 8),"Cases Declared False, Mistake of Fact or of Law or Non-Cognizable or Civil in Nature/ No. of Cases Closed (Col. 9)",Cases Charge Sheeted (Col. 10),Cases In Which Charge sheets were not laid but Final Report Submitted (Col. 11),Cases Pending Investigation at the End of the Year (Col. 12),Percentage of Cases Charge Sheeted To Total Cases Investigated (Col. 13),Cases Resulted In Recovery Or Seizure (Col. 14),Value of Property Recovered / Seized (In Rupees '000) (Col. 15),Cases Pending Trial from the Previous Year (Col. 16),Cases Sent Up For Trial During the Year (Col. 17),Total Cases For Trial (Col. 18),Cases Withdrawn/ Discharged or Other Wise Disposed off (Col. 19),Cases in Which Trials were Completed (Col. 20),Cases Convicted (Col. 21),Cases Acquitted or Discharged (Col. 22),Cases Pending Trial at the End of the Year (Col. 23),Percentage of Cases Convicted to Trials Completed (Col. 24),"Total Amt. of Fine Imposed During the Year (In Rupees ""000) (Col. 25)",Cases Transferred To Local Police (Col. 26),Cases Pending Deptt. Sanction For Prosecution (Col. 27),Cases Sent Up For Trial And Also Reported For Dept. Action (Col. 28),Cases Reported For Regular Departmental Action (Col. 29),Cases Reported For Suitable Action (Col. 30)
23,State,Sikkim,35,8,43,43,0,0,0,0,43,0,0,0,5,0,5,0,0,0,0,5,NA,50000,0,0,0,0,0
24,State,Tamil Nadu,300,204,504,504,0,0,152,112,179,30.2,126,1041960,1747,152,1899,23,106,45,61,1770,42.5,718500,0,60,34,10,25
25,State,Telangana,215,193,408,202,0,0,162,160,206,80.2,193,24431412,472,162,634,1,35,23,12,598,65.7,213000,1,10,22,1,0
26,State,Tripura,3,8,11,1,0,0,1,0,10,100,0,0,0,1,1,0,0,0,0,1,NA,0,0,0,0,0,0
27,State,Uttar Pradesh,58,60,118,62,29,1,30,2,45,48.4,21,155800,555,30,585,6,34,9,25,545,26.5,141000,1,33,30,2,0
28,State,Uttarakhand,8,20,28,26,0,0,21,0,8,80.8,7,40350,117,21,138,0,7,4,3,128,57.1,80000,0,3,18,0,0
29,State,West Bengal,18,18,36,5,0,1,4,1,30,80,4,210378835,34,4,38,0,0,0,0,38,NA,0,0,0,3,0,0
TOTAL (STATES),State,TOTAL (STATES),7509,5191,12700,9726,147,131,4196,755,7482,43.1,2232,2157123917,20447,4196,24643,189,2063,766,1297,22426,37.1,62468504,14,1555,1251,473,234
30,UT,A & N Islands,13,13,26,8,0,0,6,2,18,75,0,0,32,6,38,0,0,0,0,38,NA,0,0,0,0,0,0
31,UT,Chandigarh,11,13,24,2,0,0,2,0,22,100,0,0,27,2,29,0,11,6,5,18,54.5,167400,0,0,0,0,0
32,UT,D&N Haveli,0,0,0,0,0,0,0,0,0,NA,0,0,2,0,2,0,1,1,0,1,100,0,0,0,0,0,0
33,UT,Daman & Diu,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
34,UT,Delhi UT,207,31,238,14,6,0,16,2,220,114.3,6,11220,42,16,58,3,16,9,7,39,56.3,250000,1,6,0,0,0
35,UT,Lakshadweep,4,0,4,1,0,0,1,0,3,100,0,0,0,1,1,0,0,0,0,1,NA,0,0,0,0,0,0
36,UT,Puducherry,20,2,22,3,0,0,3,0,19,100,2,4000,26,3,29,0,9,6,3,20,66.7,92000,0,0,0,0,0
TOTAL (UTs),UT,TOTAL (UTs),255,59,314,28,6,0,28,4,282,100,8,15220,129,28,157,3,37,22,15,117,59.5,509400,1,6,0,0,0
TOTAL (ALL INDIA),TOTAL (ALL INDIA),TOTAL (ALL INDIA),7764,5250,13014,9754,153,131,4224,759,7764,43.3,2240,2157139137,20576,4224,24800,192,2100,788,1312,22543,37.5,62977904,15,1561,1251,473,234
