Category,States/ UTs/ Cities,Motives - Revenge / Settling scores,Motives - Greed/ Money,Motives - Extortion,Motives - Cause Disrepute,Motives - Prank/ Satisfaction of Gaining Control,Motives - Fraud / Illegal Gain,Motives - Eve Teasing / Harassment,Motives - Others,Motives - Total,Suspects - Foreign National /Group,Suspects - Disgrunted Employee / Employee,Suspects - Cracker / Student / Professional learners,Suspects - Business Competitor,Suspects - Neighbours / Friends & Relatives,Suspects - Others,Suspects - Total
City,Lucknow,1,0,2,0,0,0,0,0,3,0,0,0,0,0,3,3
City,Ludhiana,0,2,0,0,0,0,0,0,2,1,0,0,0,0,1,2
City,Madurai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Meerut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Mumbai,0,0,0,1,0,7,2,0,10,0,0,0,0,2,8,10
City,Nagpur,1,0,0,2,0,1,4,0,8,0,0,0,0,1,7,8
City,Nasik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Patna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Pune,1,4,0,5,0,2,2,0,14,0,1,0,1,0,12,14
City,Rajkot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Surat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Vadodara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Varanasi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Vijayawada,0,0,0,0,0,4,0,0,4,0,0,0,9,0,0,9
City,Visakhapatnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total (Cities),Total (Cities),6,42,2,9,0,179,22,13,273,2,5,45,72,46,72,242
