Category,States/ UTs,Arms Act,Narcotic Drugs & Psychotropic Substances Act,Gambling Act,Excise Act,Prohibition Act,Explosive & Explosive Subs. Act,Immoral Traffic (Prevention) Act,Railways Act,Registration of Foreigners Act,Protection of Civil Rights Act - Total,Protection of Civil Rights Act for SCs,Protection of Civil Rights Act for STs,Indian Passport Act,Essential Commodities Act,Terrorist & Disruptive Activities Act,Antiquities & Art Treasures Act,Dowry Prohibition Act,Child Marriage Restraint Act,Indecent Representation of Women (P) Act,Copyright Act,Sati Prevention Act,SC/ST (Prev of Atrocities) Act - Total,SC/ST (Prev of Atrocities) Act for SCs,SC/ST (Prev of Atrocities) Act for STs,Forest Act,Other SLL Crimes,Total Cognizable Crimes Under SLL
State,Kerala,9,3,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,17,45
State,Madhya Pradesh,81,7,401,210,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,12,4,8,0,227,943
State,Maharashtra,24,2,152,0,166,0,6,0,2,0,0,0,4,7,0,0,0,0,0,6,0,2,2,0,0,219,590
State,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Meghalaya,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
State,Mizoram,0,0,0,0,2,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,11
State,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Orissa,1,0,4,23,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
State,Punjab,8,5,2,4,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,24
State,Rajasthan,16,4,16,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,55,155
State,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
State,Tamil Nadu,0,17,45,0,27,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,763,881
State,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Uttar Pradesh,6,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13
State,Uttarakhand,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13
State,West Bengal,1,2,0,0,0,0,0,0,29,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,2,45
State,Total (States),233,75,1012,526,510,8,60,0,40,0,0,0,18,14,0,0,51,2,0,28,0,50,35,15,0,1946,4573
Union Territory,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,46
Union Territory,Chandigarh,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Delhi,89,5,1,29,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,7,134
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Puducherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Total (UTs),89,5,1,30,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,55,183
Total (All-India),Total (All-India),322,80,1013,556,510,8,60,0,40,0,0,0,20,14,0,0,51,2,0,29,0,50,35,15,0,2001,4756
