Category,Crime Head,7 - 12 Years - Boys,7 - 12 Years - Girls,12 - 16 Years - Girls,16 - 18 Years - Boys*,16 - 18 Years - Girls,Total for all Age Groups - Boys,Total for all Age Groups - Girls,Total (Boys + Girls)
A. IPC CRIMES,Dowry Deaths (section 304b IPC),0,1,10,31,29,45,40,85
A. IPC CRIMES,Molestation (section 354 IPC),3,0,0,324,1,517,1,518
A. IPC CRIMES,Sexual Harassment (sec 509 IPC),1,0,0,122,0,158,0,158
A. IPC CRIMES,Cruelty by Husband and Relatives (sec 498A IPC),2,2,32,167,130,208,164,372
A. IPC CRIMES,Importation of Girls (sec 366B IPC),0,0,0,0,0,0,0,0
A. IPC CRIMES,Causing Death by Negligence (sec 304B IPC),1,0,3,70,4,100,7,107
A. IPC CRIMES,Other IPC Crimes,227,16,161,3745,274,5983,451,6434
A. IPC CRIMES,Total Cognizable Crimes Under IPC,1065,85,521,16983,958,28207,1564,29771
B. SLL CRIMES,Arms Act,3,0,0,252,0,322,0,322
B. SLL CRIMES,Narcotic Drugs & Psychotropic Substances Act,8,0,2,55,0,78,2,80
B. SLL CRIMES,Gambling Act,2,0,0,793,5,1008,5,1013
B. SLL CRIMES,Excise Act,7,3,7,358,24,522,34,556
B. SLL CRIMES,Prohibition Act,10,1,16,323,50,443,67,510
B. SLL CRIMES,Explosive & Explosive Substances Act,2,0,0,4,0,8,0,8
B. SLL CRIMES,Immoral Traffic (p) Act,0,0,2,26,32,26,34,60
B. SLL CRIMES,Indian Railways Act,0,0,0,0,0,0,0,0
B. SLL CRIMES,Registration of Foreigners Act,8,3,1,5,4,32,8,40
B. SLL CRIMES,Protection of Civil Rights Act - Total,0,0,0,0,0,0,0,0
B. SLL CRIMES,Protection of Civil Rights Act - (i) PCR Act for Scs,0,0,0,0,0,0,0,0
B. SLL CRIMES,Protection of Civil Rights Act - (ii) PCR Act for Sts,0,0,0,0,0,0,0,0
B. SLL CRIMES,Indian Passport Act,1,0,1,14,2,17,3,20
B. SLL CRIMES,Essential Commodities Act,1,0,0,10,0,14,0,14
B. SLL CRIMES,Terrorist & Disruptive Activities Act,0,0,0,0,0,0,0,0
B. SLL CRIMES,Antiquities & Art Treasures Act,0,0,0,0,0,0,0,0
B. SLL CRIMES,Dowry Prohibition Act,0,0,1,26,16,34,17,51
B. SLL CRIMES,Child Marriage Restraint Act,0,0,0,2,0,2,0,2
B. SLL CRIMES,Indecent Representation of Women (p) Act,0,0,0,0,0,0,0,0
B. SLL CRIMES,Copyright Act,0,0,0,26,0,29,0,29
B. SLL CRIMES,Sati Prevention Act,0,0,0,0,0,0,0,0
B. SLL CRIMES,SC/ST (prevention of Atrocities) Act - Total,1,0,6,20,5,39,11,50
B. SLL CRIMES,SC/ST (prevention of Atrocities) Act - (i) Prevention of Attrocities Act for SCs,1,0,3,13,2,30,5,35
B. SLL CRIMES,SC/ST (prevention of Atrocities) Act - (ii) Prevention of Attrocities Act for STs,0,0,3,7,3,9,6,15
B. SLL CRIMES,Forest Act,0,0,0,0,0,0,0,0
B. SLL CRIMES,Other SLL Crimes,230,30,20,899,61,1890,111,2001
B. SLL CRIMES,Total Cognizable Crimes Under SLL,273,37,56,2813,199,4464,292,4756
C. Grand Total (a+b),C. Grand Total (a+b),1338,122,577,19796,1157,32671,1856,34527
