Category,State/UT,Estimated Mid YearPopulation(In Lakhs)#,"Murder(Sec. 302,303 IPC) (I)","Murder(Sec. 302,303 IPC) ( R)","Murder(Sec. 302,303 IPC) (P)",Rape(Sec. 376 IPC) (I),Rape(Sec. 376 IPC) ( R),Rape(Sec. 376 IPC) (P),"Kidnapping & Abduction(Sec. 363-369,371-373 IPC) (I)","Kidnapping & Abduction(Sec. 363-369,371-373 IPC) ( R)","Kidnapping & Abduction(Sec. 363-369,371-373 IPC) (P)",Dacoity(Sec. 395-398 IPC) (I),Dacoity(Sec. 395-398 IPC) ( R),Dacoity(Sec. 395-398 IPC) (P),"Robbery(Sec. 392-394,397,398 IPC) (I)","Robbery(Sec. 392-394,397,398 IPC) ( R)","Robbery(Sec. 392-394,397,398 IPC) (P)","Arson(Sec. 435,436,438 IPC) (I)","Arson(Sec. 435,436,438 IPC) ( R)","Arson(Sec. 435,436,438 IPC) (P)","Hurt(Sec. 323-333,335-338 IPC) (I)","Hurt(Sec. 323-333,335-338 IPC) ( R)","Hurt(Sec. 323-333,335-338 IPC) (P)",Prot. of Civil Rights Act(1955) (I),Prot. of Civil Rights Act(1955) ( R),Prot. of Civil Rights Act(1955) (P),SC/ST Prev. of Attrocities Act(1989) (I),SC/ST Prev. of Attrocities Act(1989) ( R),SC/ST Prev. of Attrocities Act(1989) (P),Other offences (I),Other offences ( R),Other offences (P),Total (I),Total ( R),Total (P)
State,Madhya Pradesh,684.6,86,0.1,12.8,343,0.5,25.4,33,0,9.9,1,0,4.3,10,0,11.6,32,0,13.4,664,1,17.4,0,0,0,348,0.5,3.5,2589,3.8,19.2,4106,6,13.7
State,Maharashtra,1059.7,16,0,2.4,80,0.1,5.9,13,0,3.9,2,0,8.7,11,0,12.8,19,0,8,78,0.1,2,20,0,9.7,370,0.3,3.8,557,0.5,4.1,1166,1.1,3.9
State,Manipur,26.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Meghalaya,25.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Mizoram,9.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Nagaland,21.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Orissa,396.2,13,0,1.9,57,0.1,4.2,12,0,3.6,1,0,4.3,10,0,11.6,19,0,8,309,0.8,8.1,0,0,0,554,1.4,5.6,380,1,2.8,1355,3.4,4.5
State,Punjab,263.9,2,0,0.3,1,0,0.1,1,0,0.3,0,0,0,0,0,0,0,0,0,4,0,0.1,0,0,0,88,0.3,0.9,81,0.3,0.6,177,0.7,0.6
State,Rajasthan,639.1,53,0.1,7.9,153,0.2,11.3,17,0,5.1,0,0,0,3,0,3.5,36,0.1,15.1,405,0.6,10.6,0,0,0,102,0.2,1,3405,5.3,25.2,4174,6.5,13.9
State,Sikkim,5.9,0,0,0,4,0.7,0.3,1,0.2,0.3,0,0,0,0,0,0,0,0,0,4,0.7,0.1,0,0,0,0,0,0,1,0.2,0,10,1.7,0
State,Tamil Nadu,660.2,39,0.1,5.8,27,0,2,3,0,0.9,0,0,0,0,0,0,15,0,6.3,198,0.3,5.2,6,0,2.9,1064,1.6,10.8,391,0.6,2.9,1743,2.6,5.8
State,Tripura,34.8,0,0,0,1,0,0.1,1,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.2,0,8,0.2,0
State,Uttar Pradesh,1885.4,310,0.2,46,318,0.2,23.6,153,0.1,46.1,4,0,17.4,14,0,16.3,66,0,27.7,394,0.2,10.3,8,0,3.9,2113,1.1,21.5,2764,1.5,20.5,6144,3.3,20.5
State,Uttarakhand,94,1,0,0.1,4,0,0.3,1,0,0.3,0,0,0,0,0,0,0,0,0,9,0.1,0.2,0,0,0,56,0.6,0.6,0,0,0,71,0.8,0.2
State,West Bengal,871.8,1,0,0.1,1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,1,0,0,0,0,0,4,0,0
State,Total (States),11168,673,0.1,99.9,1349,0.1,100,332,0,100,23,0,100,86,0,100,238,0,100,3814,0.3,100,182,0,88.3,9795,0.9,99.8,13490,1.2,100,29982,2.7,99.8
Union Territory,A & N Islands,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Chandigarh,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,D & N Haveli,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Daman & Diu,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Delhi,167.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0.1,0.2,0,0,0,24,0.1,0.1
Union Territory,Lakshadweep,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Puducherry,10.6,1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2.3,11.7,0,0,0,0,0,0,25,2.4,0.1
Union Territory,Total (UTs),197.6,1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0.1,11.7,24,0.1,0.2,0,0,0,49,0.2,0.2
All India,Total (All India),11365.5,674,0.1,100,1349,0.1,100,332,0,100,23,0,100,86,0,100,238,0,100,3814,0.3,100,206,0,100,9819,0.9,100,13490,1.2,100,30031,2.6,100
