Sl. No.,Category,State/UT,Disappearence Of Persons - CR,Disappearence Of Persons - CS,Disappearence Of Persons - CV,Illegal Detention / Arrests - CR,Illegal Detention / Arrests - CS,Illegal Detention / Arrests - CV,Fake Encounter Killings - CR,Fake Encounter Killings - CS,Fake Encounter Killings - CV,Violation Against Terrorists/Extremists - CR,Violation Against Terrorists/Extremists - CS,Violation Against Terrorists/Extremists - CV,Extortion - CR,Extortion - CS,Extortion - CV,Torture - CR,Torture - CS,Torture - CV,False Implication - CR,False Implication - CS,False Implication - CV,Failure in Taking Action - CR,Failure in Taking Action - CS,Failure in Taking Action - CV,Indignity to Women - CR,Indignity to Women - CS,Indignity to Women - CV,Atrocities on SC/ST - CR,Atrocities on SC/ST - CS,Atrocities on SC/ST - CV,Others - CR,Others - CS,Others - CV,Total - CR,Total - CS,Total - CV
13,State,Kerala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,State,Madhya Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,State,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,State,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,State,Meghalaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,State,Mizoram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,State,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0
20,State,Odisha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
21,State,Punjab,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,State,Rajasthan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,State,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
24,State,Tamil Nadu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,State,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,5,2,0
26,State,Uttar Pradesh,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,State,Uttarakhand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0
28,State,West Bengal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,State,Total (States),0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,4,4,0,0,0,0,0,0,0,4,2,1,6,0,0,4,0,0,22,6,1
29,Union Territory,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Union Territory,Chandigarh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
32,Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,52,2,1,1,0,0,0,39,34,165,50,40,232
33,Union Territory,Delhi,0,0,0,0,0,0,0,0,0,0,0,0,3,5,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Union Territory,Puducherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Union Territory,Union Territory,Total (UTs),0,0,0,0,0,0,0,0,0,0,0,0,3,5,14,3,0,0,0,0,0,3,0,52,2,1,1,6,0,0,39,34,165,50,40,232
Total (All-India),Total (All-India),Total (All-India),0,0,0,3,0,0,0,0,0,0,0,0,4,5,14,7,4,0,0,0,0,3,0,52,6,3,2,6,0,0,43,34,165,72,46,233
