Sl. No.,Category,State/UT,# Population (In Lakhs),"Murder
(Sec. 302 IPC) - Incidence","Murder
(Sec. 302 IPC) - Rate","Murder
(Sec. 302 IPC) - Percentage","Rape
(Sec. 376 IPC) - Incidence","Rape
(Sec. 376 IPC) - Rate","Rape
(Sec. 376 IPC) - Percentage","Kidnapping & Abduction
(Sec. 363-369, 371-373 IPC) - Incidence","Kidnapping & Abduction
(Sec. 363-369, 371-373 IPC) - Rate","Kidnapping & Abduction
(Sec. 363-369, 371-373 IPC) - Percentage","Dacoity
(Sec. 395-398 IPC) - Incidence","Dacoity
(Sec. 395-398 IPC) - Rate","Dacoity
(Sec. 395-398 IPC) - Percentage","Robbery
(Sec. 392-394, 397, 398 IPC) - Incidence","Robbery
(Sec. 392-394, 397, 398 IPC) - Rate","Robbery
(Sec. 392-394, 397, 398 IPC) - Percentage","Arson
(Sec. 435, 436, 438 IPC) - Incidence","Arson
(Sec. 435, 436, 438 IPC) - Rate","Arson
(Sec. 435, 436, 438 IPC) - Percentage","Hurt
(Sec. 323-333, 335-338 IPC) - Incidence","Hurt
(Sec. 323-333, 335-338 IPC) - Rate","Hurt
(Sec. 323-333, 335-338 IPC) - Percentage","Prot. of Civil Rights Act
(1955) - Incidence","Prot. of Civil Rights Act
(1955) - Rate","Prot. of Civil Rights Act
(1955) - Percentage","SC/ST Prev. of Attrocities Act
(1989) - Incidence","SC/ST Prev. of Attrocities Act
(1989) - Rate","SC/ST Prev. of Attrocities Act
(1989) - Percentage",Other offences - Incidence,Other offences - Rate,Other offences - Percentage,Total - Incidence,Total - Rate,Total - Percentage
11,State,Jharkhand,329.66,4,0,0.6,15,0,1,11,0,1.8,1,0,2.8,0,0,0,0,0,0,123,0.4,2.9,0,0,0,282,0.9,2.5,200,0.6,1.3,636,1.9,1.9
12,State,Karnataka,611.31,31,0.1,4.6,32,0.1,2.1,11,0,1.8,0,0,0,3,0,5.6,1,0,0.6,182,0.3,4.3,8,0,11.9,1331,2.2,11.7,882,1.4,5.9,2481,4.1,7.4
13,State,Kerala,333.88,3,0,0.4,106,0.3,6.8,6,0,1,0,0,0,0,0,0,2,0,1.2,293,0.9,6.9,1,0,1.5,59,0.2,0.5,291,0.9,1.9,761,2.3,2.3
14,State,Madhya Pradesh,725.98,99,0.1,14.7,327,0.5,21,62,0.1,10.1,1,0,2.8,5,0,9.3,28,0,16.6,900,1.2,21.2,0,0,0,4,0,0,1819,2.5,12.2,3245,4.5,9.6
15,State,Maharashtra,1123.73,26,0,3.9,95,0.1,6.1,12,0,1.9,16,0,44.4,12,0,22.2,7,0,4.1,84,0.1,2,10,0,14.9,304,0.3,2.7,577,0.5,3.9,1143,1,3.4
16,State,Manipur,27.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,State,Meghalaya,29.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,State,Mizoram,10.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,State,Nagaland,19.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,State,Odisha,419.47,13,0,1.9,35,0.1,2.2,5,0,0.8,1,0,2.8,1,0,1.9,17,0,10.1,127,0.3,3,0,0,0,1256,3,11.1,0,0,0,1455,3.5,4.3
21,State,Punjab,277.04,5,0,0.7,9,0,0.6,2,0,0.3,0,0,0,1,0,1.9,0,0,0,27,0.1,0.6,0,0,0,24,0.1,0.2,22,0.1,0.1,90,0.3,0.3
22,State,Rajasthan,686.21,51,0.1,7.6,216,0.3,13.9,30,0,4.9,0,0,0,1,0,1.9,28,0,16.6,510,0.7,12,5,0,7.5,102,0.1,0.9,4239,6.2,28.3,5182,7.6,15.4
23,State,Sikkim,6.08,0,0,0,2,0.3,0.1,1,0.2,0.2,0,0,0,0,0,0,0,0,0,2,0.3,0,0,0,0,0,0,0,4,0.7,0,9,1.5,0
24,State,Tamil Nadu,721.39,29,0,4.3,11,0,0.7,7,0,1.1,0,0,0,4,0,7.4,4,0,2.4,206,0.3,4.9,12,0,17.9,1011,1.4,8.9,107,0.1,0.7,1391,1.9,4.1
25,State,Tripura,36.71,1,0,0.1,2,0.1,0.1,3,0.1,0.5,0,0,0,1,0,1.9,0,0,0,10,0.3,0.2,0,0,0,1,0,0,4,0.1,0,22,0.6,0.1
26,State,Uttar Pradesh,1995.81,286,0.1,42.5,397,0.2,25.5,363,0.2,58.9,3,0,8.3,3,0,5.6,39,0,23.1,320,0.2,7.5,0,0,0,1995,1,17.6,4296,2.2,28.7,7702,3.9,22.8
27,State,Uttarakhand,101.17,3,0,0.4,3,0,0.2,1,0,0.2,0,0,0,0,0,0,0,0,0,4,0,0.1,0,0,0,21,0.2,0.2,0,0,0,32,0.3,0.1
28,State,West Bengal,913.48,0,0,0,1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0.2,0,0,0,37,0,0.3,14,0,0.1,59,0.1,0.2
State,State,Total (States),11901.11,673,0.1,100,1557,0.1,100,616,0.1,100,36,0,100,54,0,100,169,0,100,4247,0.4,100,52,0,77.6,11316,1,99.8,14950,1.3,99.9,33670,2.8,99.9
29,Union Territory,A & N Islands,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Union Territory,Chandigarh,10.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0,1,0.1,0,2,0.2,0
31,Union Territory,D & N Haveli,3.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3,0,1,0.3,0
32,Union Territory,Daman & Diu,2.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Union Territory,Delhi,167.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0.1,0.2,4,0,0,28,0.2,0.1
34,Union Territory,Lakshadweep,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Union Territory,Puducherry,12.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1.2,22.4,1,0.1,0,2,0.2,0,18,1.4,0.1
Union Territory,Union Territory,Total (UTs),200.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.1,22.4,26,0.1,0.2,8,0,0.1,49,0.2,0.1
Total (All-India),Total (All-India),Total (All-India),12101.93,673,0.1,100,1557,0.1,100,616,0.1,100,36,0,100,54,0,100,169,0,100,4247,0.4,100,67,0,100,11342,0.9,100,14958,1.2,100,33719,2.8,100
