Sl. No.,Category,State/UT,Pending Investigation from Previous Year,Cases Regd. During the Year,Total Cases for Investigation,Cases Investigated,Cases not Investigated or Investigation Dropped,Cases Declared False Etc. During Year,Cases ChargeSheeted,Cases in Which Final Report Submitted,Cases Pending Investigation at the end of Year,Percentage of Cases Charge Sheeted to Total Cases Investigated,Cases Resulted in Recovery or Seizure,Value of Property Recovered / Seized (In Rs. ''000),Cases Pending Trial from the Previous Year,Cases Sent Up for Trial During the Year,Total Cases for Trial,Cases Withdrawn/ Discharged or Other Wise Disposed Cases Withdrawn/ Discharged or Other Wise Disposed of,Trials Completed During the Year,Cases Convicted,Cases Acquitted or Discharged,Pending Trial at the end of The Year,Percentage of Cases Convicted to Trials Completed,Total Amt. of Fine Imposed During the Year (In Rs. ''000),"Cases Transferred to Local
Police",Cases Pending for Prosecution,Cases Sent Up for Trial and Also Reported for Dept. Action,Cases Reported for Regular Departmental Action,Cases Reported for Suitable Action
11,State,Jharkhand,110,28,138,138,0,11,53,11,74,38.4,13,67,41,53,94,1,1,1,1,0,100,5,1,3,14,28,27
12,State,Karnataka,720,479,1199,1194,0,38,365,87,977,30.6,302,70545.4,1105,365,1470,20,246,83,163,1204,33.7,1938.2,5,110,198,75,109
13,State,Kerala,514,101,616,615,1,42,136,39,486,22.1,11,0,794,377,1123,0,68,45,23,1055,66.2,2318.4,1,33,10,14,3
14,State,Madhya Pradesh,165,155,320,320,0,0,66,0,192,20.6,37,1084.1,294,66,360,7,90,49,41,263,54.4,6741.5,0,62,0,0,0
15,State,Maharashtra,780,512,1311,1311,0,1,460,25,826,35.1,3,0,2117,460,2577,14,390,90,300,2173,23.1,1681.6,3,252,0,24,0
16,State,Manipur,24,2,26,26,0,0,0,0,26,0,0,0,9,0,9,0,0,0,0,9,0,0,0,0,0,1,0
17,State,Meghalaya,2,0,2,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
18,State,Mizoram,9,11,20,7,0,0,7,0,13,100,20,49304.8,5,7,12,1,1,0,1,10,0,0,0,1,4,0,7
19,State,Nagaland,16,17,33,33,16,0,13,5,33,39.4,0,0,8,13,21,1,7,6,1,13,85.7,21,0,1,1,2,1
20,State,Odisha,776,438,1214,1214,1,2,336,23,818,27.7,209,20961.1,2727,336,3063,27,230,85,145,2806,37,1603.2,0,141,276,237,7
21,State,Punjab,210,66,276,108,10,5,85,23,169,78.7,17,169.7,809,85,894,9,240,139,101,645,57.9,1303.5,0,65,50,0,10
22,State,Rajasthan,965,516,1481,1481,0,0,265,87,1129,17.9,258,9505.3,2033,265,2298,5,186,49,137,2107,26.3,1628.5,0,184,138,138,42
23,State,Sikkim,45,8,53,53,0,0,4,9,40,7.5,0,0,30,4,34,0,8,6,2,26,75,45,0,0,1,6,0
24,State,Tamil Nadu,390,274,664,664,0,0,224,172,305,33.7,109,4781.4,577,224,801,8,73,29,44,720,39.7,187,0,100,83,98,127
25,State,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
26,State,Uttar Pradesh,125,74,199,105,0,0,45,8,94,42.9,0,0,548,45,593,0,15,7,8,578,46.7,0,0,35,35,0,0
27,State,Uttarakhand,14,0,14,6,0,0,6,0,8,100,0,0,34,6,40,0,5,2,3,35,40,0,0,0,0,0,0
28,State,West Bengal,1,9,10,3,0,2,8,0,0,266.7,1,515.5,20,8,28,0,0,0,0,28,0,0,0,0,0,0,0
State,State,Total (States),6366,3587,9973,8997,45,126,2920,587,6625,32.5,1638,263765,15936,3161,19033,167,2295,861,1435,16462,37.5,22498.2,11,1325,1289,733,359
29,Union Territory,A & N Islands,11,3,14,14,0,0,6,0,8,42.9,0,0,12,6,18,0,0,0,0,18,0,0,0,0,0,0,0
30,Union Territory,Chandigarh,14,7,21,21,0,0,4,1,16,19,2,25,33,4,37,0,3,2,1,34,66.7,0,0,3,4,0,0
31,Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0
32,Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0
33,Union Territory,Delhi,176,12,188,23,10,0,12,10,177,52.2,7,61.1,223,12,235,2,112,79,33,121,70.5,1430,1,27,1,7,0
34,Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Union Territory,Puducherry,22,4,26,26,0,0,5,0,18,19.2,0,0,24,5,29,0,3,2,1,26,66.7,10,0,3,5,0,0
Union Territory,Union Territory,Total (UTs),223,26,249,84,10,0,27,11,219,32.1,9,86.1,296,27,323,2,118,83,35,203,70.3,1440,1,33,10,7,0
Total (All-India),Total (All-India),Total (All-India),6589,3613,10222,9081,55,126,2947,598,6844,32.5,1647,263851.1,16232,3188,19356,169,2413,944,1470,16665,39.1,23938.2,12,1358,1299,740,359
