Sl. No.,Crime Head,2001 - Incidence,2001 - Rate of Crime,2006 - Incidence,2006 - Rate of Crime,2007 - Incidence,2007 - Rate of Crime,2008 - Incidence,2008 - Rate of Crime,2009 - Incidence,2009 - Rate of Crime,2010 - Incidence,2010 - Rate of Crime,Quinquennial Avg.2006-2010 (Q.A) - Incidence,Quinquennial Avg.2006-2010 (Q.A) - Rate of Crime,2011 - Incidence,2011 - Rate of Crime,Percentage Change in 2011[(+) increase/(-) Decrease] Over - 2001,Percentage Change in 2011[(+) increase/(-) Decrease] Over - Q.A,Percentage Change in 2011[(+) increase/(-) Decrease] Over - 2010
18,Criminal Breach of Trust (Sec.406-409 IPC),14798,-1.4,13636,-1.2,15531,-1.4,16487,-1.4,16326,-1.4,16678,-1.4,15732,1.4,17457,1.4,18,11,4.7
19,"Cheating (Sec.419,420 IPC)",44727,-4.4,58076,-5.2,65326,-5.7,66579,-5.8,72718,-6.2,78999,-6.7,68340,5.9,87656,7.2,96,28.3,11
20,"Counterfeiting (Sec.231-254, 489a-489d IPC)",1683,-0.2,2169,-0.2,2204,-0.2,2991,-0.3,2935,-0.3,2589,-0.2,2578,0.2,2307,0.2,37.1,-10.5,-10.9
22,"Arson (Sec.435,436,438 IPC)",10534,-1,8480,-0.8,9024,-0.8,9249,-0.8,8736,-0.7,8508,-0.7,8799,0.8,9064,0.7,-14,3,6.5
23,"Hurt (Sec.323-333,335-338 IPC)",271487,-26.4,264748,-23.6,273067,-24,284969,-24.7,279214,-23.9,289022,-24.4,278204,24.1,2847,25,11.6,8.9,4.8
24,Dowry Deaths (Sec.304b IPC),6851,-0.7,7618,-0.7,8093,-0.7,8172,-0.7,8383,-0.7,8391,-0.7,8131,0.7,8618,0.7,25.8,6,2.7
25,Molestation (Sec. 354 IPC),34124,-3.3,36617,-3.3,38734,-3.4,40413,-3.5,38711,-3.3,40613,-3.4,39018,3.4,42968,3.6,25.9,10.1,5.8
26,Sexual Harassment (Sec.509 IPC),9746,-0.9,9966,-0.9,10950,-1,12214,-1.1,11009,-0.9,9961,-0.8,10820,0.9,8570,0.7,-12.1,-20.8,-14
27,Cruelty by Husband And Relatives (Sec. 498a IPC),49170,-4.8,63128,-5.6,75930,-6.7,81344,-7.1,89546,-7.7,94041,-7.9,80798,7,99135,8.2,101.6,22.7,5.4
28,Importation of Girls (Sec.366b IPC),114,0,67,0,61,0,67,0,48,0,36,0,56,0,80,0,-29.8,43.4,122.2
29,Causing Death by Negligence (Sec. 304a IPC),57182,-5.6,78513,-7,86790,-7.6,92186,-8,98532,-8.4,106343,-9,92473,8,8890,9,90.4,17.8,2.4
30,Other IPC Crimes,701362,-68.3,"779697
",-69.6,"829206
",-73,"856963
",-74.3,"865541
",-74,"924072
",-77.9,851096,73.8,66032,79.8,37.7,13.5,4.5
31,Total Cognizable Crimes Under IPC,1769308,-172.3,1878293,-167.7,1989673,-175.1,2093379,-181.5,2121345,-181.4,2224831,-187.6,2061504,178.7,25575192.2,192.2,31.4,12.8,4.5
