Sl. No.,Category,Crime Head,Below 18 Years Male,Below 18 Years Female,18 - 30 Years Male,18 - 30 Years Female,30 - 45 Years Male,30 - 45 Years Female,45 - 60 Years Male,45 - 60 Years Female,60 Years & Above Male,60 Years & Above Female,Total of Overal lAge-Group Male,Total of Overall Age-Group Female,Grand Total of All Persons
45, SLL CRIMES,Terrorist & disruptive activities act,0,0,0,0,0,0,0,0,0,0,0,0,0
46, SLL CRIMES,Antiquities & art treasures act,1,0,22,1,64,1,19,0,0,0,106,2,108
47, SLL CRIMES,Dowry prohibition act,1,3,3339,642,3814,1089,2100,943,368,73,9622,2750,12372
48, SLL CRIMES,Prohibition of child marriage act,2,2,83,11,115,47,44,19,5,1,249,80,329
49, SLL CRIMES,Indecent representation of women (p) act,0,0,188,104,88,28,33,19,0,1,309,152,461
50, SLL CRIMES,Copyright act,19,3,4115,37,3726,22,1066,10,70,1,8996,73,9069
51, SLL CRIMES,Sati prevention act,0,0,0,0,0,0,0,0,0,0,0,0,0
52, SLL CRIMES,SC/ST (prevention of atrocities) act,41,1,8955,292,9005,501,4333,197,387,20,22721,1011,23732
53, SLL CRIMES,SC/ST (prevention of atrocities) act - prevention of attrocities act for SCs,39,1,8335,271,8361,442,4016,171,327,18,21078,903,21981
54, SLL CRIMES,SC/ST (prevention of atrocities) act - prevention of attrocities act for STs,2,0,620,21,644,59,317,26,60,2,1643,108,1751
55, SLL CRIMES,Forest act,3,0,4041,5,3956,17,1979,22,295,13,10274,57,10331
56, SLL CRIMES,Other sll crimes,1453,171,1535218,12244,1177248,15557,417627,5254,33882,582,3165428,33808,3199236
57, SLL CRIMES,Total cognizable crimes under sll,2675,446,1945038,44404,1576753,64849,592722,26838,55344,3344,4172532,139881,4312413
58,Grand Total,Grand total,31909,1978,3281240,113580,2638262,142429,1061231,65903,112180,9546,7124822,333436,7458258
