Sr. No.,Category,States/ UTs,No. of Complaints Received/ Alleged During the Year,Complaints Received/Cases Registered - No. of Inquiry Instituted - Departmental,Complaints Received/Cases Registered - No. of Inquiry Instituted - Magisterial,Complaints Received/Cases Registered - No. of Inquiry Instituted - Judicial,Complaints Received/Cases Registered - Complaints / Cases Declared False/ Unsustantiated,Complaints Received/Cases Registered - No. of Cases Registered During the Year,Complaints Received/Cases Registered - No. of Cases - Reported for Regular Deptt. Action,Complaints Received/Cases Registered - No. of Cases - Sent Up for Trials/ Charge Sheeted,Police Personnel Involved/Action Taken - No. of Police Personnel Sent Up for Trial During the Year,Police Personnel Involved/Action Taken - No. of Police Personnel Whose Cases Withdrawn or Otherwise Disposed of,Police Personnel Involved/Action Taken - No. of Personnel in Whose Cases Trial Completed,Police Personnel Involved/Action Taken - No. of Police Personnel - Convicted,Police Personnel Involved/Action Taken - No. of Police Personnel - Acquitted,Departmental Action/Punishment - No. of Police Personnel - Against Whom Disciplinary Action initiated,Departmental Action/Punishment - No. of Police Personnel - Whose Cases Withdrawn or Otherwise Disposed of,Departmental Action/Punishment - No. of Police Personnel - in Whose Cases Trial Was Completed,Departmental Action/Punishment - No. of Police Personnel - Dismissed/ Removed from Service,Departmental Action/Punishment - No. of Police Personnel - Major Punishment Awarded,Departmental Action/Punishment - No. of Police Personnel - Minor Punishment Awarded
17,State,Meghalaya,2,2,0,0,0,5,0,1,1,1,0,0,0,4,0,0,3,51,23
18,State,Mizoram,3,3,0,0,0,2,2,2,2,0,1,0,1,1,0,1,0,1,1
19,State,Nagaland,8,2,0,4,0,7,0,6,7,0,1,1,0,2,0,1,0,0,1
20,State,Odisha,30,30,0,0,0,30,7,2,7,0,0,0,0,16,0,3,0,2,1
21,State,Punjab,3858,1324,3,0,2240,36,25,10,67,53,61,16,45,1912,600,837,77,665,1888
22,State,Rajasthan,1894,164,0,1,1729,193,124,26,72,27,3,2,1,3700,1291,2383,69,228,2086
23,State,Sikkim,26,26,0,0,0,0,26,0,0,0,0,0,0,20,6,20,0,4,16
24,State,Tamil Nadu,366,282,62,45,15,107,67,80,81,6,18,0,18,1620,295,550,32,457,642
25,State,Tripura,34,9,0,21,5,28,7,16,20,2,1,0,1,90,37,9,13,17,18
26,State,Uttar Pradesh,12119,8693,8,0,3418,8701,8326,45,95,1,7,0,7,8650,492,8158,171,1025,6962
27,State,Uttarakhand,682,682,0,0,596,15,71,7,7,0,0,0,0,358,59,276,9,20,247
28,State,West Bengal,33,32,0,5,0,5,27,5,5,0,0,0,0,214,11,32,0,99,382
State,State,Total (States),51439,21269,326,244,30750,10384,9625,823,1069,141,204,53,151,26333,5085,15626,626,4308,15889
29,Union Territory,A & N Islands,24,0,0,24,0,24,0,22,22,0,1,0,1,16,2,0,4,12,68
30,Union Territory,Chandigarh,357,0,0,0,124,0,0,0,0,0,0,0,0,54,37,0,1,16,37
31,Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Union Territory,Delhi,6614,294,0,0,241,58,40,14,14,0,0,0,0,1303,0,1250,35,218,997
34,Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Union Territory,Puducherry,4,0,0,0,0,4,0,2,2,0,0,0,0,17,1,0,0,7,15
Union Territory,Union Territory,Total (UTs),6999,294,0,24,365,86,40,38,38,0,1,0,1,1390,40,1250,40,253,1117
Total (All-India),Total (All-India),Total (All-India),58438,21563,326,268,31115,10470,9665,861,1107,141,205,53,152,27723,5125,16876,666,4561,17006
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,950,230,40,1,37,351,,,,,,,,,,,,,
,,,176,0,0,0,13,54,,,,,,,,,,,,,
,,0,0,0,0,7,5,,,,,,,,,,,,,,
,,643,227,248,5,293,157,,,,,,,,,,,,,,
,,362,57,207,23,37,148,,,,,,,,,,,,,,
,,257,165,41,0,1,121,,,,,,,,,,,,,,
,,1937,191,690,34,166,808,,,,,,,,,,,,,,
,,8,0,0,0,0,0,,,,,,,,,,,,,,
,,,98,20,32,0,22,23,,,,,,,,,,,,,
,,,,1447,877,797,17,559,516,,,,,,,,,,,,
,,932,112,253,90,353,327,,,,,,,,,,,,,,
,,633,82,386,8,22,449,,,,,,,,,,,,,,
,,1223,141,395,13,128,359,,,,,,,,,,,,,,
,,,805,188,83,25,80,177,,,,,,,,,,,,,
,,275,4,184,36,21,127,,,,,,,,,,,,,,
,,0,0,0,0,0,0,,,,,,,,,,,,,,
,,4,0,0,3,51,23,,,,,,,,,,,,,,
,,1,0,1,0,1,1,,,,,,,,,,,,,,
,,2,0,1,0,0,1,,,,,,,,,,,,,,
,,16,0,3,0,2,1,,,,,,,,,,,,,,
,,1912,600,837,77,665,1888,,,,,,,,,,,,,,
,,3700,1291,2383,69,228,2086,,,,,,,,,,,,,,
,,20,6,20,0,4,16,,,,,,,,,,,,,,
,,,1620,295,550,32,457,642,,,,,,,,,,,,,
,,90,37,9,13,17,18,,,,,,,,,,,,,,
,,,8650,492,8158,171,1025,6962,,,,,,,,,,,,,
,,358,59,276,9,20,247,,,,,,,,,,,,,,
,,,214,11,32,0,99,382,,,,,,,,,,,,,
,,26333,5085,15626,626,4308,15889,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,16,2,0,4,12,68,,,,,,,,,,,
,,54,37,0,1,16,37,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,,,,,,,,,,,
,,,,0,0,0,0,0,0,,,,,,,,,,,,
,,1303,0,1250,35,218,997,,,,,,,,,,,,,,
,,0,0,0,0,0,0,,,,,,,,,,,,,,
,,17,1,0,0,7,15,,,,,,,,,,,,,,
,,1390,40,1250,40,253,1117,,,,,,,,,,,,,,
,,27723,5125,16876,666,4561,17006,,,,,,,,,,,,,,
