Sr. No.,Category,States/ UTs/ Cities,Population (In Lakhs),Infanticide (Sec. 315 IPC) - (I),Infanticide (Sec. 315 IPC) - (R),Infanticide (Sec. 315 IPC) - (P),Murder (Sec. 302 IPC) - (I),Murder (Sec. 302 IPC) - (R),Murder (Sec. 302 IPC) - (P),Rape (Sec. 376 IPC) - (I),Rape (Sec. 376 IPC) - (R),Rape (Sec. 376 IPC) - (P),"Kidnapping & Abduction (Sec.363-369,371-373 IPC) - (I)","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - (R)","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - (P)","Foeticide (Sec.315,316 IPC) - (I)","Foeticide (Sec.315,316 IPC) - (R)","Foeticide (Sec.315,316 IPC) - (P)",Abetment to Suicide (Sec.305 IPC) - (I),Abetment to Suicide (Sec.305 IPC) - (R),Abetment to Suicide (Sec.305 IPC) - (P),Exposure and Abandonment (Sec.317 IPC) - (I),Exposure and Abandonment (Sec.317 IPC) - (R),Exposure and Abandonment (Sec.317 IPC) - (P),Procuration of Minor Girl (Sec.366A IPC) - (I),Procuration of Minor Girl (Sec.366A IPC) - (R),Procuration of Minor Girl (Sec.366A IPC) - (P),Buying of Girls for Prostitution (Sec.373 IPC) - (I),Buying of Girls for Prostitution (Sec.373 IPC) - ( R),Buying of Girls for Prostitution (Sec.373 IPC) - (P),Selling of Girls for Prostitution (Sec.372 IPC) - (I),Selling of Girls for Prostitution (Sec.372 IPC) - (R),Selling of Girls for Prostitution (Sec.372 IPC) - (P),Prohibition of Child Marriage Act 2006 - (I),Prohibition of Child Marriage Act 2006 - (R),Prohibition of Child Marriage Act 2006 - (P),Other Crimes - (I),Other Crimes - (R),Other Crimes - (P),Total - (I),Total - (R),Total - (P)
43,City,Chennai,64.25,0,0,0,4,0.1,2.8,22,0.3,2.8,27,0.4,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0.8,0.9
44,City,Coimbatore,14.46,0,0,0,2,0.1,1.4,5,0.3,0.6,4,0.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.8,0.2
45,City,Delhi (city),127.91,0,0,0,22,0.2,15.4,249,1.9,32.1,2470,19.3,71.2,5,0,41.7,0,0,0,40,0.3,24.8,0,0,0,0,0,0,4,0,28.6,0,0,0,239,1.9,15.5,3029,23.7,48.9
46,City,Dhanbad,10.64,0,0,0,1,0.1,0.7,0,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1.1,0.8,14,1.3,0.2
47,City,Faridabad,10.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,City,Hyderabad,55.34,0,0,0,2,0,1.4,15,0.3,1.9,33,0.6,1,0,0,0,2,0,11.1,12,0.2,7.5,0,0,0,0,0,0,1,0,7.1,0,0,0,21,0.4,1.4,86,1.6,1.4
49,City,Indore,16.39,0,0,0,3,0.2,2.1,3,0.2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319,19.5,20.7,325,19.8,5.2
50,City,Jabalpur,11.17,0,0,0,1,0.1,0.7,19,1.7,2.5,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,7.1,5.1,100,9,1.6
51,City,Jaipur,23.24,0,0,0,8,0.3,5.6,18,0.8,2.3,70,3,2,0,0,0,0,0,0,2,0.1,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,4.2,1.6
52,City,Jamshedpur,11.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,City,Kanpur,26.9,0,0,0,11,0.4,7.7,15,0.6,1.9,80,3,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0.9,1.6,130,4.8,2.1
54,City,Kochi,13.55,0,0,0,1,0.1,0.7,6,0.4,0.8,4,0.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.2,14,1,0.2
55,City,Kolkata,132.17,0,0,0,1,0,0.7,11,0.1,1.4,53,0.4,1.5,0,0,0,0,0,0,0,0,0,11,0.1,45.8,0,0,0,6,0,42.9,0,0,0,69,0.5,4.5,151,1.1,2.4
56,City,Lucknow,22.67,3,0.1,27.3,7,0.3,4.9,9,0.4,1.2,15,0.7,0.4,4,0.2,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.1,0.2,41,1.8,0.7
57,City,Ludhiana,13.95,0,0,0,2,0.1,1.4,25,1.8,3.2,111,8,3.2,1,0.1,8.3,0,0,0,7,0.5,4.3,0,0,0,0,0,0,1,0.1,7.1,0,0,0,3,0.2,0.2,150,10.8,2.4
58,City,Madurai,11.95,1,0.1,9.1,2,0.2,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.3,0
59,City,Meerut,11.67,0,0,0,4,0.3,2.8,10,0.9,1.3,38,3.3,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.7,0.5,60,5.1,1
60,City,Mumbai,163.68,0,0,0,11,0.1,7.7,140,0.9,18.1,113,0.7,3.3,0,0,0,1,0,5.6,20,0.1,12.4,1,0,4.2,0,0,0,0,0,0,0,0,0,246,1.5,16,532,3.3,8.6
61,City,Nagpur,21.23,0,0,0,5,0.2,3.5,30,1.4,3.9,30,1.4,0.9,0,0,0,3,0.1,16.7,2,0.1,1.2,0,0,0,0,0,0,1,0,7.1,0,0,0,159,7.5,10.3,230,10.8,3.7
62,City,Nasik,11.52,0,0,0,0,0,0,13,1.1,1.7,6,0.5,0.2,0,0,0,1,0.1,5.6,4,0.3,2.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0.1,25,2.2,0.4
63,City,Patna,17.07,0,0,0,6,0.4,4.2,6,0.4,0.8,51,3,1.5,0,0,0,0,0,0,0,0,0,8,0.5,33.3,0,0,0,0,0,0,4,0.2,57.1,4,0.2,0.3,79,4.6,1.3
64,City,Pune,37.56,0,0,0,9,0.2,6.3,52,1.4,6.7,44,1.2,1.3,1,0,8.3,1,0,5.6,13,0.3,8.1,0,0,0,27,0.7,100,0,0,0,0,0,0,206,5.5,13.4,353,9.4,5.7
65,City,Rajkot,10.02,0,0,0,1,0.1,0.7,2,0.2,0.3,24,2.4,0.7,0,0,0,0,0,0,13,1.3,8.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0.1,41,4.1,0.7
66,City,Surat,28.11,0,0,0,9,0.3,6.3,15,0.5,1.9,13,0.5,0.4,0,0,0,10,0.4,55.6,15,0.5,9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,2.2,1
67,City,Vadodara,14.92,0,0,0,2,0.1,1.4,3,0.2,0.4,33,2.2,1,0,0,0,0,0,0,3,0.2,1.9,0,0,0,0,0,0,0,0,0,1,0.1,14.3,11,0.7,0.7,53,3.6,0.9
68,City,Varanasi,12.12,0,0,0,1,0.1,0.7,2,0.2,0.3,6,0.5,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.2,12,1,0.2
69,City,Vijayawada,10.11,0,0,0,2,0.2,1.4,16,1.6,2.1,54,5.3,1.6,0,0,0,0,0,0,4,0.4,2.5,0,0,0,0,0,0,0,0,0,0,0,0,112,11.1,7.3,188,18.6,3
70,City,Vishakhapatnam,13.29,0,0,0,1,0.1,0.7,6,0.5,0.8,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0.1,9,0.7,0.1
City,City,Total (Cities),1078.8,11,0,100,143,0.1,100,775,0.7,100,3470,3.2,100,12,0,100,18,0,100,161,0.1,100,24,0,100,27,0,100,14,0,100,7,0,100,1538,1.4,100,6200,5.7,100
