Sr. No.,Category,States/ UTs,Estimated Mid Year Population (In Lakhs)#,Murder (Sec. 302 IPC) - (I),Murder (Sec. 302 IPC) - ( R),Murder (Sec. 302 IPC) - (P),Rape (Sec. 376 IPC) - (I),Rape (Sec. 376 IPC) - ( R),Rape (Sec. 376 IPC) - (P),"Kidnapping & Abduction (Sec.363-369,371-373 IPC) - (I)","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - ( R)","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - (P)",Dacoity (Sec. 395-398 IPC) - (I),Dacoity (Sec. 395-398 IPC) - ( R),Dacoity (Sec. 395-398 IPC) - (P),"Robbery (Sec. 392-394,397,398 IPC) - (I)","Robbery (Sec. 392-394,397,398 IPC) - ( R)","Robbery (Sec. 392-394,397,398 IPC) - (P)","Arson (Sec. 435,436,438 IPC) - (I)","Arson (Sec. 435,436,438 IPC) - ( R)","Arson (Sec. 435,436,438 IPC) - (P)","Hurt (Sec. 323-333,335-338 IPC) - (I)","Hurt (Sec. 323-333,335-338 IPC) - ( R)","Hurt (Sec. 323-333,335-338 IPC) - (P)",Prot.of Civil Rights Act (1955) - (I),Prot.of Civil Rights Act (1955) - ( R),Prot.of Civil Rights Act (1955) - (P),SC/ST Prev.of Attrocities Act (1989) - (I),SC/ST Prev.of Attrocities Act (1989) - ( R),SC/ST Prev.of Attrocities Act (1989) - (P),Other offences - (I),Other offences - ( R),Other offences - (P),Total - (I),Total - ( R),Total - (P)
11,State,Jharkhand,309.37,10,0,7,18,0.1,2.8,3,0,3.6,5,0,71.4,2,0,40,1,0,2.6,75,0.2,8,0,0,0,75,0.2,6.4,45,0.1,1.6,234,0.8,4
12,State,Karnataka,587.99,5,0,3.5,4,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1.5,0,0,0,168,0.3,14.4,103,0.2,3.6,294,0.5,5
13,State,Kerala,349.72,1,0,0.7,18,0.1,2.8,0,0,0,0,0,0,0,0,0,1,0,2.6,25,0.1,2.7,0,0,0,13,0,1.1,30,0.1,1.1,88,0.3,1.5
14,State,Madhya Pradesh,721.06,47,0.1,33.1,308,0.4,47.1,30,0,35.7,0,0,0,0,0,0,13,0,33.3,329,0.5,35,1,0,20,4,0,0.3,652,0.9,23,1384,1.9,23.5
15,State,Maharashtra,1100.49,9,0,6.3,46,0,7,8,0,9.5,1,0,14.3,1,0,20,7,0,17.9,11,0,1.2,0,0,0,55,0,4.7,154,0.1,5.4,292,0.3,5
16,State,Manipur,27.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,State,Meghalaya,26.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,State,Mizoram,10.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,State,Nagaland,22.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,State,Odisha,408.28,6,0,4.2,42,0.1,6.4,4,0,4.8,0,0,0,0,0,0,1,0,2.6,118,0.3,12.5,0,0,0,355,0.9,30.4,30,0.1,1.1,556,1.4,9.4
21,State,Punjab,272.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,State,Rajasthan,671.06,21,0,14.8,42,0.1,6.4,4,0,4.8,0,0,0,0,0,0,6,0,15.4,143,0.2,15.2,0,0,0,26,0,2.2,1077,1.6,37.9,1319,2,22.4
23,State,Sikkim,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,0.1,0,0,0,0,0,0,0,0,0,1,0.2,0
24,State,Tamil Nadu,676.32,2,0,1.4,0,0,0,1,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,2.1,5,0,0.2,33,0,0.6
25,State,Tripura,36.1,0,0,0,2,0.1,0.3,1,0,1.2,0,0,0,1,0,20,0,0,0,5,0.1,0.5,0,0,0,0,0,0,26,0.7,0.9,35,1,0.6
26,State,Uttar Pradesh,1990.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,State,Uttarakhand,98.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,State,West Bengal,902.22,0,0,0,1,0,0.2,1,0,1.2,0,0,0,0,0,0,0,0,0,2,0,0.2,0,0,0,21,0,1.8,22,0,0.8,47,0.1,0.8
State,State,Total (States),11641.94,142,0,100,654,0.1,100,83,0,98.8,7,0,100,5,0,100,39,0,100,940,0.1,99.9,5,0,100,1169,0.1,100,2838,0.2,100,5882,0.5,99.9
29,Union Territory,A & N Islands,4.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,0.1,0,0,0,0,0,0,0,0,0,1,0.2,0
30,Union Territory,Chandigarh,11.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Union Territory,D & N Haveli,2.83,0,0,0,0,0,0,1,0.4,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.4,0,2,0.7,0
32,Union Territory,Daman & Diu,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Union Territory,Delhi,183.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Union Territory,Lakshadweep,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Union Territory,Puducherry,11.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Union Territory,Total (UTs),215.62,0,0,0,0,0,0,1,0,1.2,0,0,0,0,0,0,0,0,0,1,0,0.1,0,0,0,0,0,0,1,0,0,3,0,0.1
Total (All-India),Total (All-India),Total (All-India),11857.6,142,0,100,654,0.1,100,84,0,100,7,0,100,5,0,100,39,0,100,941,0.1,100,5,0,100,1169,0.1,100,2839,0.2,100,5885,0.5,100
