SI.No (1),Crime Head (2),Below 16 Years - Male (3),Below 16 Years - female (4),16-18 years - Male (5),16-18 years - female (6),18-30 years - Male (7),18-30 years - female (8),30-50 years - Male (9),30-50 years - female (10),50 years & Above - Male (11),50 years & Above - female (12),Total over all age group - Juvenles - M (13),Total over all age group - Juvenles - f (14),Total over all age group - others - M (15),Total over all age group - others - f (16),Total over all age group - Total - M (17),Total over all age group - Total - f (18),Total M+F (17+18) (19)
14,Antiquity & Art Treasure Act,0,0,0,0,18,1,26,0,2,0,0,0,46,1,46,1,47
15,Dowry Prohibition Act,3,0,24,1,2569,641,2011,700,472,220,3,1,5076,1561,5079,1562,6641
16,Child Marriage Restraint Act,0,0,1,1,40,17,73,32,11,2,0,1,125,51,125,52,177
17,Indecent Representation of Women (P)Act,0,2,0,0,77,90,42,65,5,2,0,2,124,157,124,159,283
18,Copy Rights Act,1,0,28,1,1624,7,1130,1,94,1,1,1,2876,9,2877,10,2887
19,Sati Prevention Act,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,SC/St (Prevention of Atrocities ) Act,10,1,83,7,11117,284,10306,345,2342,73,10,8,23848,702,23858,710,24568
21,Forest Act,36,37,162,44,5843,67,4379,20,734,3,36,81,11118,90,11154,171,11325
22,Other SLL Crimes,3620,457,12879,789,1076280,22477,1264946,23748,156311,3771,3620,1246,2510416,49996,2514036,51242,2565278
23,Total cognizable Crimes Under Sll,4194,542,26343,1853,1534455,80717,1688459,90019,244988,15559,4194,2395,3494245,186295,3498439,188690,3687129
C.Grang Total (A+B),C.Grang Total (A+B),13088,1262,69574,4110,2798544,146688,2646593,153106,425860,29180,13088,5372,5940571,328974,5953659,334346,6288005
