SI.No. (1),States/UT (2),District/Session judge Duration of Trial - Less Than 6 Months(3),District/Session judge Duration of Trial - 6-12 Months(4),District/Session judge Duration of Trial - 1-3Years(5),District/Session judge Duration of Trial - 3-5 Years(6),District/Session judge Duration of Trial - 5-10 Years (7),District/Session judge Duration of Trial - Over 10Years (8),District/Session judge Duration of Trial - Total (Col 3 To 8) (9),Additional Session Judge Duration of Trial - Less Than 6 Month (10),Additional Session Judge Duration of Trial - 6-12 Month (11),Additional Session Judge Duration of Trial - Less Than 1-3 Years (12),Additional Session Judge Duration of Trial - 3-5 Years (13),Additional Session Judge Duration of Trial - 5-10 Years (14),Additional Session Judge Duration of Trial - Over 10 Years (15),Additional Session Judge Duration of Trial - Total (Col. (10 To 15) (16),Chief Judicial Magistrate Duration of Trial - Less than 6 Months (17),Chief Judicial Magistrate Duration of Trial - 6 -12 Months (18),Chief Judicial Magistrate Duration of Trial - 1-3 Years (19),Chief Judicial Magistrate Duration of Trial - 3-5 Years (20),Chief Judicial Magistrate Duration of Trial - 5-10 Years (21),Chief Judicial Magistrate Duration of Trial - Over 10 Years (22),Chief Judicial Magistrate Duration of Trial - Total (Col. 17 To 22) (23),Judicial Magistrate (I) Duration of Trial - Less than 6 Months (24),Judicial Magistrate (I) Duration of Trial - 6-12 Months (25),Judicial Magistrate (I) Duration of Trial - 1-3 Years (26),Judicial Magistrate (I) Duration of Trial - 3-5 Years (27),Judicial Magistrate (I) Duration of Trial - 5-10 Years (28),Judicial Magistrate (I) Duration of Trial - Over 10 Years (29),Judicial Magistrate (I) Duration of Trial - Total (Col. 24 To 29) (30),Judicial Magistrate (II) Duration of Trial - Less than 6 Months (31),Judicial Magistrate (II) Duration of Trial - 6-12 Months (32),Judicial Magistrate (II) Duration of Trial - 1-3 Years (33),Judicial Magistrate (II) Duration of Trial - 3-5 Years (34),Judicial Magistrate (II) Duration of Trial - 5-10 Years (35),Judicial Magistrate (II) Duration of Trial - Over 10 Years (36),Judicial Magistrate (II) Duration of Trial - Total (Col. 31 To 36) (37),Special Judicial Magistrate Duration of Trial - Less than 6 Months (38),Special Judicial Magistrate Duration of Trial - 6-12 Months (39),Special Judicial Magistrate Duration of Trial - 1-3 Years (40),Special Judicial Magistrate Duration of Trial - 3-5 Years (41),Special Judicial Magistrate Duration of Trial - 5-10 Years (42),Special Judicial Magistrate Duration of Trial - Over 10 Years (43),Special Judicial Magistrate Duration of Trial - Total (Col. 38 To 43) (44),Sum of All Type of Courts Duration of Trial - Less than 6 Months (45),Sum of All Type of Courts Duration of Trial - 6-12 Months (46),Sum of All Type of Courts Duration of Trial - 1-3 Years (47),Sum of All Type of Courts Duration of Trial - 3-5 Years (48),Sum of All Type of Courts Duration of Trial - 5-10 Years (49),Sum of All Type of Courts Duration of Trial - Over 10 Years (50),Sum of All Type of Courts Duration of Trial - Total (Col. 45 To 50) (51)
12,Madhya Pradesh,719,692,1035,582,380,32,3440,2559,1940,1821,800,245,678,8043,5333,6750,6762,4142,3435,851,27273,11442,11056,10289,10523,9352,3400,56062,1776,2829,1845,3321,1706,599,12076,530,860,1120,554,202,27,3293,22359,24127,22872,19922,15320,5587,110187
13,Maharashtra,155,208,1036,1085,506,154,3144,123,300,937,1057,424,270,3111,887,1199,3462,3063,2002,809,11422,2207,4167,12932,10815,7271,2430,39822,338,896,3124,2814,1351,364,8887,80,300,485,372,196,159,1592,3790,7070,21976,19206,11750,4186,67978
14,Manipur,0,0,0,0,1,5,6,0,0,0,0,0,3,3,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,11
15,Meghalaya,0,2,59,25,53,0,139,3,1,6,5,0,0,15,11,62,76,17,1,0,167,32,45,45,38,1,3,164,2,1,0,2,0,1,6,24,44,85,59,21,53,286,72,155,271,146,76,57,777
16,Mizoram,80,59,16,16,0,0,171,12,30,47,26,0,0,115,0,0,0,0,0,0,0,111,142,44,9,0,0,306,55,54,20,0,0,0,129,0,0,0,0,0,0,0,258,285,127,51,0,0,721
17,Nagaland,0,0,0,0,0,0,0,4,8,17,0,0,0,29,26,24,22,6,2,0,80,73,60,25,0,0,0,158,30,30,9,0,0,0,69,15,30,20,0,0,0,65,148,152,93,6,2,0,401
18,Orissa,8,64,211,78,36,5,397,35,171,542,395,129,0,1272,64,278,983,520,122,0,1967,115,1256,3864,3806,2378,101,11520,97,380,1019,3396,4594,1120,10606,159,61,137,105,51,0,513,478,2210,6756,8300,7310,1221,26275
19,Punjab,298,366,686,167,64,5,1586,437,548,531,295,42,48,1901,410,578,635,241,19,0,1883,716,363,538,484,89,62,2252,357,748,785,113,9,1,2013,30,75,116,54,2,0,277,2248,2678,3291,1354,225,116,9912
20,Rajasthan,836,958,1088,531,471,156,4040,819,1208,1718,1257,534,247,5783,2467,3627,3796,2729,1257,321,14197,6769,6541,8230,9023,2491,734,33788,2088,2738,4319,3617,1718,621,15101,1721,1779,1856,807,249,194,6606,147000,16851,21007,17964,6720,2273,79515
21,Sikkim,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
22,Tamil Nadu,957,511,1303,863,460,31,4125,952,768,1774,1250,807,77,5628,781,1108,806,504,287,44,3530,14002,10098,11652,13130,4271,575,53728,280,10434,11489,10421,3678,241,48188,1706,1304,1298,684,204,5,5201,30323,24223,28322,26852,9707,973,120400
23,Tripura,280,220,54,14,2,0,570,200,100,25,5,0,0,330,215,150,50,20,0,0,435,175,30,0,0,0,0,205,57,119,0,0,0,0,4664,0,0,0,0,0,0,0,1150,619,129,39,2,0,1939
24,Uttar Pradesh,42,264,1314,1092,428,107,3247,76,210,2280,1787,936,178,5467,53,107,5257,7221,5124,958,18720,36,189,8113,12163,15422,1955,37878,123,182,7175,8535,7543,1842,187422,28,165,836,789,890,67,2775,292,1117,24975,31587,30343,5107,93421
25,West Bengal,8,62,382,437,639,66,1594,84,99,883,1206,977,101,3350,2,36,204,410,384,56,1092,49,187,675,1073,807,146,2937,24863,237,1913,1451,810,130,127,13,18,203,314,273,66,887,279,639,4260,4891,3890,565,14524
Total States,Total States,4548,5293,12175,9556,5966,1098,38636,6443,8017,18626,15779,9164,2714,60743,15244,23294,39904,33191,19728,5104,136465,56854,67622,121313,94846,56712,13821,411168,1,29296,52322,47007,26995,6939,0,6237,7317,11579,7093,3360,1213,36799,114189,140839,255919,207472,121925,30889,871233
26,A & N Islands,1,0,0,18,3,0,22,0,0,0,0,0,0,0,0,0,34,43,22,0,99,18,8,41,39,58,5,169,0,0,20,43,49,14,0,0,0,0,0,0,0,0,20,8,95,143,132,19,417
27,Chandigarh,0,0,1,17,0,0,18,0,1,27,7,1,1,37,18,45,59,40,1,0,163,89,141,182,42,3,0,457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,187,269,106,5,1,675
28,D & N Haveli,0,0,17,12,0,0,29,0,0,0,0,0,0,0,11,51,121,0,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,51,138,12,0,0,212
29,Daman & DIU,0,3,1,2,1,0,7,0,0,0,0,0,0,0,6,12,72,14,5,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,73,16,6,0,116
30,Delhi,0,0,0,0,0,0,0,0,0,1079,3709,705,254,5747,115,71,213,182,71,63,715,1249,371,18570,22228,5594,480,48492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1364,442,19862,26119,6370,797,54954
31,Lakshadeep,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,7
32,Pondicherry,0,1,4,1,1,0,7,9,7,22,4,3,2,47,25,15,40,1,0,0,81,1527,897,324,34,15,1,2798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1561,920,390,40,19,3,2933
Total (UTs),Total (UTs),1,4,25,50,5,0,85,9,8,1128,3720,709,257,5831,175,194,539,280,99,63,1350,2883,1418,19120,22344,5670,486,51921,1,0,20,43,49,14,127,0,0,0,0,0,0,0,3069,1624,20832,26437,6532,820,59314
Total (All-India),Total (All-India),4549,5297,12200,9606,5971,1098,38721,6452,8025,19754,19499,9873,2971,66574,15419,23488,40443,33471,19827,5167,137815,59737,69040,140433,117190,62382,14307,463089,24864,29296,52342,47050,27044,6953,187549,6237,7317,11579,7093,3360,1213,36799,117258,142463,276751,233909,128457,31709,930547
