SL. No.,Category,States/UTs/Cities,Murder - 1986,Murder - 1987,Murder - Percentage Variation,C.H. Not Amounting to Murder - 1986,C.H. Not Amounting to Murder - 1987,C.H. Not Amounting to Murder - Percentage Variation,Rape - 1986,Rape - 1987,Rape - Percentage Variation,Kidnapping & Abduction - 1986,Kidnapping & Abduction - 1987,Kidnapping & Abduction - Percentage Variation,Dacoity - 1986,Dacoity - 1987,Dacoity - Perentage Variation,Robbery - 1986,Robbery - 1987,Robbery - Percentage Variation,Burglary - 1986,Burglary - 1987,Burglary - Percentage Variation,Theft - 1986,Theft - 1987,Theft - Percentage Variation,Riots - 1986,Riots - 1987,Riots - Percentage Variation,Criminal Breach of Trust - 1986,Criminal Breach of Trust - 1987,Criminal Breach of Trust - Percentage Variation,Cheating - 1986,Cheating - 1987,Cheating - Percentage Variation,Counterfeiting - 1986,Counterfeiting - 1987,Counterfeiting - Percentage Variation,Total Cognizable Crimes Under IPC - 1986,Total Cognizable Crimes Under IPC - 1987,Total Cognizable Crimes Under IPC - Percentage Variation
30,UT,Delhi,276,311,12.7,204,198,-2.9,89,103,15.7,857,799,-6.8,40,32,-20,203,197,-3,1884,1475,-21.7,12543,10191,-18.8,179,173,-3.4,521,466,-10.6,985,840,-14.7,22,29,31.8,29828,25846,-13.7
31,UT,Lakshadweep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,9,200,6,4,-33.3,2,7,250,2,NA,-100,NA,1,NA,NA,NA,NA,20,31,55
32,UT,Pondicherry,14,18,28.6,NA,NA,NA,5,7,40,4,8,100,2,NA,-100,8,10,25,155,167,7.7,636,638,0.3,117,127,8.5,18,14,-22.2,27,28,3.7,4,6,50,2360,2466,4.5
Total (UTs),UT,Total (UTs),318,369,16,206,202,-1.9,101,124,22.8,887,848,-4.4,44,37,-15.9,228,221,-3.1,2261,2012,-11,14126,11814,-16.4,374,379,1.3,591,514,-13,1117,955,-14.5,28,36,28.7,35037,31362,-10.5
Total (All India),Total (All India),Total (All India),27269,28513,4.6,4195,3721,-11.3,7952,8559,7.6,15667,15251,-2.7,10444,10036,-3.9,22395,22917,2.3,128946,125466,-2.7,323533,310575,-4,94197,90789,-3.6,19021,17847,-6.2,22579,22115,-2.1,1687,1653,-2,1405835,1406992,0.1
1,City,Ahmedabad,111,81,-27,4,1,-75,4,13,225,103,109,5.8,8,8,0,69,75,8.7,677,772,14,2989,3404,13.9,390,267,-31.5,155,122,-21.3,175,188,7.4,14,26,85.7,10505,11037,5.1
2,City,Bangalore,69,108,-56.5,3,3,0,25,46,84,84,88,4.8,9,13,44,211,246,16.6,1120,1744,55.7,6467,7144,10.5,292,194,-33.6,209,219,4.8,655,790,20.6,185,173,-6.5,16592,21817,31.5
3,City,Bombay,297,285,-4,NA,2,NA,102,85,-16.7,230,231,0.4,70,65,-7.1,741,762,2.8,2444,2361,-3.4,15821,15359,-2.9,223,196,-12.1,892,933,4.6,1131,1166,3.1,119,63,-47.1,36643,36018,-1.7
4,City,Calcutta,69,69,0,14,10,-28.6,31,19,-38.7,141,122,-13.5,26,30,15.4,242,188,-22.3,557,455,-18.3,7065,6763,-4.3,582,549,-5.7,363,314,-13.5,474,390,-17.7,30,35,-16.7,14013,13219,-5.7
5,City,Delhi,227,259,14.1,165,159,-3.4,72,88,22.2,799,734,-8.1,30,22,-26.7,177,172,-2.8,1769,1357,-23.3,11996,9709,-19.1,154,147,-4.5,491,422,-14.1,966,794,-17.8,22,28,27.3,27813,23837,-14.3
6,City,Hyderabad,50,71,42,NA,NA,NA,23,23,0,53,75,41.5,12,9,-25,78,99,26.9,1294,1265,-2.2,3133,3109,-0.8,310,226,-27.1,74,82,10.8,289,325,12.5,44,43,-2.3,7481,7498,0.2
7,City,Jaipur,34,36,5.9,3,1,-66.7,4,11,175,88,106,20.5,1,2,100,21,45,114.3,362,378,4.4,1115,1271,14,732,762,4.1,105,134,27.6,229,258,12.7,28,15,-46.4,4988,5667,13.6
8,City,Kanpur,133,492,269.9,37,36,-2.7,27,26,-3.7,187,148,-20.9,46,81,76.1,204,172,-15.7,834,568,-31.9,2488,1914,-23.1,279,228,-18.3,428,238,-44.4,325,256,-21.2,21,2,-90.5,7632,7231,-5.3
9,City,Lucknow,78,68,-12.8,22,20,-9.1,19,19,0,111,82,-26.1,17,27,58.8,96,87,-9.4,596,504,-15.4,2739,1796,-34.4,199,155,-22.1,249,205,-17.7,319,233,-17,2,14,600,4814,3418,-29
10,City,Madras,64,61,-4.7,2,3,50,16,23,43.8,26,40,53.8,3,2,-33.3,54,41,-24.1,438,302,-31.1,4462,3838,-14,134,200,49.3,213,209,1.9,421,664,57.7,125,167,33.6,13466,13827,2.6
11,City,Nagpur,76,102,34.2,7,NA,-100,63,45,28.6,81,75,-7.4,13,15,15.4,271,255,-5.9,737,724,-1.8,2868,2121,-26,232,162,-30.2,95,92,-3.2,161,119,-26.1,18,20,11.1,8832,8783,-0.6
12,City,Pune,65,70,7.7,2,NA,-100,27,34,25.9,75,45,-40,12,6,-50,135,137,1.5,887,736,-17,2534,2531,-0.1,236,168,-28.8,124,105,-15.3,145,193,33.1,14,12,-14.3,9422,9163,-2.7
Total (City),City,Total (City),1273,1702,33.7,259,235,-9.3,413,432,4.6,1978,1855,-6.2,247,280,13.4,2299,2279,-0.9,11715,11166,-4.7,63677,58959,-7.4,3763,3254,-13.5,3398,3075,-9.5,5290,5376,1.6,622,598,-3.9,162201,161515,-0.4
